"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00094704","1947-11","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","0.0",",6","14",",6","4",",6","0",",6","","","2",",6","0",",6","23",",6","2",",6","0",",6","0",",6","","","","","","","-10.0",",6,30,","","","127",",,6,26,","7.9",",,6,24,+","20.6",",6,02,","","","452.8",",6","34.8",",,,6","152",",,,6","3.24",",6","7.82",",,,6","-1.34",",,,6","","","","","","","","","",""
"USW00094704","1947-12","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","0.0",",6","6",",6","4",",6","0",",6","0","4,6","2",",6","0",",6","30",",6","10",",6","0",",6","0",",6","","","","","","","-13.3",",6,30,+","0","4,T,6,30,+","25",",,6,09,+","6.1",",,6,15,","11.7",",6,08,","","","622.0",",6","21.3",",,,6","50",",,,6","-1.73",",6","2.63",",,,6","-6.09",",,,6","","","","","","","","","",""
"USW00094704","1948-01","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",6","7",",6","3",",6","0",",6","17","4,6","5",",6","10",",6","31",",6","21",",6","0",",6","0",",6","","","","","","","-23.9",",6,31,","305","4,,6,26,+","305",",,6,24,","15.7",",,6,24,","6.7",",6,09,","","","793.1",",6","32.5",",,,6","457",",,,6","-7.25",",6","-2.56",",,,6","-11.94",",,,6","","","","","","","","","",""
"USW00094704","1948-02","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",6","11",",6","3",",6","1",",6","","","3",",6","4",",6","25",",6","10",",6","0",",6","0",",6","","","","","","","-24.4",",6,01,","","","30",",,6,03,","45.2",",,6,13,","16.7",",6,19,","","","641.0",",6","63.2",",,,6","136",",,,6","-3.77",",6","2.45",",,,6","-9.99",",,,6","","","","","","","","","",""
"USW00094704","1948-03","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",6","15",",6","7",",6","0",",6","0","4,6","1",",6","2",",6","21",",6","7",",6","2",",6","0",",6","","","","","","","-20.0",",6,12,","0","4,T,6,28,+","203",",,6,11,","16.8",",,6,19,","22.2",",6,27,","","","499.2",",6","68.5",",,,6","203",",,,6","2.23",",6","8.64",",,,6","-4.17",",,,6","","","","","","","","","",""
"USW00094704","1948-04","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","3.3","0","3.3",",6","15",",6","8",",6","2",",6","","","0",",6","0",",6","8",",6","0",",6","7",",6","0",",6","","","","","","","-5.6",",6,10,+","","","0",",T,6,09,+","56.1",",,6,11,","28.3",",6,20,","","","266.6",",6","171.9",",,,6","0",",T,,6","9.56",",6","15.77",",,,6","3.34",",,,6","","","","","","","","","",""
"USW00094704","1948-05","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","8.8","0","5.5",",0","16",",0","9",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","","","","","","","0.0",",0,20,","0",",,0,31,+","0",",,0,31,+","14.2",",,0,10,","31.1",",0,28,","","","184.7",",0","70.9",",,,0","0",",,,0","12.55",",0","18.73",",,,0","6.38",",,,0","","","","","","","","","",""
"USW00094704","1948-06","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","","","10",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","27.7",",,0,07,","","","","","","","96.3",",,,0","0",",,,0","","","","","","","","","","","","","","","",""
"USW00094704","1948-07","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","","","7","1,0","4","1,0","0","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4","1,,0,23,","","","","","","","34.2","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00094704","1948-08","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","","","8","1,0","6","1,0","1","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0","1,,0,05,","","","","","","","62.9","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00094704","1948-09","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","","","5",",0","1",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","","","","","","","","","","","","","2.2","3,0,22,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,09,","","","","","","","27.3",",,,0","0",",,,0","","","","","11.09","3,,,0","","","","","","","","","",""
"USW00094704","1948-10","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","0.3",",0","12",",0","7",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4",",0","0",",0","","","","","","","-2.2",",0,22,+","0",",,0,31,+","0",",,0,31,+","25.1",",,0,17,","23.9",",0,16,","","","264.3",",0","61.3",",,,0","0",",,,0","9.82",",0","15.86",",,,0","3.77",",,,0","","","","","","","","","",""
"USW00094704","1948-11","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","0.0","1,0","11",",0","7",",0","0",",0","1",",0","0",",0","0",",0","6",",0","0","1,0","3","1,0","0","1,0","","","","","","","-1.7",",0,14,","25",",,0,29,","20",",,0,29,","12.2",",,0,10,","22.8","1,0,06,+","","","290.0","1,0","47.0",",,,0","20",",,,0","8.29","1,0","13.03","1,,,0","3.55",",,,0","","","","","","","","","",""
"USW00094704","1948-12","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","","","0.0",",0","14",",0","6",",0","0",",0","12",",0","5",",0","0",",0","26",",0","9",",0","0",",0","0",",0","","","","","","","-16.1",",0,26,","102",",,0,31,","86",",,0,19,","6.1",",,0,15,","13.3",",0,07,+","","","565.4",",0","33.8",",,,0","297",",,,0","0.10",",0","4.15",",,,0","-3.95",",,,0","","","","","","","","","",""
"USW00094704","1949-01","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","16",",0","5",",0","0",",0","6","4,0","3","2,0","0",",0","25",",0","8",",0","0",",0","0",",0","11","","","","","","-12.2",",0,30,","127","4,,0,27,+","124","2,,0,26,","11.7",",,0,26,","15.0",",0,09,","","","566.6",",0","41.1",",,,0","179","2,,,0","0.05",",0","4.50",",,,0","-4.39",",,,0","","","","","","","","","",""
"USW00094704","1949-02","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","7",",0","3",",0","0",",0","2",",0","1",",0","0",",0","25",",0","5",",0","0",",0","0",",0","9","","","","","","-14.4",",0,03,","51",",,0,01,","28",",,0,28,","4.8",",,0,15,+","18.3",",0,15,","","","501.0",",0","18.5",",,,0","36",",,,0","0.44",",0","6.52",",,,0","-5.64",",,,0","","","","","","","","","",""
"USW00094704","1949-03","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","13",",0","5",",0","0",",0","6",",0","5",",0","0",",0","22",",0","9",",0","2",",0","0",",0","9","","","","1","","-15.0",",0,02,","102",",,0,03,","76",",,0,31,","14.7",",,0,31,","26.7",",0,27,","","","508.9",",0","42.9",",,,0","294",",,,0","1.92",",0","7.30",",,,0","-3.46",",,,0","","","","","","","","","",""
"USW00094704","1949-04","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","7",",0","0",",0","5","","","","3","","-3.9",",0,17,+","0",",,0,30,+","0",",T,0,16,+","8.6",",,0,26,","30.0",",0,30,","","","316.8",",0","44.7",",,,0","0",",T,,0","7.77",",0","14.19",",,,0","1.35",",,,0","","","","","","","","","",""
"USW00094704","1949-05","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","24.5","0","24.5",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","20",",0","3",",0","4","","","","5","","-4.4",",0,11,","0",",,0,31,+","0",",,0,31,+","24.6",",,0,22,","33.3",",0,05,","","","140.8",",0","53.7",",,,0","0",",,,0","14.58",",0","22.22",",,,0","6.94",",,,0","","","","","","","","","",""
"USW00094704","1949-06","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","173.2","0","148.7",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","11",",0","3","","","","2","","0.6",",0,08,","0",",,0,30,+","0",",,0,30,+","28.7",",,0,25,","35.0",",0,19,","","","22.4",",0","40.3",",,,0","0",",,,0","22.54",",0","29.95",",,,0","15.13",",,,0","","","","","","","","","",""
"USW00094704","1949-07","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","343.5","0","170.3",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","8","","","","7","","10.6",",0,08,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,25,","35.0",",0,29,","0.0","0","0.0",",0","66.0",",,,0","0",",,,0","23.83",",0","30.72",",,,0","16.94",",,,0","","","","","","","","","",""
"USW00094704","1949-08","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","458.7","0","115.2",",0","7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","5","","","","3","","7.2",",0,21,","0",",,0,31,+","0",",,0,31,+","44.5",",,0,17,","35.0",",0,10,+","12.2","0","12.2",",0","112.4",",,,0","0",",,,0","21.66",",0","29.03",",,,0","14.28",",,,0","","","","","","","","","",""
"USW00094704","1949-09","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","472.8","0","14.1",",0","12",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","7","","","","1","","1.7",",0,30,+","0",",,0,30,+","0",",,0,30,+","16.3",",,0,18,","29.4",",0,05,+","137.5","0","125.3",",0","52.9",",,,0","0",",,,0","14.63",",0","20.77",",,,0","8.48",",,,0","","","","","","","","","",""
"USW00094704","1949-10","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","488.9","0","16.1",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","16",",0","1",",0","8","","","","","","-1.7",",0,25,+","0",",,0,31,+","0",",,0,31,+","9.7",",,0,31,","32.2",",0,10,","307.2","0","169.7",",0","19.9",",,,0","0",",,,0","13.38",",0","20.90",",,,0","5.86",",,,0","","","","","","","","","",""
"USW00094704","1949-11","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","488.9","0","0.0",",0","17",",0","2",",0","0",",0","0",",0","1",",0","0",",0","16",",0","4",",0","1",",0","0",",0","9","","","","2","","-11.7",",0,22,","0",",T,0,28,+","30",",,0,21,","3.6",",,0,13,","21.1",",0,10,","752.7","0","445.5",",0","22.8",",,,0","91",",,,0","3.48",",0","7.57",",,,0","-0.61",",,,0","","","","","","","","","",""
"USW00094704","1949-12","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","488.9","0","0.0",",0","15",",0","2",",0","0",",0","3",",0","4",",0","0",",0","24",",0","8",",0","0",",0","0",",0","6","","","","","","-11.7",",0,10,","76",",,0,02,","94",",,0,02,","5.8",",,0,02,","20.6",",0,22,","1296.8","0","544.1",",0","19.3",",,,0","212",",,,0","0.78",",0","5.33",",,,0","-3.77",",,,0","","","","","","","","","",""
"USW00094704","1950-01","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","20",",0","6",",0","0",",0","3",",0","3",",0","0",",0","21",",0","5",",0","2",",0","0",",0","9","","","","","","-16.1",",0,08,","51",",,0,31,+","53",",,0,31,","17.0",",,0,06,","23.9",",0,25,","1799.2","0","502.4",",0","77.1",",,,0","167",",,,0","2.13",",0","7.40",",,,0","-3.15",",,,0","","","","","","","","","",""
"USW00094704","1950-02","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","13",",0","6",",0","0",",0","19",",0","4",",0","2",",0","28",",0","9",",0","0",",0","0",",0","6","","","","","","-19.4",",0,20,","127",",,0,23,","135",",,0,13,","17.0",",,0,13,","9.4",",0,09,","2408.9","0","609.7",",0","55.3",",,,0","290",",,,0","-3.44",",0","1.11",",,,0","-7.99",",,,0","","","","","","","","","",""
"USW00094704","1950-03","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","15",",0","9",",0","0",",0","12",",0","3",",0","1",",0","27",",0","8",",0","0",",0","0",",0","7","","","","","","-20.6",",0,04,","127",",,0,23,","137",",,0,23,","20.8",",,0,23,","17.8",",0,28,","3032.8","0","623.9",",0","61.0",",,,0","273",",,,0","-1.79",",0","3.35",",,,0","-6.94",",,,0","","","","","","","","","",""
"USW00094704","1950-04","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","14",",0","4",",0","0",",0","2",",0","2",",0","0",",0","17",",0","2",",0","3",",0","0",",0","2","","","","","","-8.9",",0,13,","51",",,0,13,","84",",,0,13,","6.6",",,0,30,","26.7",",0,04,","3429.3","0","396.5",",0","27.7",",,,0","119",",,,0","5.12",",0","11.22",",,,0","-0.98",",,,0","","","","","","","","","",""
"USW00094704","1950-05","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","10.0","0","10.0",",0","12",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","19",",0","1",",0","7","","","","3","","-3.3",",0,08,","0",",,0,31,+","0",",,0,31,+","18.0",",,0,18,","32.2",",0,05,","3555.1","0","125.8",",0","48.6",",,,0","0",",,,0","14.60",",0","21.79",",,,0","7.41",",,,0","","","","","","","","","",""
"USW00094704","1950-06","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","60.9","0","50.9",",0","11",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","3",",0","8","","","","6","","1.7",",0,18,","0",",,0,30,+","0",",,0,30,+","17.8",",,0,03,","33.3",",0,26,","3605.0","0","49.9",",0","48.4",",,,0","0",",,,0","18.37",",0","25.61",",,,0","11.12",",,,0","","","","","","","","","",""
"USW00094704","1950-07","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","137.7","0","76.8",",0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","6","","","","6","","8.3",",0,21,","0",",,0,31,+","0",",,0,31,+","45.0",",,0,20,","34.4",",0,09,","9.8","0","9.8",",0","150.3",",,,0","0",",,,0","20.50",",0","26.92",",,,0","14.07",",,,0","","","","","","","","","",""
"USW00094704","1950-08","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","222.5","0","84.8",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","13","","","","7","","6.1",",0,21,+","0",",,0,31,+","0",",,0,31,+","21.8",",,0,01,","32.8",",0,17,","29.7","0","19.9",",0","49.7",",,,0","0",",,,0","20.43",",0","27.11",",,,0","13.74",",,,0","","","","","","","","","",""
"USW00094704","1950-09","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","238.0","0","15.5",",0","7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","13","","","","1","","1.7",",0,24,","0",",,0,30,+","0",",,0,30,+","27.9",",,0,01,","29.4",",0,09,","126.1","0","96.4",",0","36.1",",,,0","0",",,,0","15.64",",0","21.68",",,,0","9.59",",,,0","","","","","","","","","",""
"USW00094704","1950-10","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","243.8","0","5.8",",0","8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","11",",0","0",",0","11","","","","","","-2.8",",0,27,","0",",,0,31,+","0",",,0,31,+","34.0",",,0,08,","29.4",",0,18,+","315.1","0","189.0",",0","90.9",",,,0","0",",,,0","12.42",",0","18.63",",,,0","6.21",",,,0","","","","","","","","","",""
"USW00094704","1950-11","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","246.3","0","2.5",",0","15",",0","5",",0","1",",0","3",",0","3",",0","0",",0","17",",0","3",",0","1",",0","0",",0","7","","","","","","-7.8",",0,26,","152",",,0,29,","107",",,0,29,","59.7",",,0,04,","28.3",",0,01,","734.7","0","419.6",",0","98.5",",,,0","238",",,,0","4.43",",0","8.75",",,,0","0.11",",,,0","","","","","","","","","",""
"USW00094704","1950-12","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","246.3","0","0.0",",0","16",",0","6",",0","0",",0","26",",0","3",",0","2",",0","29",",0","15",",0","0",",0","0",",0","7","","","","","","-20.0",",0,27,","127",",,0,26,+","109",",,0,11,","8.4",",,0,04,","18.9",",0,03,","1391.0","0","656.3",",0","51.2",",,,0","331",",,,0","-2.84",",0","1.09",",,,0","-6.77",",,,0","","","","","","","","","",""
"USW00094704","1951-01","42.57083","-77.71333","208.8","DANSVILLE MUNICIPAL AIRPORT, NY US","","","0.0","0","0.0",",0","16",",0","6",",0","0",",0","14",",0","4",",0","0",",0","26",",0","10",",0","0",",0","0",",0","7","","","","1","","-16.1",",0,30,","102",",,0,31,+","79",",,0,07,","9.7",",,0,23,","17.2",",0,21,+","1994.0","0","603.0",",0","40.7",",,,0","260",",,,0","-1.12",",0","3.46",",,,0","-5.69",",,,0","","","","","","","","","",""
