"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00016504","1949-11","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","6",",X","1",",X","0",",X","26",",X","1",",X","16",",X","29",",X","24",",X","0",",X","0",",X","","","","","-29.4",",X,18,+","127",",,X,30,+","48",",,X,27,","4.8",",,X,27,","4.4",",X,24,+","2771.0","X","974.9",",X","13.4",",,,X","134",",,,X","-14.17",",X","-10.58",",,,X","-17.75",",,,X","","","",""
"GLW00016504","1949-12","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","6",",X","2",",X","0",",X","31",",X","2",",X","20",",X","31",",X","29",",X","0",",X","0",",X","","","","","-29.4",",X,22,","203",",,X,08,+","30",",,X,02,","3.0",",,X,02,","4.4",",X,09,","3851.2","X","1080.2",",X","8.2",",,,X","82",",,,X","-16.51",",X","-12.96",",,,X","-20.07",",,,X","","","",""
"GLW00016504","1950-01","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","9",",X","0",",X","0",",X","31",",X","0",",X","27",",X","31",",X","30",",X","0",",X","0",",X","","","","","-39.4",",X,26,","127",",,X,31,+","15",",,X,22,","1.5",",,X,22,","0.6",",X,05,","5080.0","","1228.8",",X","6.2",",,,X","62",",,,X","-21.31",",X","-17.26",",,,X","-25.35",",,,X","","","",""
"GLW00016504","1950-02","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","3",",X","2",",X","0",",X","28",",X","2",",X","25",",X","28",",X","28",",X","0",",X","0",",X","","","","","-37.2",",X,22,","178",",,X,28,+","30",",,X,18,","3.0",",,X,18,","0.0",",X,24,","6258.9","","1178.9",",X","6.1",",,,X","61",",,,X","-23.77",",X","-20.28",",,,X","-27.27",",,,X","","","",""
"GLW00016504","1950-03","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","5",",X","0",",X","0",",X","31",",X","0",",X","15",",X","31",",X","22",",X","0",",X","0",",X","","","","","-41.7",",X,05,","178",",,X,06,+","13",",,X,23,","1.3",",,X,23,","8.9",",X,12,","7242.0","","983.1",",X","3.9",",,,X","39",",,,X","-13.38",",X","-8.21",",,,X","-18.55",",,,X","","","",""
"GLW00016504","1950-04","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","2",",X","2",",X","0",",X","22",",X","2",",X","11",",X","28",",X","22",",X","0",",X","0",",X","","","","","-23.9",",X,09,+","127",",,X,15,","25",",,X,15,+","2.5",",,X,15,+","10.6",",X,23,","8047.1","","805.1",",X","5.0",",,,X","50",",,,X","-8.51",",X","-4.43",",,,X","-12.58",",,,X","","","",""
"GLW00016504","1950-05","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","8",",X","4",",X","0",",X","0",",X","1",",X","0",",X","17",",X","3",",X","0",",X","0",",X","","","","","-5.6",",X,07,+","0",",T,X,06,","51",",,X,10,","5.1",",,X,10,","16.1",",X,16,","8502.1","","455.0",",X","18.9",",,,X","74",",,,X","3.66",",X","7.34",",,,X","-0.03",",,,X","","","",""
"GLW00016504","1950-06","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","2",",X","0",",X","","","","","-2.8",",X,03,","0",",,X,30,+","5",",,X,01,","1.8",",,X,17,","21.1",",X,23,+","8770.5","","268.4",",X","2.9",",,,X","5",",,,X","9.39",",X","14.03",",,,X","4.74",",,,X","","","",""
"GLW00016504","1950-07","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","","","","","3.3",",X,31,","0",",,X,31,+","0",",,X,31,+","15.5",",,X,16,","20.6",",X,18,","228.7","","228.7",",X","19.8",",,,X","0",",,,X","10.96",",X","16.21",",,,X","5.70",",,,X","","","",""
"GLW00016504","1950-08","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","6","1,X","1","1,X","0","1,X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","","","","","1.7",",X,13,","0",",,X,31,+","0",",,X,31,+","11.9","1,,X,27,","22.8",",X,17,","492.5","","263.8",",X","16.7","1,,,X","0",",,,X","9.82",",X","14.04",",,,X","5.61",",,,X","","","",""
"GLW00016504","1950-09","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","","0.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","17",",X","1",",X","0",",X","0",",X","","","","","-5.0",",X,30,+","0",",,X,30,+","18",",,X,11,","1.8",",,X,11,","10.0",",X,01,","952.6","","460.1",",X","1.8",",,,X","18",",,,X","3.00",",X","6.47",",,,X","-0.48",",,,X","","","",""
"GLW00016504","1951-07","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","11",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4","","","","2.8",",X,21,","0",",,X,31,+","0",",,X,31,+","7.9",",,X,18,","18.9",",X,25,","233.0","X","233.0",",X","26.5",",,,X","0",",,,X","10.82",",X","14.89",",,,X","6.74",",,,X","","","",""
"GLW00016504","1951-08","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","10",",X","3",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","4","","","","0.0",",X,28,","0",",,X,31,+","0",",,X,31,+","7.1",",,X,12,+","16.1",",X,31,+","532.1","X","299.1",",X","22.3",",,,X","0",",,,X","8.69",",X","12.90",",,,X","4.47",",,,X","","","",""
"GLW00016504","1951-09","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","4",",X","1",",X","0",",X","0","1,X","0",",X","0",",X","10",",X","0",",X","0",",X","0",",X","","","","","-3.3",",X,14,","0","1,,X,30,+","0",",T,X,28,+","4.3",",,X,16,","16.7",",X,18,+","905.1","X","373.0",",X","7.1",",,,X","0",",T,,X","5.90",",X","9.87",",,,X","1.92",",,,X","","","",""
"GLW00016504","1951-10","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","5",",X","1",",X","0",",X","19",",X","2",",X","4",",X","27",",X","22",",X","0",",X","0",",X","7","","","","-20.0",",X,27,","76",",,X,13,","51",",,X,12,","7.4",",,X,12,","12.2",",X,01,","1662.7","X","757.6",",X","11.3",",,,X","104",",,,X","-6.11",",X","-2.98",",,,X","-9.23",",,,X","","","",""
"GLW00016504","1951-11","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0",",X","6",",X","1",",X","0",",X","27",",X","2",",X","5",",X","29",",X","21",",X","0",",X","0",",X","5","","","","-20.6",",X,21,","76",",,X,30,+","51",",,X,26,","5.1",",,X,26,","7.2",",X,05,","2439.1","X","776.4",",X","10.7",",,,X","132",",,,X","-7.55",",X","-4.17",",,,X","-10.93",",,,X","","","",""
"GLW00016504","1951-12","67.01667","-50.8","50.3","SONDRESTROM, GL","","","0.0","4,X","2",",X","1",",X","0",",X","31",",X","1",",X","25","2,X","29","2,X","29","2,X","0","2,X","0","2,X","5","","","","-34.4","2,X,25,","76",",,X,24,+","30",",,X,18,","3.0",",,X,18,","-0.6","2,X,01,","3501.9","X","1062.8","2,X","3.5",",,,X","35",",,,X","-21.04","4,X","-17.39","2,,,X","-24.70","2,,,X","","","",""
"GLW00016504","1952-01","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0","4,X","2",",X","0",",X","0",",X","31",",X","1",",X","21","2,X","29","2,X","24","2,X","0","2,X","0","2,X","9","","","","-41.7","2,X,18,","51",",,X,31,+","33",",,X,30,","1.3",",,X,30,","3.9","2,X,25,+","4528.1","X","1026.2","2,X","2.3",",,,X","43",",,,X","-20.07","4,X","-14.69","2,,,X","-25.46","2,,,X","","","",""
"GLW00016504","1952-02","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","1",",X","0",",X","0",",X","29",",X","0",",X","18",",X","29",",X","24",",X","0",",X","0",",X","6","","","","-40.0",",X,22,+","51",",,X,22,+","3",",,X,16,","0.3",",,X,16,","8.3",",X,08,","5595.4","X","1067.3",",X","0.3",",,,X","3",",,,X","-18.47",",X","-13.93",",,,X","-23.01",",,,X","","","",""
"GLW00016504","1952-03","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","2",",X","0",",X","0",",X","29",",X","0",",X","23",",X","31",",X","30",",X","0",",X","0",",X","5","","","","-37.8",",X,21,","51",",,X,29,+","15",",,X,28,","1.5",",,X,28,","4.4",",X,30,","6767.3","X","1171.9",",X","2.0",",,,X","20",",,,X","-19.47",",X","-15.11",",,,X","-23.84",",,,X","","","",""
"GLW00016504","1952-04","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","1",",X","0",",X","0",",X","16",",X","0",",X","11",",X","29",",X","17",",X","0",",X","0",",X","7","","","","-26.7",",X,04,","25",",,X,16,+","3",",,X,01,","0.3",",,X,01,","12.8",",X,24,","7536.1","X","768.8",",X","0.3",",,,X","3",",,,X","-7.29",",X","-1.99",",,,X","-12.59",",,,X","","","",""
"GLW00016504","1952-05","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","4",",X","1",",X","0",",X","1",",X","1",",X","0",",X","20",",X","0",",X","0",",X","0",",X","10","","","","-5.0",",X,11,","25",",,X,14,","25",",,X,14,","6.1",",,X,14,","19.4",",X,30,+","7967.7","X","431.6",",X","7.7",",,,X","41",",,,X","4.41",",X","9.04",",,,X","-0.22",",,,X","","","",""
"GLW00016504","1952-06","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","7",",X","2",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","0",",X","0",",X","1","","","","-0.6",",X,04,","0",",,X,30,+","0",",,X,30,+","4.8",",,X,06,","20.6",",X,19,","8233.2","X","265.5",",X","11.5",",,,X","0",",,,X","9.48",",X","14.41",",,,X","4.55",",,,X","","","",""
"GLW00016504","1952-07","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","9",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","2","","","","2.2",",X,03,","0",",,X,31,+","0",",,X,31,+","8.1",",,X,14,","21.1",",X,30,+","244.5","X","244.5",",X","23.1",",,,X","0",",,,X","10.45",",X","15.87",",,,X","5.02",",,,X","","","",""
"GLW00016504","1952-08","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","0",",X","0",",X","","","","","-1.7",",X,26,","0",",,X,31,+","0",",,X,31,+","1.5",",,X,14,","20.6",",X,07,+","514.7","X","270.2",",X","5.0",",,,X","0",",,,X","9.62",",X","15.16",",,,X","4.07",",,,X","","","",""
"GLW00016504","1952-09","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","0",",X","0",",X","4","","","","-3.9",",X,12,+","0",",T,X,27,+","0",",T,X,27,+","16.0",",,X,21,","18.9",",X,05,","893.7","X","379.0",",X","30.2",",,,X","0",",T,,X","5.70",",X","9.78",",,,X","1.61",",,,X","","","",""
"GLW00016504","1952-10","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","6",",X","0",",X","0",",X","12",",X","0",",X","4",",X","29",",X","16",",X","0",",X","0",",X","11","","","","-19.4",",X,17,","51",",,X,19,+","20",",,X,12,","2.0",",,X,12,","11.7",",X,03,","1588.2","X","694.5",",X","6.1",",,,X","58",",,,X","-4.07",",X","-0.27",",,,X","-7.87",",,,X","","","",""
"GLW00016504","1952-11","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","8",",X","3",",X","0",",X","23",",X","3",",X","5",",X","30",",X","21",",X","0",",X","0",",X","7","","","","-20.0",",X,19,","127",",,X,20,+","69",",,X,17,","6.9",",,X,17,","5.6",",X,28,","2359.8","X","771.6",",X","20.6",",,,X","206",",,,X","-7.39",",X","-3.00",",,,X","-11.78",",,,X","","","",""
"GLW00016504","1952-12","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","7",",X","1",",X","0",",X","31",",X","1",",X","10",",X","30",",X","24",",X","0",",X","0",",X","6","","","","-28.9",",X,10,","152",",,X,26,+","33",",,X,06,","3.3",",,X,06,","8.3",",X,31,+","3256.0","X","896.2",",X","9.5",",,,X","85",",,,X","-10.58",",X","-6.46",",,,X","-14.70",",,,X","","","",""
"GLW00016504","1953-01","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","7",",X","1",",X","0",",X","31",",X","1",",X","20",",X","31",",X","27",",X","0",",X","0",",X","3","","","","-41.1",",X,29,","279",",,X,13,+","178",",,X,07,","17.8",",,X,07,","3.9",",X,13,","4364.8","X","1108.8",",X","21.9",",,,X","219",",,,X","-17.44",",X","-12.90",",,,X","-21.97",",,,X","","","",""
"GLW00016504","1953-02","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","7",",X","0",",X","0",",X","28",",X","0",",X","21",",X","28",",X","26",",X","0",",X","0",",X","7","","","","-38.9",",X,24,","178",",,X,02,+","20",",,X,09,","2.0",",,X,09,","8.3",",X,04,","5421.9","X","1057.1",",X","6.5",",,,X","65",",,,X","-19.42",",X","-15.03",",,,X","-23.82",",,,X","","","",""
"GLW00016504","1953-03","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","4",",X","0",",X","0",",X","31",",X","0",",X","27",",X","31",",X","29",",X","0",",X","0",",X","4","","","","-35.6",",X,16,","152",",,X,31,+","18",",,X,07,","1.8",",,X,07,","1.7",",X,26,","6596.9","X","1175.0",",X","3.1",",,,X","31",",,,X","-19.57",",X","-14.30",",,,X","-24.84",",,,X","","","",""
"GLW00016504","1953-04","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0","2,X","12",",X","2",",X","0",",X","26",",X","2",",X","1","1,X","28","1,X","11","1,X","0","1,X","0","1,X","7","","","","-25.0","1,X,01,","152",",,X,03,+","41",",,X,19,","4.1",",,X,19,","10.0","1,X,16,","7190.4","X","593.5","1,X","13.5",",,,X","126",",,,X","-2.91","2,X","1.31","1,,,X","-7.12","1,,,X","","","",""
"GLW00016504","1953-05","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","1",",X","0",",X","1",",X","1",",X","0",",X","12",",X","0",",X","0",",X","0",",X","3","","","","-8.9",",X,07,","25",",,X,07,","30",",,X,06,","3.0",",,X,06,","19.4",",X,25,","7582.7","X","392.3",",X","5.3",",,,X","53",",,,X","5.68",",X","10.84",",,,X","0.52",",,,X","","","",""
"GLW00016504","1953-06","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","11",",X","3",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","2",",X","0",",X","4","","","","0.6",",X,17,+","0",",T,X,13,","25",",,X,13,","10.2",",,X,20,","21.7",",X,26,","7868.6","X","285.9",",X","26.7",",,,X","25",",,,X","8.80",",X","13.42",",,,X","4.18",",,,X","","","",""
"GLW00016504","1953-07","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","3","","","","1.7",",X,19,","0",",,X,31,+","3",",,X,17,","5.3",",,X,17,","21.1",",X,25,","202.2","X","202.2",",X","9.4",",,,X","3",",,,X","11.81",",X","17.40",",,,X","6.22",",,,X","","","",""
"GLW00016504","1953-08","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","5","","","","-1.7",",X,29,","0",",,X,31,+","0",",,X,31,+","8.1",",,X,11,","18.9",",X,24,+","480.6","X","278.4",",X","10.4",",,,X","0",",,,X","9.35",",X","14.17",",,,X","4.53",",,,X","","","",""
"GLW00016504","1953-09","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","10",",X","3",",X","0",",X","2",",X","1",",X","0",",X","14",",X","3",",X","0",",X","0",",X","1","","","","-9.4",",X,20,","25",",,X,30,+","33",",,X,27,","6.9",",,X,09,","16.1",",X,05,","949.9","X","469.3",",X","21.1",",,,X","79",",,,X","2.69",",X","5.97",",,,X","-0.59",",,,X","","","",""
"GLW00016504","1953-10","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","2",",X","1",",X","0",",X","23",",X","1",",X","2",",X","31",",X","27",",X","0",",X","0",",X","1","","","","-20.0",",X,11,","25",",,X,27,+","25",",,X,06,","2.5",",,X,06,","6.7",",X,28,","1759.7","X","809.8",",X","2.8",",,,X","28",",,,X","-7.79",",X","-4.20",",,,X","-11.38",",,,X","","","",""
"GLW00016504","1953-11","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","2",",X","0",",X","23","4,X","2","2,X","14",",X","30",",X","28",",X","0",",X","0",",X","","","","","-25.6",",X,23,","178","4,,X,07,+","180","2,,X,03,","17.5",",,X,03,","3.9",",X,27,","2727.1","X","967.4",",X","23.9",",,,X","231","2,,,X","-13.91",",X","-10.40",",,,X","-17.43",",,,X","","","",""
"GLW00016504","1953-12","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","1",",X","0",",X","17",",X","1",",X","28",",X","31",",X","30",",X","0",",X","0",",X","","","","","-38.9",",X,21,+","76",",,X,01,","25",",,X,25,","2.5",",,X,25,","1.1",",X,03,","4048.9","X","1321.8",",X","5.3",",,,X","53",",,,X","-24.30",",X","-20.46",",,,X","-28.15",",,,X","","","",""
"GLW00016504","1954-01","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","4",",X","0",",X","0",",X","31",",X","2",",X","18",",X","31",",X","25",",X","0",",X","0",",X","1","","","","-32.8",",X,01,","76",",,X,17,+","58",",,X,12,","2.0",",,X,28,+","8.9",",X,11,","5027.3","X","978.4",",X","4.6",",,,X","117",",,,X","-13.23",",X","-8.03",",,,X","-18.43",",,,X","","","",""
"GLW00016504","1954-02","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","2",",X","0",",X","28",",X","2",",X","23",",X","28",",X","27",",X","0",",X","0",",X","6","","","","-40.0",",X,22,","127",",,X,23,+","104",",,X,28,","5.8",",,X,28,","5.6",",X,27,","6189.5","X","1162.2",",X","10.4",",,,X","165",",,,X","-23.18",",X","-18.55",",,,X","-27.80",",,,X","","","",""
"GLW00016504","1954-03","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","3",",X","2",",X","0",",X","31",",X","2",",X","21",",X","31",",X","28",",X","0",",X","0",",X","1","","","","-28.3",",X,06,","229",",,X,03,+","74",",,X,01,","2.8",",,X,01,","2.2",",X,31,","7230.0","X","1040.5",",X","5.6",",,,X","102",",,,X","-15.23",",X","-10.77",",,,X","-19.69",",,,X","","","",""
"GLW00016504","1954-04","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","2",",X","1",",X","0",",X","21","2,X","1","1,X","8",",X","25",",X","16",",X","0",",X","0",",X","","","","","-22.2",",X,16,+","127","2,,X,05,","66","1,,X,03,","6.6",",,X,03,","15.0",",X,29,","7932.9","X","702.9",",X","7.1",",,,X","66","1,,,X","-5.10",",X","-0.21",",,,X","-9.98",",,,X","","","",""
"GLW00016504","1954-05","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","5",",X","3",",X","0",",X","2",",X","1",",X","0",",X","12",",X","0",",X","0",",X","0",",X","1","","","","-6.1",",X,11,","25",",,X,10,+","33",",,X,05,","5.6",",,X,04,","19.4",",X,30,+","8333.1","X","400.2",",X","16.7",",,,X","56",",,,X","5.42",",X","9.87",",,,X","0.97",",,,X","","","",""
"GLW00016504","1954-06","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","5",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","2","","","","1.1",",X,18,+","0",",,X,30,+","0",",T,X,16,+","16.0",",,X,17,","21.7",",X,12,","8628.5","X","295.4",",X","43.0",",,,X","0",",T,,X","8.49",",X","12.90",",,,X","4.07",",,,X","","","",""
"GLW00016504","1954-07","67.01667","-50.8","50.3","SONDRESTROM, GL","0.0","X","0.0",",X","12",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","5","","","","2.8",",X,29,","0",",,X,31,+","0",",T,X,01,","10.7",",,X,05,","19.4",",X,16,","264.4","X","264.4",",X","37.6",",,,X","0",",T,,X","9.80",",X","14.25",",,,X","5.36",",,,X","","","",""
