"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00362942","1944-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","348.9","0","118.1",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","7","","1","","5.0",",0,26,","0",",,0,31,+","0",",,0,31,+","32.5",",,0,22,","35.6",",0,14,+","","","17.2","0","14.7",",0","","","109.8",",,,0","0",",,,0","21.67",",0","29.94",",,,0","13.39",",,,0","",""
"USC00362942","1944-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","377.8","0","28.9",",0","12",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","13","","1","","1.1",",0,24,","0",",,0,30,+","0",",,0,30,+","29.0",",,0,01,","30.6",",0,11,","","","68.1","0","50.9",",0","","","87.7",",,,0","0",",,,0","17.60",",0","25.26",",,,0","9.94",",,,0","",""
"USC00362942","1944-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","8.1",",0","14",",0","6",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0",",0","17",",0","0",",0","6","","","","-5.6",",0,23,","0",",,0,31,+","0",",,0,31,+","32.0",",,0,21,","28.9",",0,07,","","","274.6","0","206.5",",0","","","79.7",",,,0","0",",,,0","11.93",",0","20.57",",,,0","3.30",",,,0","",""
"USC00362942","1944-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","0.0",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","8",",0","0",",0","2","","1","","-8.3",",0,26,","0",",T,0,30,+","5",",,0,24,","19.8",",,0,16,","24.4",",0,09,+","","","608.7","0","334.1",",0","","","65.1",",,,0","5",",,,0","7.20",",0","14.18",",,,0","0.21",",,,0","",""
"USC00362942","1944-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","385.9","0","0.0",",0","13",",0","7",",0","1",",0","20",",0","7",",0","2",",0","30",",0","2",",0","0",",0","0",",0","1","","","","-26.7",",0,22,","406",",,0,15,","305",",,0,12,","27.9",",,0,12,","13.9",",0,05,","","","1232.2","0","623.5",",0","","","99.2",",,,0","571",",,,0","-1.78",",0","4.87",",,,0","-8.43",",,,0","",""
"USC00362942","1945-01","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","13",",0","6",",0","0",",0","31",",0","8",",0","7",",0","31",",0","15",",0","0",",0","0",",0","","","","","-25.0",",0,25,","254",",,0,31,+","102",",,0,29,+","21.1",",,0,01,","5.0",",0,12,+","","","1979.9","0","747.7",",0","","","53.7",",,,0","470",",,,0","-5.79",",0","-0.07",",,,0","-11.50",",,,0","",""
"USC00362942","1945-02","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0",",0","10",",0","7",",0","0",",0","16",",0","2",",0","1",",0","27",",0","6",",0","0",",0","0",",0","","","","","-20.6",",0,04,","305",",,0,04,+","64",",,0,21,","24.1",",,0,22,","15.0",",0,22,","","","2513.6","0","533.7",",0","","","80.0",",,,0","115",",,,0","-0.73",",0","5.13",",,,0","-6.59",",,,0","",""
"USC00362942","1945-03","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.3","0","0.3",",0","16",",0","12",",0","4",",0","0",",0","0",",0","0",",0","15",",0","0",",0","10",",0","0",",0","3","","5","","-8.3",",0,08,","0",",T,0,22,+","13",",,0,22,","29.5",",,0,07,","27.8",",0,27,+","","","2801.7","0","288.1",",0","","","194.6",",,,0","13",",,,0","9.05",",0","16.77",",,,0","1.32",",,,0","",""
"USC00362942","1945-04","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.6","0","0.3",",0","12","1,0","9","1,0","1","1,0","0",",0","0",",0","0",",0","9",",0","0",",0","16",",0","0",",0","","","","","-2.8",",0,22,+","0",",,0,30,+","0",",,0,30,+","27.4","1,,0,05,","27.8",",0,13,","","","2990.6","0","188.9",",0","","","120.7","1,,,0","0",",,,0","12.05",",0","20.35",",,,0","3.74",",,,0","",""
"USC00362942","1945-05","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","2.9","0","2.3","3,0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0","3,0","13","3,0","0","3,0","2","","1","","-3.3",",0,02,","0",",,0,31,+","0",",,0,31,+","19.8",",,0,11,","28.9","3,0,21,","","","3167.1","0","176.5","3,0","","","97.5",",,,0","0",",,,0","12.24","3,0","19.53","3,,,0","4.95",",,,0","",""
"USC00362942","1945-06","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","76.7","0","73.8","1,0","14",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","25","1,0","2","1,0","3","","3","","1.1",",0,06,","0",",,0,30,+","0",",,0,30,+","21.8",",,0,03,","34.4","1,0,30,","","","3210.4","0","43.3","1,0","","","100.0",",,,0","0",",,,0","19.28","1,0","26.26","1,,,0","12.30",",,,0","",""
"USC00362942","1945-07","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","182.6","0","105.9","1,0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","30","1,0","4","1,0","","","2","","4.4",",0,12,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,29,","34.4","1,0,21,","","","7.8","0","7.8","1,0","","","60.3",",,,0","0",",,,0","21.64","1,0","28.46","1,,,0","14.83",",,,0","",""
"USC00362942","1945-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","260.1","0","77.5",",0","12",",0","8",",0","1",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","30",",0","5",",0","2","","2","","5.0",",0,27,","0",",,0,31,+","0","1,,0,31,+","35.8",",,0,01,","32.8",",0,30,+","","","17.0","0","9.2",",0","","","99.9",",,,0","0","1,,,0","20.54",",0","27.90",",,,0","13.17",",,,0","",""
"USC00362942","1945-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","313.4","0","53.3","2,0","15",",0","14",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","24","2,0","0","2,0","8","","2","","5.0",",0,23,+","0",",,0,30,+","0",",,0,30,+","42.2",",,0,18,","31.7","2,0,08,+","","","42.2","0","25.2","2,0","","","201.1",",,,0","0",",,,0","19.19","2,0","25.73","2,,,0","12.65",",,,0","",""
"USC00362942","1945-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","313.4","0","0.0","5,0","11",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","10","1,0","0","4,0","9","4,0","0","4,0","1","","","","-1.7","1,0,28,+","0",",,0,31,+","0",",,0,31,+","30.5",",,0,02,","26.7","4,0,19,+","","","263.7","0","221.5","4,0","","","59.9",",,,0","0",",,,0","10.24","5,0","18.03","4,,,0","2.45","1,,,0","",""
"USC00362942","1945-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","14",",0","11",",0","0",",0","1",",0","1",",0","0",",0","20",",0","","","","","","","1","","","","-8.3",",0,24,","25",",,0,24,","25",",,0,24,","21.8",",,0,03,","","","","","","","","","","","124.2",",,,0","30",",,,0","","","","","-0.51",",,,0","",""
"USC00362942","1945-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0","5,0","13",",0","6",",0","0",",0","20",",0","6",",0","7",",0","30",",0","10","5,0","0","5,0","0","5,0","","","","","-28.3",",0,23,","254",",,0,24,+","76",",,0,20,+","9.1",",,0,26,","10.6","5,0,09,","","","","","586.4","5,0","","","43.3",",,,0","322",",,,0","-4.10","5,0","1.56","5,,,0","-9.76",",,,0","",""
"USC00362942","1946-01","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","11",",0","5",",0","0",",0","10",",0","3",",0","4",",0","25",",0","","","","","","","","","","","-27.2",",0,23,","152",",,0,23,+","127",",,0,21,","9.1",",,0,21,","","","","","","","","","","","36.2",",,,0","203",",,,0","","","","","-8.85",",,,0","",""
"USC00362942","1946-02","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","12",",0","5",",0","0",",0","7",",0","3",",0","0",",0","27",",0","","","","","","","","","","","-15.6",",0,16,","102",",,0,20,","89",",,0,20,","16.3",",,0,27,","","","","","","","","","","","56.8",",,,0","139",",,,0","","","","","-7.98",",,,0","",""
"USC00362942","1946-03","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0",",0","12",",0","10",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","10",",0","0",",0","3","","","","-11.1",",0,10,","0",",T,0,11,+","0",",T,0,11,+","22.4",",,0,15,","26.1",",0,28,","","","","","311.2",",0","","","81.7",",,,0","0",",T,,0","8.29",",0","16.62",",,,0","-0.04",",,,0","",""
"USC00362942","1946-04","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0","4,0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0","4,0","7","4,0","0","4,0","2","","1","","-6.7",",0,11,","0",",,0,30,+","0",",,0,30,+","16.8",",,0,24,","27.8","4,0,22,","","","","","256.3","4,0","","","40.0",",,,0","0",",,,0","8.56","4,0","16.92","4,,,0","0.19",",,,0","",""
"USC00362942","1946-05","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","2.2","1,0","18",",0","12",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0","1,0","15","1,0","0","1,0","2","","1","","0.0",",0,10,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,17,","28.3","1,0,25,","","","","","129.4","1,0","","","113.6",",,,0","0",",,,0","14.10","1,0","21.06","1,,,0","7.13",",,,0","",""
"USC00362942","1946-06","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","57.0","3,0","15",",0","11",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","24","3,0","0","3,0","1","","3","","3.9",",0,06,+","0",",,0,30,+","0",",,0,30,+","42.7",",,0,21,","31.7","3,0,30,+","","","","","31.7","3,0","","","174.6",",,,0","0",",,,0","19.26","3,0","26.74","3,,,0","11.79",",,,0","",""
"USC00362942","1946-07","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","87.0",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","8","","5","","7.2",",0,16,","0",",,0,31,+","0",",,0,31,+","32.0",",,0,21,","33.3",",0,11,","","","5.8","0","5.8",",0","","","99.2",",,,0","0",",,,0","20.95",",0","28.62",",,,0","13.29",",,,0","",""
"USC00362942","1946-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","40.6",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","11","","1","","6.1",",0,31,+","0",",,0,31,+","0",",,0,31,+","34.3",",,0,18,","30.6",",0,05,+","","","42.7","0","36.9",",0","","","78.7",",,,0","0",",,,0","18.45",",0","25.14",",,,0","11.77",",,,0","",""
"USC00362942","1946-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","24.1","1,0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","2","1,0","15","","","","3.9",",0,16,","0",",,0,30,+","0",",,0,30,+","26.4",",,0,11,","33.3","1,0,09,+","","","87.3","0","44.6","1,0","","","57.7",",,,0","0",",,,0","17.60","1,0","26.59","1,,,0","8.62",",,,0","",""
"USC00362942","1946-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","15",",0","0",",0","5","","1","","-1.1",",0,14,","0",",,0,31,+","0",",,0,31,+","24.9",",,0,10,","29.4",",0,07,+","","","258.8","0","171.5",",0","","","108.2",",,,0","0",",,,0","12.80",",0","20.86",",,,0","4.75",",,,0","",""
"USC00362942","1946-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","18",",0","","","","","","","2","","","","-7.2",",0,19,+","0",",,0,30,+","0",",,0,30,+","22.4",",,0,27,","","","","","","","","","","","47.5",",,,0","0",",,,0","","","","","-0.37",",,,0","",""
"USC00362942","1946-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","0.0","5,0","10",",0","7",",0","0",",0","3",",0","1",",0","0",",0","29",",0","3","5,0","0","5,0","0","5,0","","","","","-12.2",",0,27,+","102",",,0,21,","102",",,0,21,","14.2",",,0,12,","17.2","5,0,10,","","","","","447.0","5,0","","","60.5",",,,0","120",",,,0","1.10","5,0","7.72","5,,,0","-5.51",",,,0","",""
"USC00362942","1947-01","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0","5,0","16",",0","10",",0","0",",0","4",",0","1",",0","0",",0","24",",0","2","5,0","0","5,0","0","5,0","","","","","-16.7",",0,23,+","51",",,0,10,","25",",,0,06,","13.5",",,0,21,","19.4","5,0,30,","","","","","422.4","5,0","","","91.6",",,,0","69",",,,0","1.94","5,0","8.31","5,,,0","-4.43",",,,0","",""
"USC00362942","1947-02","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0","2,0","11",",0","2",",0","0",",0","18",",0","5",",0","4",",0","28",",0","16","2,0","0","2,0","0","2,0","","","","","-20.6",",0,08,","178",",,0,25,+","178",",,0,21,","11.7",",,0,21,","9.4","2,0,14,","","","","","613.0","2,0","","","21.8",",,,0","361",",,,0","-5.59","2,0","-0.23","2,,,0","-10.95",",,,0","",""
"USC00362942","1947-03","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0","4,0","13",",0","6",",0","0",",0","13",",0","4",",0","0",",0","30",",0","5","4,0","0","4,0","0","4,0","","","","","-13.3",",0,01,","203",",,0,04,+","102",",,0,26,+","14.7",",,0,14,","13.9","4,0,23,","","","","","520.6","4,0","","","50.4",",,,0","298",",,,0","-0.81","4,0","4.86","4,,,0","-6.48",",,,0","",""
"USC00362942","1947-04","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","0.0","0","0.0","4,0","13",",0","7",",0","1",",0","0",",0","0",",0","0",",0","10",",0","0","4,0","7","4,0","0","4,0","","","","","-5.0",",0,28,+","0",",T,0,01,","0",",,0,30,+","26.4",",,0,26,","27.2","4,0,05,","","","","","221.4","4,0","","","66.5",",,,0","0",",,,0","9.99","4,0","18.32","4,,,0","1.66",",,,0","",""
"USC00362942","1947-05","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","6.6","0","6.6","3,0","18",",0","12",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0","3,0","18","3,0","0","3,0","","","2","","-6.1",",0,10,","0",",T,0,09,+","0",",T,0,09,+","61.0",",,0,18,","28.9","3,0,28,","","","","","133.2","3,0","","","166.9",",,,0","0",",T,,0","13.72","3,0","21.28","3,,,0","6.16",",,,0","",""
"USC00362942","1947-06","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","51.2","0","44.6","1,0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","0","1,0","","","2","","3.9",",0,04,","0",",,0,30,+","0",",,0,30,+","23.4",",,0,07,","31.7","1,0,11,+","","","","","31.3","1,0","","","75.7",",,,0","0",",,,0","18.81","1,0","26.30","1,,,0","11.32",",,,0","",""
"USC00362942","1947-07","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","117.4","0","66.2",",0","15",",0","13",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","3","","1","","8.3",",0,04,+","0",",,0,31,+","0",",,0,31,+","24.1",",,0,17,","31.7",",0,01,","","","8.1","0","8.1",",0","","","128.0",",,,0","0",",,,0","20.21",",0","26.92",",,,0","13.49",",,,0","",""
"USC00362942","1947-08","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","274.3","0","156.9",",0","14",",0","8",",0","2",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","31",",0","7",",0","6","","4","","8.3",",0,01,","0",",,0,31,+","0","1,,0,31,+","39.4",",,0,31,","33.3",",0,12,","","","10.6","0","2.5",",0","","","134.1",",,,0","0","1,,,0","23.31",",0","30.12",",,,0","16.50",",,,0","",""
"USC00362942","1947-09","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","333.2","0","58.9",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","22",",0","0",",0","1","","","","-0.6",",0,27,","0",",,0,30,+","0",",,0,30,+","13.2",",,0,22,","31.7",",0,03,","","","97.3","0","86.7",",0","","","36.1",",,,0","0",",,,0","17.41",",0","24.85",",,,0","9.96",",,,0","",""
"USC00362942","1947-10","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","333.2","0","0.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","3","","","","-2.2",",0,02,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,29,","28.3",",0,15,","","","225.2","0","127.9",",0","","","44.8",",,,0","0",",,,0","14.21",",0","23.32",",,,0","5.09",",,,0","",""
"USC00362942","1947-11","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","333.2","0","0.0","3,0","15",",0","8",",0","0",",0","2",",0","1",",0","0",",0","23",",0","1","3,0","0","3,0","0","3,0","","","","","-11.1",",0,28,+","25",",,0,30,+","25",",,0,29,","13.2",",,0,12,","13.9","3,0,10,+","","","634.9","0","409.7","3,0","","","76.3",",,,0","38",",,,0","3.05","3,0","8.33","3,,,0","-2.23",",,,0","",""
"USC00362942","1947-12","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","333.2","0","0.0","2,0","8",",0","4",",0","0",",0","4",",0","1",",0","0",",0","30",",0","7","2,0","0","2,0","0","2,0","","","","","-15.0",",0,25,","51",",,0,27,+","38",",,0,26,","13.5",",,0,16,","15.0","2,0,03,","","","1226.5","0","591.6","2,0","","","34.9",",,,0","54",",,,0","-1.86","2,0","4.55","2,,,0","-8.26",",,,0","",""
"USC00362942","1948-01","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","16",",0","4",",0","0",",0","22",",0","5",",0","13",",0","30",",0","","","","","","","1","","","","-29.4",",0,29,","254",",,0,29,+","203",",,0,25,","20.3",",,0,02,","","","","","","","","","","","52.1",",,,0","461",",,,0","","","","","-15.05",",,,0","",""
"USC00362942","1948-02","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","10",",0","6",",0","1",",0","15",",0","3",",0","5","1,0","27","1,0","","","","","","","","","","","-29.4","1,0,09,","254",",,0,07,+","89",",,0,04,","31.2",",,0,14,","","","","","","","","","","","66.8",",,,0","212",",,,0","","","","","-11.13","1,,,0","",""
"USC00362942","1948-03","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","","","13",",0","9",",0","0",",0","2",",0","1",",0","1","1,","20","1,0","","","","","","","","","","","-18.3","1,0,12,","51",",,0,13,+","64",",,0,12,","12.4",",,0,17,","","","","","","","","","","","75.9",",,,0","69",",,,0","","","","","-3.05","1,,,0","",""
"USC00362942","1948-04","40.71507","-79.51345","283.5","FORD CITY 4 S DAM, PA US","","","3.6","5,0","17",",0","10",",0","2",",0","0",",0","0",",0","0","1,0","9","1,0","0","5,0","9","5,0","0","5,0","","","","","-6.7","1,0,04,","0",",T,0,09,","0",",T,0,09,","62.2",",,0,12,","29.4","5,0,26,","","","","","177.2","5,0","","","197.9",",,,0","0",",T,,0","11.41","5,0","19.00","5,,,0","3.83","1,,,0","",""
