"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415410","1912-06","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","1","","","","0",",,0,30,+","0",",,0,30,+","8.6",",,0,07,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-07","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","7",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","3","","","","0",",,0,31,+","0",",,0,31,+","29.5",",,0,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.2",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-08","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","9",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","2","","","","0",",,0,31,+","0",",,0,31,+","20.1",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-09","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","6",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","16.3",",,0,13,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-10","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","5",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","53.1",",,0,07,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-11","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","1","","","","","","0",",,0,30,+","0",",,0,30,+","0.3",",,0,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1912-12","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","1","","","","","","0",",,0,31,+","15",",,0,22,","3.8",",,0,03,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.6",",,,0","28",",,,0","","","","","","","",""
"USC00415410","1913-01","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","1","","","","","","0",",,0,31,+","0",",T,0,07,","1.0",",,0,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0",",,,0","0",",T,,0","","","","","","","",""
"USC00415410","1913-02","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","7",",0","1",",0","0",",0","0",",0","1",",0","","","","","","","","","","","","","","","","","0",",,0,28,+","25",",,0,07,","2.5",",,0,07,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2",",,,0","33",",,,0","","","","","","","",""
"USC00415410","1913-03","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","6",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",T,0,26,","13.7",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0",",,,0","0",",T,,0","","","","","","","",""
"USC00415410","1913-04","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","22.4",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1913-05","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","3",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","3.8",",,0,10,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1913-06","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","15",",0","9",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","70.6",",,0,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.5",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1913-07","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","10.2",",,0,26,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1913-08","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","6.4",",,0,23,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1913-09","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","93.1","2,0","11",",0","8",",0","2",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","26","1,0","7","1,0","","","","","4.4","2,0,28,","0",",,0,30,+","0",",,0,30,+","33.5",",,0,27,","35.0","1,0,07,","","","","","","","","","36.6","1,0","","","","","","","","","","","","","","","","","","","","","106.5",",,,0","0",",,,0","20.32","2,0","27.70","1,,,0","12.95","2,,,0","",""
"USC00415410","1913-10","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","17.5",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","21",",0","0",",0","","","","","-6.1",",0,29,","0",",,0,31,+","0",",,0,31,+","15.0",",,0,16,","31.1",",0,23,","","","","","","","","","117.2",",0","","","","","","","","","","","","","","","","","","","","","38.9",",,,0","0",",,,0","15.12",",0","22.64",",,,0","7.59",",,,0","",""
"USC00415410","1913-11","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","0.0",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","12",",0","0",",0","","","","","-0.6",",0,08,","0",",,0,30,+","0",",,0,30,+","14.7",",,0,04,","28.9",",0,07,","","","","","","","","","190.5",",0","","","","","","","","","","","","","","","","","","","","","39.2",",,,0","0",",,,0","11.98",",0","18.32",",,,0","5.65",",,,0","",""
"USC00415410","1913-12","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","0.0",",0","6",",0","4",",0","1",",0","0","1,0","1",",0","0",",0","25",",0","1",",0","0",",0","0",",0","1","","","","-15.6",",0,22,","0","1,,0,31,+","152",",,0,21,","28.2",",,0,16,","15.0",",0,11,","","","","","","","","","477.7",",0","","","","","","","","","","","","","","","","","","","","","53.8",",,,0","152",",,,0","2.92",",0","8.96",",,,0","-3.11",",,,0","",""
"USC00415410","1914-01","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","11",",0","0",",0","","","","","-9.4",",0,30,","0",",T,0,12,","3",",,0,12,","3.8",",,0,12,","30.6",",0,17,","","","","","","","","","284.5",",0","","","","","","","","","","","","","","","","","","","","","3.8",",,,0","3",",,,0","9.15",",0","18.28",",,,0","0.03",",,,0","",""
"USC00415410","1914-02","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","2",",0","0",",0","","","","","-14.4",",0,07,","0",",,0,28,+","0",",T,0,27,","1.8",",,0,18,","25.0",",0,21,","","","","","","","","","347.0",",0","","","","","","","","","","","","","","","","","","","","","2.6",",,,0","0",",T,,0","5.94",",0","16.18",",,,0","-4.30",",,,0","",""
"USC00415410","1914-03","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","19",",0","0",",0","","","","","-9.4",",0,12,","0",",T,0,21,","5",",,0,21,","6.6",",,0,18,","27.8",",0,26,+","","","","","","","","","243.0",",0","","","","","","","","","","","","","","","","","","","","","7.9",",,,0","5",",,,0","10.49",",0","20.46",",,,0","0.52",",,,0","",""
"USC00415410","1914-04","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","17.8","0","17.8",",0","5",",0","1",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","25",",0","1",",0","","","1","","-3.9",",0,08,","0",",,0,30,+","0",",,0,30,+","34.8",",,0,03,","33.3",",0,16,","","","","","","","","","106.1",",0","","","","","","","","","","","","","","","","","","","","","37.2",",,,0","0",",,,0","15.39",",0","24.04",",,,0","6.74",",,,0","",""
"USC00415410","1914-05","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","64.9","0","47.1",",0","14",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","","","","","6.7",",0,15,","0",",,0,31,+","0",",,0,31,+","30.0",",,0,15,","35.0",",0,10,","","","","","","","","","41.1",",0","","","","","","","","","","","","","","","","","","","","","102.9",",,,0","0",",,,0","18.53",",0","24.14",",,,0","12.91",",,,0","",""
"USC00415410","1914-06","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","245.1","0","180.2",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","15.6",",0,17,+","0",",,0,30,+","0",",,0,30,+","41.9",",,0,02,","35.6",",0,28,+","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","98.1",",,,0","0",",,,0","24.34",",0","31.06",",,,0","17.62",",,,0","",""
"USC00415410","1914-07","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","466.3","0","221.2","2,0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","29","2,0","23","2,0","","","","","16.7",",0,08,","0",",,0,31,+","0",",,0,31,+","78.5",",,0,03,","38.9","2,0,31,","","","0.0","0","","","","","0.0","2,0","","","","","","","","","","","","","","","","","","","","","156.7",",,,0","0",",,,0","25.95","2,0","32.94","2,,,0","18.95",",,,0","",""
"USC00415410","1914-08","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","668.4","0","202.1",",0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","","","","","15.0",",0,16,","0",",,0,31,+","0",",,0,31,+","43.9",",,0,03,","36.7",",0,01,","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","151.1",",,,0","0",",,,0","24.85",",0","31.71",",,,0","18.00",",,,0","",""
"USC00415410","1914-09","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","783.3","0","114.9",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","3.9",",0,30,","0",",,0,30,+","0",",,0,30,+","11.4",",,0,18,","33.9",",0,12,+","","","17.6","0","","","","","17.6",",0","","","","","","","","","","","","","","","","","","","","","11.7",",,,0","0",",,,0","21.58",",0","29.42",",,,0","13.73",",,,0","",""
"USC00415410","1914-10","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","793.6","0","10.3",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","20",",0","0",",0","","","","","-1.7",",0,27,","0",",,0,31,+","0",",,0,31,+","60.5",",,0,23,","30.6",",0,17,","","","134.5","0","","","","","116.9",",0","","","","","","","","","","","","","","","","","","","","","180.9",",,,0","0",",,,0","14.89",",0","22.55",",,,0","7.24",",,,0","",""
"USC00415410","1914-11","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","793.6","0","0.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","11",",0","0",",0","","","","","-6.1",",0,17,","0",",,0,30,+","0",",,0,30,+","5.3",",,0,12,","25.6",",0,14,","","","369.6","0","","","","","235.1",",0","","","","","","","","","","","","","","","","","","","","","8.9",",,,0","0",",,,0","10.50",",0","18.36",",,,0","2.64",",,,0","",""
"USC00415410","1914-12","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","2",",0","1",",0","0","2,0","0","1,0","0","4,0","26","4,0","","","","","","","","","","","-12.2","4,0,14,","0","2,,0,31,+","0","1,,0,31,+","26.2",",,0,24,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4",",,,0","0","1,,,0","","","","","-4.93","4,,,0","",""
"USC00415410","1915-01","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","3",",0","0",",0","0",",0","0",",0","0",",0","1",",0","28",",0","2",",0","0",",0","0",",0","","","","","-18.3",",0,24,","0",",,0,31,+","5",",,0,23,","1.5",",,0,30,","19.4",",0,15,+","","","","","","","","","486.2",",0","","","","","","","","","","","","","","","","","","","","","2.3",",,,0","5",",,,0","2.65",",0","10.63",",,,0","-5.33",",,,0","",""
"USC00415410","1915-02","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","19",",0","0",",0","6",",0","0",",0","","","","","-9.4",",0,04,","0",",,0,28,+","0",",,0,28,+","27.4",",,0,26,","24.4",",0,08,","","","","","","","","","323.6",",0","","","","","","","","","","","","","","","","","","","","","76.2",",,,0","0",",,,0","6.78",",0","15.30",",,,0","-1.75",",,,0","",""
"USC00415410","1915-03","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","6",",0","5",",0","1",",0","0","4,0","4",",0","0",",0","25",",0","1",",0","4",",0","0",",0","","","","","-7.8",",0,05,","0","4,,0,31,+","203",",,0,04,","32.0",",,0,04,","27.2",",0,24,","","","","","","","","","439.9",",0","","","","","","","","","","","","","","","","","","","","","64.0",",,,0","419",",,,0","4.14",",0","10.51",",,,0","-2.22",",,,0","",""
"USC00415410","1915-04","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","7.6","0","7.6","3,0","15",",0","10",",0","1",",0","0",",0","1",",0","0","2,0","3","2,0","0","2,0","16","2,0","0","2,0","","","","","-2.2","2,0,01,","0",",,0,30,+","25",",,0,01,","38.4",",,0,25,","28.3","2,0,28,+","","","","","","","","","116.7","2,0","","","","","","","","","","","","","","","","","","","","","157.2",",,,0","25",",,,0","14.34","3,0","21.35","2,,,0","7.33","2,,,0","",""
"USC00415410","1915-05","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","43.7","0","36.1","1,0","5",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","25",",0","1",",0","","","","","0.0","1,0,07,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,06,","32.8",",0,25,","","","","","","","","","59.2",",0","","","","","","","","","","","","","","","","","","","","","38.6",",,,0","0",",,,0","17.64","1,0","25.37",",,,0","9.90","1,,,0","",""
"USC00415410","1915-06","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","188.0","0","144.3",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","14",",0","","","","","6.1",",0,08,","0",",,0,30,+","0",",,0,30,+","43.7",",,0,07,","37.8",",0,20,","","","","","","","","","11.4",",0","","","","","","","","","","","","","","","","","","","","","101.9",",,,0","0",",,,0","22.76",",0","30.52",",,,0","15.00",",,,0","",""
"USC00415410","1915-07","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","367.3","0","179.3",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","9.4",",0,05,","0",",,0,31,+","0",",,0,31,+","13.0",",,0,29,","36.1",",0,12,","","","1.2","0","","","","","1.2",",0","","","","","","","","","","","","","","","","","","","","","36.2",",,,0","0",",,,0","24.08",",0","31.35",",,,0","16.80",",,,0","",""
"USC00415410","1915-08","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","512.0","0","144.7",",0","12",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","6.1",",0,31,","0",",,0,31,+","0",",,0,31,+","28.7",",,0,27,","33.9",",0,22,+","","","7.3","0","","","","","6.1",",0","","","","","","","","","","","","","","","","","","","","","75.2",",,,0","0",",,,0","22.80",",0","30.72",",,,0","14.89",",,,0","",""
"USC00415410","1915-09","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","609.2","0","97.2","2,0","11",",0","9",",0","3",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","26","1,0","9","1,0","","","","","6.1","1,0,01,","0",",,0,30,+","0",",,0,30,+","69.9",",,0,22,","36.7","1,0,13,","","","21.5","0","","","","","14.2","1,0","","","","","","","","","","","","","","","","","","","","","199.7",",,,0","0",",,,0","21.20","2,0","28.71","1,,,0","13.69","1,,,0","",""
"USC00415410","1915-10","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","609.5","0","0.3","2,0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","24","2,0","0","2,0","","","","","2.8",",0,29,+","0",",,0,31,+","0",",,0,31,+","29.0",",,0,15,","29.4","2,0,29,","","","114.2","0","","","","","92.7","2,0","","","","","","","","","","","","","","","","","","","","","38.7",",,,0","0",",,,0","15.33","2,0","23.84","2,,,0","6.82",",,,0","",""
"USC00415410","1915-11","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","612.3","0","2.8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","15",",0","0",",0","","","","","-8.3",",0,29,","0",",,0,30,+","0",",T,0,25,","1.0",",,0,25,","28.9",",0,01,","","","360.2","0","","","","","246.0",",0","","","","","","","","","","","","","","","","","","","","","1.0",",,,0","0",",T,,0","10.23",",0","20.28",",,,0","0.17",",,,0","",""
"USC00415410","1915-12","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","612.3","0","0.0",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","24",",0","1",",0","5",",0","0",",0","","","","","-11.7",",0,25,","0",",,0,31,+","13",",,0,28,","13.2",",,0,06,","24.4",",0,22,","","","748.8","0","","","","","388.6",",0","","","","","","","","","","","","","","","","","","","","","19.3",",,,0","13",",,,0","5.80",",0","14.19",",,,0","-2.59",",,,0","",""
"USC00415410","1916-01","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","21",",0","3",",0","5",",0","0",",0","","","","","-16.1",",0,13,","0",",,0,31,+","5",",,0,17,","3.0",",,0,20,","25.6",",0,09,","","","1197.0","0","","","","","448.2",",0","","","","","","","","","","","","","","","","","","","","","4.3",",,,0","5",",,,0","3.87",",0","11.77",",,,0","-4.03",",,,0","",""
