"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093986","1910-11","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1426.8","6","1.7","2,6","1",",6","1",",6","0",",6","","","0",",6","0",",6","8",",6","0","2,6","11","2,6","0","2,6","","","","","","","-7.2",",6,28,","","","0",",T,6,15,","2.8",",,6,15,","27.2","2,6,26,","294.4","6","219.3","2,6","2.8",",,,6","0",",T,,6","10.77","2,6","18.56","2,,,6","2.98",",,,6","","","","","","","","","",""
"USW00093986","1910-12","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1426.8","6","0.0",",6","2",",6","0",",6","0",",6","","","","","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","","","-11.1",",6,30,","","","","","0.8",",,6,13,","17.2",",6,27,","697.2","6","402.8",",6","1.3",",,,6","","","5.34",",6","11.84",",,,6","-1.16",",,,6","","","","","","","","","",""
"USW00093986","1911-01","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0","2,6","2",",6","1",",6","0",",6","","","0",",6","2","1,6","16","1,6","2","1,6","9","1,6","0","1,6","","","","","","","-22.2","1,6,03,","","","0",",,6,31,+","4.3",",,6,18,","30.0","1,6,31,","1035.0","6","337.8","1,6","4.8",",,,6","0",",,,6","6.84","2,6","14.40","1,,,6","-0.72","1,,,6","","","","","","","","","",""
"USW00093986","1911-02","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","3.3","6","3.3",",6","6",",6","4",",6","1",",6","","","0",",6","0",",6","10",",6","3",",6","9",",6","0",",6","","","","","","","-9.4",",6,22,","","","0",",T,6,28,+","47.5",",,6,18,","30.6",",6,01,","1332.9","6","297.9",",6","77.1",",,,6","0",",T,,6","7.81",",6","14.31",",,,6","1.31",",,,6","","","","","","","","","",""
"USW00093986","1911-03","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","11.1","6","7.8",",6","1",",6","0",",6","0",",6","","","0",",6","0",",6","5",",6","0",",6","19",",6","0",",6","","","","","","","-4.4",",6,01,","","","0",",T,6,01,","2.0",",,6,01,","29.4",",6,11,+","1482.7","6","149.8",",6","2.0",",,,6","0",",T,,6","13.75",",6","22.30",",,,6","5.20",",,,6","","","","","","","","","",""
"USW00093986","1911-04","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","46.1","6","35.0",",6","7",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","24",",6","2",",6","","","","","","","2.2",",6,16,","","","","","20.6",",,6,04,","32.8",",6,22,","1545.2","6","62.5",",6","26.1",",,,6","","","17.41",",6","25.24",",,,6","9.58",",,,6","","","","","","","","","",""
"USW00093986","1911-05","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","203.3","6","157.2",",6","5",",6","4",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","14",",6","","","","","","","2.2",",6,01,","","","","","28.7",",,6,27,","37.2",",6,23,","1560.3","6","15.1",",6","68.8",",,,6","","","22.92",",6","31.22",",,,6","14.62",",,,6","","","","","","","","","",""
"USW00093986","1911-06","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","541.3","6","338.0",",6","2",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","30",",6","","","","","","","16.1",",6,20,","","","","","3.3",",,6,24,","43.9",",6,25,+","1560.3","6","0.0",",6","5.6",",,,6","","","29.60",",6","38.46",",,,6","20.74",",,,6","","","","","","","","","",""
"USW00093986","1911-07","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","838.6","6","297.3",",6","12",",6","12",",6","3",",6","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","","","","","","","13.3",",6,25,","","","","","53.8",",,6,20,","42.8",",6,05,","0.0","6","0.0",",6","203.5",",,,6","","","27.92",",6","35.31",",,,6","20.54",",,,6","","","","","","","","","",""
"USW00093986","1911-08","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1108.3","6","269.7",",6","6",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","25",",6","","","","","","","12.2",",6,29,","","","","","36.1",",,6,04,","41.1",",6,21,+","0.0","6","0.0",",6","59.1",",,,6","","","27.03",",6","34.81",",,,6","19.26",",,,6","","","","","","","","","",""
"USW00093986","1911-09","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1360.2","6","251.9",",6","6",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","24",",6","","","","","","","13.3",",6,19,","","","","","8.9",",,6,07,","38.3",",6,05,","0.0","6","0.0",",6","23.6",",,,6","","","26.73",",6","34.32",",,,6","19.14",",,,6","","","","","","","","","",""
"USW00093986","1911-10","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1440.2","6","80.0",",6","5",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","22",",6","7",",6","","","","","","","0.6",",6,27,+","","","","","16.5",",,6,29,","35.6",",6,03,","117.1","6","117.1",",6","54.1",",,,6","","","17.14",",6","24.15",",,,6","10.12",",,,6","","","","","","","","","",""
"USW00093986","1911-11","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1440.2","6","0.0",",6","3",",6","2",",6","0",",6","","","0",",6","0",",6","16",",6","1",",6","6",",6","0",",6","","","","","","","-12.8",",6,29,+","","","15",",,6,27,","10.7",",,6,05,","27.2",",6,11,","442.7","6","325.6",",6","14.7",",,,6","28",",,,6","7.48",",6","15.26",",,,6","-0.30",",,,6","","","","","","","","","",""
"USW00093986","1911-12","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1440.2","6","0.0","1,6","10",",6","5",",6","2",",6","","","3",",6","0","1,6","21","1,6","6","1,6","0","1,6","0","1,6","","","","","","","-14.4","1,6,31,","","","127",",,6,19,","67.3",",,6,19,","20.6","1,6,01,","908.0","6","465.3","1,6","140.2",",,,6","228",",,,6","2.82","1,6","8.16","1,,,6","-2.52","1,,,6","","","","","","","","","",""
"USW00093986","1912-01","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","3",",6","29",",6","7",",6","0",",6","0",",6","","","","","","","-22.2",",6,12,","","","0",",T,6,11,+","0.0",",T,6,16,+","20.0",",6,26,","1499.8","6","591.8",",6","0.0",",T,,6","0",",T,,6","-0.76",",6","6.29",",,,6","-7.80",",,,6","","","","","","","","","",""
"USW00093986","1912-02","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0","3,6","3",",6","3",",6","0",",6","","","1",",6","0",",6","18",",6","1","3,6","2","3,6","0","3,6","","","","","","","-11.7",",6,04,","","","51",",,6,20,","19.3",",,6,25,","30.6","3,6,19,","1830.7","6","330.9","3,6","31.7",",,,6","51",",,,6","5.54","3,6","12.48","3,,,6","-1.40",",,,6","","","","","","","","","",""
"USW00093986","1912-03","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0","4,6","13",",6","6",",6","0",",6","","","","","0","2,6","12","2,6","1","2,6","4","2,6","0","2,6","","","","","","","-6.7","2,6,21,+","","","","","18.0",",,6,28,","28.3","2,6,19,","2152.3","6","321.6","2,6","50.2",",,,6","","","6.21","4,6","11.54","2,,,6","0.88","2,,,6","","","","","","","","","",""
"USW00093986","1912-04","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","14.2","6","14.2","2,6","6",",6","5",",6","2",",6","","","","","0","1,6","0","1,6","0","2,6","17","2,6","1","2,6","","","","","","","0.6","1,6,17,+","","","","","80.8",",,6,27,","32.8","2,6,25,","2248.3","6","96.0","2,6","127.5",",,,6","","","15.40","2,6","22.74","2,,,6","8.06","1,,,6","","","","","","","","","",""
"USW00093986","1912-05","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","158.7","6","144.5",",6","7",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","28",",6","11",",6","","","","","","","6.7",",6,16,","","","","","24.6",",,6,09,","38.9",",6,27,","2272.4","6","24.1",",6","44.3",",,,6","","","22.22",",6","29.72",",,,6","14.71",",,,6","","","","","","","","","",""
"USW00093986","1912-06","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","312.7","6","154.0",",6","9",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","29",",6","13",",6","","","","","","","10.6",",6,25,+","","","","","66.5",",,6,23,","38.3",",6,15,","2275.1","6","2.7",",6","152.5",",,,6","","","23.38",",6","30.98",",,,6","15.77",",,,6","","","","","","","","","",""
"USW00093986","1912-07","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","623.6","6","310.9",",6","5",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","29",",6","","","","","","","16.7",",6,05,","","","","","8.4",",,6,05,","40.6",",6,28,","0.0","6","0.0",",6","19.1",",,,6","","","28.36",",6","35.45",",,,6","21.28",",,,6","","","","","","","","","",""
"USW00093986","1912-08","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","869.5","6","245.9",",6","9",",6","6",",6","3",",6","","","","","0",",6","0",",6","0",",6","31",",6","21",",6","","","","","","","15.6",",6,22,+","","","","","32.8",",,6,07,","38.3",",6,25,","0.0","6","0.0",",6","109.3",",,,6","","","26.27",",6","32.60",",,,6","19.93",",,,6","","","","","","","","","",""
"USW00093986","1912-09","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1009.0","6","139.5",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","12",",6","","","","","","","5.0",",6,27,+","","","","","10.9",",,6,13,","37.2",",6,08,","29.9","6","29.9",",6","22.3",",,,6","","","21.98",",6","29.00",",,,6","14.96",",,,6","","","","","","","","","",""
"USW00093986","1912-10","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1057.0","6","48.0",",6","5",",6","4",",6","2",",6","","","","","0",",6","0",",6","0",",6","25",",6","1",",6","","","","","","","1.7",",6,23,","","","","","36.6",",,6,08,","33.3",",6,04,","110.0","6","80.1",",6","82.0",",,,6","","","17.30",",6","24.37",",,,6","10.23",",,,6","","","","","","","","","",""
"USW00093986","1912-11","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1057.0","6","0.0",",6","1",",6","1",",6","0",",6","","","","","0",",6","8",",6","0",",6","9",",6","0",",6","","","","","","","-3.9",",6,28,","","","","","3.3",",,6,05,","24.4",",6,09,","362.6","6","252.6",",6","3.3",",,,6","","","9.91",",6","17.34",",,,6","2.49",",,,6","","","","","","","","","",""
"USW00093986","1912-12","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1057.0","6","0.0","1,6","4",",6","4",",6","0",",6","","","","","0","1,6","22","1,6","0",",6","0",",6","0",",6","","","","","","","-7.8","1,6,24,","","","","","16.3",",,6,01,","17.8",",6,30,+","777.9","6","415.3",",6","26.4",",,,6","","","4.51","1,6","10.72",",,,6","-1.69","1,,,6","","","","","","","","","",""
"USW00093986","1913-01","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0","2,6","4",",6","2",",6","0",",6","","","0",",6","2","2,6","23","2,6","3",",6","1",",6","0",",6","","","","","","","-18.9","2,6,08,","","","15",",,6,07,","3.0",",,6,16,","22.2",",6,17,","1210.7","6","432.8",",6","8.1",",,,6","15",",,,6","3.51","2,6","11.09",",,,6","-4.08","2,,,6","","","","","","","","","",""
"USW00093986","1913-02","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.0","6","0.0",",6","7",",6","4",",6","1",",6","","","2",",6","0",",6","25",",6","6",",6","4",",6","0",",6","","","","","","","-14.4",",6,08,","","","56",",,6,07,","27.4",",,6,21,","24.4",",6,18,","1682.8","6","472.1",",6","47.5",",,,6","127",",,,6","1.47",",6","7.70",",,,6","-4.76",",,,6","","","","","","","","","",""
"USW00093986","1913-03","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","0.6","6","0.6","1,6","7",",6","7",",6","0",",6","","","1",",6","0",",6","14",",6","0","1,6","6","1,6","0","1,6","","","","","","","-15.0",",6,01,","","","147",",,6,26,","14.5",",,6,26,+","27.8","1,6,23,","1983.7","6","300.9","1,6","66.9",",,,6","147",",,,6","8.33","1,6","16.73","1,,,6","-0.07",",,,6","","","","","","","","","",""
"USW00093986","1913-04","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","33.7","6","33.1",",6","3",",6","2",",6","1",",6","","","","","0",",6","1",",6","0",",6","22",",6","5",",6","","","","","","","0.0",",6,12,","","","","","25.9",",,6,08,","35.6",",6,17,","2082.0","6","98.3",",6","43.1",",,,6","","","16.16",",6","25.54",",,,6","6.78",",,,6","","","","","","","","","",""
"USW00093986","1913-05","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","169.3","6","135.6","2,6","","","","","","","","","","","0","1,6","0","1,6","0","1,6","30","1,6","12","1,6","","","","","","","5.6","1,6,07,","","","","","","","38.3","1,6,31,","2089.7","6","7.7","1,6","","","","","22.73","2,6","30.83","1,,,6","14.63","1,,,6","","","","","","","","","",""
"USW00093986","1913-06","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","364.4","6","195.1","1,6","11","1,6","11","1,6","2","1,6","","","","","0","1,6","0","1,6","0","1,6","27","1,6","19","1,6","","","","","","","11.7","1,6,09,","","","","","64.8","1,,6,30,","40.0","1,6,01,","2098.3","6","8.6","1,6","153.7","1,,,6","","","24.77","1,6","31.52","1,,,6","18.01","1,,,6","","","","","","","","","",""
"USW00093986","1913-07","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","684.4","6","320.0",",6","4",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","29",",6","","","","","","","15.0",",6,22,","","","","","33.0",",,6,01,","41.1",",6,23,+","0.0","6","0.0",",6","69.9",",,,6","","","28.66",",6","36.71",",,,6","20.60",",,,6","","","","","","","","","",""
"USW00093986","1913-08","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1055.1","6","370.7",",6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","31",",6","","","","","","","15.0",",6,02,","","","","","0.3",",,6,14,","42.2",",6,26,","0.0","6","0.0",",6","0.3",",,,6","","","30.29",",6","39.08",",,,6","21.51",",,,6","","","","","","","","","",""
"USW00093986","1913-09","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1158.8","6","103.7","4,6","14",",6","9",",6","0",",6","","","","","0","3,6","0","3,6","0","1,6","26","1,6","9","1,6","","","","","","","5.6","3,6,21,","","","","","22.6",",,6,08,","38.3","1,6,06,","24.7","6","24.7","1,6","137.3",",,,6","","","21.49","4,6","28.33","1,,,6","14.64","3,,,6","","","","","","","","","",""
"USW00093986","1913-10","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1191.4","6","32.6",",6","8",",6","4",",6","2",",6","","","0",",6","0",",6","4",",6","0",",6","20",",6","0",",6","","","","","","","-5.0",",6,29,","","","0",",T,6,26,","30.5",",,6,04,","30.0",",6,06,","157.5","6","132.8",",6","74.5",",,,6","0",",T,,6","15.10",",6","22.08",",,,6","8.12",",,,6","","","","","","","","","",""
"USW00093986","1913-11","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1194.8","6","3.4",",6","8",",6","7",",6","2",",6","","","","","0",",6","1",",6","0",",6","9",",6","0",",6","","","","","","","-0.6",",6,10,","","","","","46.0",",,6,04,","26.1",",6,13,+","311.7","6","154.2",",6","114.6",",,,6","","","13.31",",6","18.20",",,,6","8.41",",,,6","","","","","","","","","",""
"USW00093986","1913-12","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1194.8","6","0.0",",6","12","1,6","9","1,6","2","1,6","","","2",",6","0",",6","19",",6","2",",6","0",",6","0",",6","","","","","","","-13.9",",6,23,","","","114",",,6,22,","66.0","1,,6,02,","20.0",",6,05,","753.9","6","442.2",",6","128.7","1,,,6","147",",,,6","4.07",",6","8.55",",,,6","-0.41",",,,6","","","","","","","","","",""
"USW00093986","1914-01","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","2.0","6","2.0","1,6","0",",6","0",",6","0",",6","","","","","0","1,6","16","1,6","0",",6","7",",6","0",",6","","","","","","","-8.9","1,6,30,","","","","","0.0",",,6,31,+","26.1",",6,26,","1026.5","6","272.6",",6","0.0",",,,6","","","9.37","1,6","16.35",",,,6","2.40","1,,,6","","","","","","","","","",""
"USW00093986","1914-02","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","2.0","6","0.0","1,6","2",",6","1",",6","0",",6","","","0",",6","0","1,6","22","1,6","0",",6","4",",6","0",",6","","","","","","","-17.2","1,6,07,","","","0",",T,6,12,","13.0",",,6,18,","22.2",",6,17,+","1409.2","6","382.7",",6","15.0",",,,6","0",",T,,6","4.21","1,6","13.13",",,,6","-4.70","1,,,6","","","","","","","","","",""
"USW00093986","1914-03","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","4.5","6","2.5",",6","4",",6","4",",6","0",",6","","","0",",6","0",",6","15",",6","0",",6","18",",6","0",",6","","","","","","","-8.3",",6,12,","","","0",",T,6,21,+","11.2",",,6,19,","29.4",",6,15,+","1629.8","6","220.6",",6","30.0",",,,6","0",",T,,6","11.30",",6","20.84",",,,6","1.76",",,,6","","","","","","","","","",""
"USW00093986","1914-04","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","45.7","6","41.2",",6","7",",6","5",",6","0",",6","","","","","0",",6","3",",6","0",",6","22",",6","4",",6","","","","","","","-3.3",",6,09,","","","","","23.1",",,6,27,","35.6",",6,16,","1730.1","6","100.3",",6","54.6",",,,6","","","16.36",",6","24.36",",,,6","8.37",",,,6","","","","","","","","","",""
"USW00093986","1914-05","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","129.1","6","83.4",",6","12",",6","9",",6","2",",6","","","","","0",",6","0",",6","0",",6","26",",6","2",",6","","","","","","","6.1",",6,13,","","","","","35.3",",,6,02,","32.8",",6,10,","1756.7","6","26.6",",6","156.5",",,,6","","","20.16",",6","25.75",",,,6","14.58",",,,6","","","","","","","","","",""
"USW00093986","1914-06","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","409.9","6","280.8",",6","4",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","22",",6","","","","","","","17.2",",6,18,","","","","","25.9",",,6,16,","40.6",",6,28,","1756.7","6","0.0",",6","43.5",",,,6","","","27.69",",6","34.65",",,,6","20.73",",,,6","","","","","","","","","",""
"USW00093986","1914-07","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","764.0","6","354.1",",6","4",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","30",",6","","","","","","","16.7",",6,09,+","","","","","4.6",",,6,23,","43.9",",6,31,","0.0","6","0.0",",6","9.3",",,,6","","","29.76",",6","38.46",",,,6","21.05",",,,6","","","","","","","","","",""
"USW00093986","1914-08","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1034.3","6","270.3",",6","11",",6","9",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","22",",6","","","","","","","17.2",",6,29,","","","","","55.1",",,6,24,","40.6",",6,01,","0.0","6","0.0",",6","131.4",",,,6","","","27.05",",6","33.65",",,,6","20.45",",,,6","","","","","","","","","",""
"USW00093986","1914-09","34.9894","-99.0525","474.3","HOBART MUNICIPAL AIRPORT, OK US","","","1210.7","6","176.4","2,6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0","2,6","28","2,6","16","2,6","","","","","","","7.8",",6,30,+","","","","","1.3",",,6,18,","35.6","2,6,10,","3.3","6","3.3","2,6","1.3",",,,6","","","24.66","2,6","32.05","2,,,6","17.27",",,,6","","","","","","","","","",""
