"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00294719","1906-02","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","2",",6","2",",6","0",",6","","","1",",6","0",",6","25",",6","0",",6","0",",6","0",",6","","","","","-6.7",",6,06,","","","25",",,6,12,","6.4",",,6,11,","18.3",",6,07,","","","","","394.1",",6","","","9.4",",,,6","25",",,,6","4.26",",6","12.22",",,,6","-3.70",",,,6","",""
"USC00294719","1906-03","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0","1,6","0",",6","0",",6","0",",6","","","0",",6","0",",6","16",",6","0","1,6","1","1,6","0","1,6","","","","","-11.1",",6,03,","","","0",",T,6,25,+","0.0",",T,6,26,+","23.9","1,6,31,","","","","","313.9","1,6","","","0.0",",T,,6","0",",T,,6","7.79","1,6","16.15","1,,,6","-0.56",",,,6","",""
"USC00294719","1906-04","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","2",",6","2",",6","0",",6","","","","","0",",6","14",",6","0",",6","13",",6","0",",6","","","","","-2.2",",6,30,+","","","","","6.4",",,6,06,","24.4",",6,10,","","","","","240.4",",6","","","11.5",",,,6","","","10.32",",6","20.03",",,,6","0.61",",,,6","",""
"USC00294719","1906-05","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","6.7",",6","2",",6","2",",6","0",",6","","","0",",6","0",",6","4",",6","0",",6","30",",6","1",",6","","","","","-5.6",",6,02,","","","0",",,6,31,+","5.6",",,6,09,","33.9",",6,19,","","","","","94.9",",6","","","9.4",",,,6","0",",,,6","15.49",",6","26.22",",,,6","4.75",",,,6","",""
"USC00294719","1906-06","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","98.9",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","20",",6","","","","","5.0",",6,08,+","","","0",",,6,30,+","0.0",",T,6,16,","36.7",",6,12,+","","","","","5.8",",6","","","0.0",",T,,6","0",",,,6","21.44",",6","32.63",",,,6","10.25",",,,6","",""
"USC00294719","1906-07","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","117.0","3,6","6",",6","6",",6","0",",6","","","0",",6","0","3,6","0","3,6","0","2,6","26","2,6","15","2,6","","","","","8.9","3,6,07,","","","0",",,6,31,+","19.1",",,6,02,","36.7","2,6,01,","","","12.5","6","12.5","2,6","","","69.9",",,,6","0",",,,6","22.11","3,6","30.18","2,,,6","14.05","3,,,6","",""
"USC00294719","1906-08","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","80.5",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","2",",6","","","","","7.8",",6,09,","","","","","14.0",",,6,04,","33.9",",6,21,","","","15.6","6","3.1",",6","","","32.1",",,,6","","","20.83",",6","28.99",",,,6","12.66",",,,6","",""
"USC00294719","1906-09","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","21.7",",6","6",",6","6",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","","","","","2.2",",6,20,","","","0",",,6,30,+","31.8",",,6,26,","31.1",",6,08,","","","61.3","6","45.7",",6","","","75.2",",,,6","0",",,,6","17.54",",6","26.07",",,,6","9.00",",,,6","",""
"USC00294719","1906-10","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0","1,6","3",",6","3",",6","0",",6","","","2",",6","0","1,6","12","1,6","0","1,6","18","1,6","0","1,6","","","","","-5.6","1,6,24,+","","","152",",,6,22,","16.0",",,6,21,","26.7","1,6,03,","","","272.9","6","211.6","1,6","","","33.8",",,,6","177",",,,6","11.28","1,6","20.13","1,,,6","2.43","1,,,6","",""
"USC00294719","1906-11","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","3",",6","2",",6","0",",6","","","1",",6","0",",6","17",",6","2",",6","0",",6","0",",6","","","","","-12.2",",6,20,","","","25",",,6,18,","16.5",",,6,01,","20.6",",6,13,","","","676.9","6","404.0",",6","","","26.1",",,,6","25",",,,6","4.87",",6","10.90",",,,6","-1.17",",,,6","",""
"USC00294719","1906-12","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0","1,6","4",",6","4",",6","0",",6","","","0",",6","0","1,6","28","1,6","0",",6","0",",6","0",",6","","","","","-10.0","1,6,21,+","","","0",",T,6,31,","19.1",",,6,04,","19.4",",6,12,","","","1143.1","6","466.2",",6","","","63.5",",,,6","0",",T,,6","2.80","1,6","9.73",",,,6","-4.13","1,,,6","",""
"USC00294719","1907-01","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0","2,6","3",",6","3",",6","0",",6","","","0",",6","0","2,6","24","2,6","1",",6","0",",6","0",",6","","","","","-12.8","2,6,03,","","","0",",T,6,01,","8.9",",,6,08,","14.4",",6,29,+","","","1599.9","6","456.8",",6","","","22.2",",,,6","0",",T,,6","2.50","2,6","9.07",",,,6","-4.07","2,,,6","",""
"USC00294719","1907-02","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0","1,6","0",",6","0",",6","0",",6","","","","","0",",6","21",",6","0","1,6","0","1,6","0","1,6","","","","","-6.7",",6,14,","","","","","0.0",",T,6,21,","18.3","1,6,20,","","","1922.9","6","323.0","1,6","","","0.0",",T,,6","","","6.35","1,6","14.81","1,,,6","-2.12",",,,6","",""
"USC00294719","1907-03","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0","1,6","0",",6","0",",6","0",",6","","","0",",6","0",",6","21",",6","0","1,6","9","1,6","0","1,6","","","","","-11.7",",6,14,","","","0",",,6,31,+","0.0",",,6,31,+","28.3","1,6,22,+","","","2202.3","6","279.4","1,6","","","0.0",",,,6","0",",,,6","9.01","1,6","19.09","1,,,6","-1.07",",,,6","",""
"USC00294719","1907-04","35.0463","-107.3736","1777.0","LAGUNA, NM US","1.7","6","1.7","2,6","3",",6","3",",6","1",",6","","","2",",6","0","1,6","7","1,6","0","2,6","18","2,6","0","2,6","","","","","-7.2","1,6,21,","","","406",",,6,20,","40.6",",,6,20,","30.0","2,6,10,","","","2387.5","6","185.2","2,6","","","76.2",",,,6","533",",,,6","11.68","2,6","21.09","2,,,6","2.27","1,,,6","",""
"USC00294719","1907-05","35.0463","-107.3736","1777.0","LAGUNA, NM US","1.7","6","0.0",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","19",",6","0",",6","","","","","0.6",",6,01,","","","","","6.4",",,6,28,","28.3",",6,20,","","","2558.3","6","170.8",",6","","","6.4",",,,6","","","12.82",",6","21.71",",,,6","3.94",",,,6","",""
"USC00294719","1907-06","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","22.9",",,6,19,","","","","","","","","","","","43.2",",,,6","","","","","","","","","",""
"USC00294719","1907-07","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","161.9",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","22",",6","","","","","10.0",",6,16,","","","","","17.8",",,6,22,","37.2",",6,09,","","","0.0","6","0.0",",6","","","35.6",",,,6","","","23.56",",6","32.93",",,,6","14.18",",,,6","",""
"USC00294719","1907-08","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","108.6","3,6","","","","","","","","","","","0","2,6","0","2,6","0","3,6","28","3,6","12","3,6","","","","","11.7","2,6,04,","","","","","","","34.4","3,6,18,","","","0.3","6","0.3","3,6","","","","","","","22.20","3,6","29.80","3,,,6","14.60","2,,,6","",""
"USC00294719","1907-09","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","9.0","2,6","0",",6","0",",6","0",",6","","","","","0","2,6","0","2,6","0","1,6","28","1,6","0","1,6","","","","","3.3","2,6,23,","","","","","0.0",",T,6,04,","30.6","1,6,12,","","","47.5","6","47.2","1,6","","","0.0",",T,,6","","","16.98","2,6","26.81","1,,,6","7.16","2,,,6","",""
"USC00294719","1907-11","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","1",",6","1",",6","0",",6","","","1",",6","0",",6","28",",6","0",",6","1",",6","0",",6","","","","","-7.8",",6,22,","","","51",",,6,19,","5.1",",,6,19,","26.1",",6,04,","","","","","445.2",",6","","","5.1",",,,6","51",",,,6","3.49",",6","10.19",",,,6","-3.20",",,,6","",""
"USC00294719","1907-12","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","28",",6","0",",6","0",",6","0",",6","","","","","-12.8",",6,18,","","","0",",,6,31,+","0.0",",,6,31,+","19.4",",6,27,","","","","","517.5",",6","","","0.0",",,,6","0",",,,6","1.64",",6","9.96",",,,6","-6.69",",,,6","",""
"USC00294719","1908-01","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","31",",6","0",",6","0",",6","0",",6","","","","","-12.2",",6,31,","","","0",",T,6,27,","0.0",",T,6,27,","12.8",",6,22,+","","","","","547.7",",6","","","0.0",",T,,6","0",",T,,6","0.66",",6","8.71",",,,6","-7.38",",,,6","",""
"USC00294719","1908-02","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","2",",6","2",",6","0",",6","","","2",",6","0",",6","29",",6","0",",6","0",",6","0",",6","","","","","-13.3",",6,14,","","","127",",,6,13,","12.7",",,6,13,","19.4",",6,29,","","","","","446.8",",6","","","15.2",",,,6","152",",,,6","2.93",",6","11.04",",,,6","-5.19",",,,6","",""
"USC00294719","1908-03","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","1",",6","0",",6","24",",6","0",",6","0",",6","0",",6","","","","","-7.2",",6,22,","","","127",",,6,22,","10.2",",,6,22,","19.4",",6,31,","","","","","382.9",",6","","","10.2",",,,6","127",",,,6","5.98",",6","14.39",",,,6","-2.43",",,,6","",""
"USC00294719","1908-04","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0","2,6","2",",6","2",",6","1",",6","","","","","0","2,6","8","2,6","0",",6","13",",6","0",",6","","","","","-6.7","2,6,01,","","","","","31.8",",,6,18,","25.6",",6,30,","","","","","199.8",",6","","","40.7",",,,6","","","11.09","2,6","19.70",",,,6","2.48","2,,,6","",""
"USC00294719","1908-05","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.6","6","0.6","2,6","0",",6","0",",6","0",",6","","","0",",6","0",",6","6",",6","0","2,6","24","2,6","0","2,6","","","","","-1.7",",6,06,","","","0",",T,6,04,+","0.0",",T,6,05,+","29.4","2,6,19,","","","","","155.7","2,6","","","0.0",",T,,6","0",",T,,6","12.96","2,6","22.66","2,,,6","3.26",",,,6","",""
"USC00294719","1908-06","35.0463","-107.3736","1777.0","LAGUNA, NM US","76.6","6","76.0",",6","1",",6","1",",6","0",",6","","","","","0",",6","1",",6","0",",6","28",",6","18",",6","","","","","-1.1",",6,04,","","","","","3.8",",,6,25,","35.6",",6,21,+","","","","","44.1",",6","","","3.8",",,,6","","","19.40",",6","30.22",",,,6","8.57",",,,6","",""
"USC00294719","1908-07","35.0463","-107.3736","1777.0","LAGUNA, NM US","196.4","6","119.8","2,6","7",",6","7",",6","2",",6","","","","","0","2,6","0","2,6","0","1,6","30","1,6","14","1,6","","","","","9.4","2,6,28,","","","","","34.3",",,6,07,","36.7","1,6,05,","","","0.0","6","0.0","1,6","","","90.1",",,,6","","","22.47","2,6","31.66","1,,,6","13.28","2,,,6","",""
"USC00294719","1908-08","35.0463","-107.3736","1777.0","LAGUNA, NM US","291.0","6","94.6",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","6",",6","","","","","10.0",",6,30,+","","","","","7.6",",,6,16,","33.9",",6,08,+","","","3.9","6","3.9",",6","","","17.8",",,,6","","","21.26",",6","28.96",",,,6","13.56",",,,6","",""
"USC00294719","1908-09","35.0463","-107.3736","1777.0","LAGUNA, NM US","330.1","6","39.1",",6","1",",6","1",",6","0",",6","","","","","0",",6","3",",6","0",",6","29",",6","6",",6","","","","","-3.3",",6,27,","","","","","6.4",",,6,03,","35.0",",6,09,","","","43.5","6","39.6",",6","","","6.4",",,,6","","","18.32",",6","28.63",",,,6","8.00",",,,6","",""
"USC00294719","1908-10","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","","","0",",T,6,26,+","0.0",",T,6,26,+","","","","","","","","","","","0.0",",T,,6","0",",T,,6","","","","","","","",""
"USC00294719","1908-11","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","2",",6","2",",6","0",",6","","","2",",6","0",",6","29",",6","0",",6","4",",6","0",",6","","","","","-10.6",",6,26,","","","178",",,6,28,","17.8",",,6,28,","22.8",",6,03,","","","","","404.2",",6","","","28.0",",,,6","280",",,,6","4.86",",6","13.60",",,,6","-3.88",",,,6","",""
"USC00294719","1908-12","35.0463","-107.3736","1777.0","LAGUNA, NM US","","","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","30",",6","0",",6","0",",6","0",",6","","","","","-12.2",",6,19,","","","0",",,6,31,+","0.0",",,6,31,+","14.4",",6,12,","","","","","541.1",",6","","","0.0",",,,6","0",",,,6","0.88",",6","8.04",",,,6","-6.28",",,,6","",""
"USC00294719","1909-01","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","27",",6","0",",6","0",",6","0",",6","","","","","-11.7",",6,29,","","","0",",T,6,13,","3.3",",,6,27,","18.3",",6,09,","","","","","450.5",",6","","","3.3",",,,6","0",",T,,6","3.80",",6","11.71",",,,6","-4.11",",,,6","",""
"USC00294719","1909-02","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","27",",6","0",",6","0",",6","0",",6","","","","","-11.1",",6,24,+","","","0",",T,6,22,+","0.0",",T,6,22,+","16.1",",6,28,","","","","","454.0",",6","","","0.0",",T,,6","0",",T,,6","2.12",",6","10.38",",,,6","-6.14",",,,6","",""
"USC00294719","1909-03","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0","2,6","0","1,6","0","1,6","0","1,6","","","1",",6","1","2,6","27","2,6","3","1,6","0","1,6","0","1,6","","","","","-17.8","2,6,14,","","","762",",,6,10,","0.0","1,T,6,11,+","19.4","1,6,06,+","","","","","421.0","1,6","","","0.0","1,T,,6","762",",,,6","3.60","2,6","11.47","1,,,6","-4.28","2,,,6","",""
"USC00294719","1909-04","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","0",",6","0",",6","10",",6","0",",6","12",",6","0",",6","","","","","-7.2",",6,09,","","","0",",,6,30,+","0.0",",,6,30,+","27.8",",6,17,","","","","","230.7",",6","","","0.0",",,,6","0",",,,6","10.64",",6","19.67",",,,6","1.62",",,,6","",""
"USC00294719","1909-05","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.3","6","0.3",",6","0",",6","0",",6","0",",6","","","","","0",",6","5",",6","0",",6","27",",6","0",",6","","","","","-3.9",",6,03,","","","","","0.0",",T,6,23,+","30.6",",6,28,","","","","","121.1",",6","","","0.0",",T,,6","","","14.44",",6","24.69",",,,6","4.18",",,,6","",""
"USC00294719","1909-06","35.0463","-107.3736","1777.0","LAGUNA, NM US","98.6","6","98.3",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","21",",6","","","","","5.0",",6,01,","","","","","2.5",",,6,19,","36.7",",6,24,","","","","","2.8",",6","","","2.5",",,,6","","","21.52",",6","32.87",",,,6","10.16",",,,6","",""
"USC00294719","1909-07","35.0463","-107.3736","1777.0","LAGUNA, NM US","281.2","6","182.6",",6","4",",6","4",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","26",",6","","","","","12.2",",6,20,+","","","0",",,6,31,+","12.7",",,6,24,+","38.3",",6,12,","","","0.0","6","0.0",",6","","","36.8",",,,6","0",",,,6","24.22",",6","33.94",",,,6","14.51",",,,6","",""
"USC00294719","1909-08","35.0463","-107.3736","1777.0","LAGUNA, NM US","389.2","6","108.0","1,6","5",",6","5",",6","1",",6","","","0",",6","0",",6","0",",6","0","1,6","30","1,6","7","1,6","","","","","11.1",",6,13,","","","0",",,6,31,+","31.8",",,6,18,","33.3","1,6,17,","","","1.1","6","1.1","1,6","","","82.6",",,,6","0",",,,6","21.92","1,6","29.46","1,,,6","14.37",",,,6","",""
"USC00294719","1909-09","35.0463","-107.3736","1777.0","LAGUNA, NM US","412.9","6","23.7",",6","2",",6","2",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","29",",6","1",",6","","","","","1.7",",6,23,","","","0",",,6,30,+","31.8",",,6,05,","32.2",",6,03,","","","55.0","6","53.9",",6","","","35.6",",,,6","0",",,,6","17.33",",6","25.62",",,,6","9.04",",,,6","",""
"USC00294719","1909-10","35.0463","-107.3736","1777.0","LAGUNA, NM US","412.9","6","0.0","3,6","0",",6","0",",6","0",",6","","","0",",6","0","3,6","12","3,6","0","3,6","23","3,6","0","3,6","","","","","-4.4","3,6,09,","","","0",",,6,31,+","0.0",",T,6,07,+","26.1","3,6,01,","","","221.8","6","166.8","3,6","","","0.0",",T,,6","0",",,,6","12.38","3,6","22.30","3,,,6","2.46","3,,,6","",""
"USC00294719","1909-11","35.0463","-107.3736","1777.0","LAGUNA, NM US","412.9","6","0.0",",6","1",",6","1",",6","0",",6","","","1",",6","0",",6","26",",6","0",",6","6",",6","0",",6","","","","","-12.2",",6,17,","","","127",",,6,28,","11.4",",,6,28,","24.4",",6,01,","","","570.8","6","349.0",",6","","","11.4",",,,6","127",",,,6","6.70",",6","15.90",",,,6","-2.51",",,,6","",""
"USC00294719","1909-12","35.0463","-107.3736","1777.0","LAGUNA, NM US","412.9","6","0.0","2,6","2",",6","1",",6","0",",6","","","2",",6","5","2,6","27","2,6","11","1,6","0","1,6","0","1,6","","","","","-28.9","2,6,19,","","","203",",,6,17,","16.3",",,6,17,","13.3","1,6,01,","","","1233.4","6","662.6","1,6","","","18.3",",,,6","228",",,,6","-4.61","2,6","1.72","1,,,6","-10.94","2,,,6","",""
"USC00294719","1910-01","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","27",",6","3",",6","0",",6","0",",6","","","","","-15.0",",6,07,","","","","","0.0",",T,6,15,","14.4",",6,24,","","","1743.3","6","509.9",",6","","","0.0",",T,,6","","","1.89",",6","9.29",",,,6","-5.52",",,,6","",""
"USC00294719","1910-02","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","2",",6","2",",6","27",",6","1",",6","0",",6","0",",6","","","","","-24.4",",6,17,","","","127",",,6,16,","10.2",",,6,16,","17.2",",6,14,","","","2234.6","6","491.3",",6","","","12.5",",,,6","152",",,,6","0.79",",6","8.96",",,,6","-7.39",",,,6","",""
"USC00294719","1910-03","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.0","6","0.0",",6","1",",6","0",",6","0",",6","","","1",",6","0",",6","17",",6","0",",6","17",",6","0",",6","","","","","-4.4",",6,31,+","","","25",",,6,29,","2.3",",,6,29,","25.0",",6,23,+","","","2491.5","6","256.9",",6","","","2.3",",,,6","25",",,,6","10.05",",6","20.27",",,,6","-0.18",",,,6","",""
"USC00294719","1910-04","35.0463","-107.3736","1777.0","LAGUNA, NM US","0.3","6","0.3","2,6","4",",6","2",",6","0",",6","","","2",",6","0","2,6","7","2,6","0","2,6","16","2,6","0","2,6","","","","","-5.0","2,6,15,+","","","25",",,6,15,+","16.5",",,6,08,","31.1","2,6,30,+","","","2665.4","6","173.9","2,6","","","30.7",",,,6","50",",,,6","12.13","2,6","22.01","2,,,6","2.26","2,,,6","",""
"USC00294719","1910-05","35.0463","-107.3736","1777.0","LAGUNA, NM US","27.5","6","27.2",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","1",",6","0",",6","30",",6","3",",6","","","","","0.0",",6,06,","","","0",",,6,31,+","12.7",",,6,18,","35.0",",6,29,+","","","2733.0","6","67.6",",6","","","12.7",",,,6","0",",,,6","17.03",",6","26.65",",,,6","7.42",",,,6","",""
"USC00294719","1910-06","35.0463","-107.3736","1777.0","LAGUNA, NM US","180.9","6","153.4",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","30",",6","24",",6","","","","","8.9",",6,18,","","","0",",,6,30,+","5.1",",,6,27,","38.3",",6,19,","","","2733.0","6","0.0",",6","","","5.1",",,,6","0",",,,6","23.45",",6","33.37",",,,6","13.52",",,,6","",""
"USC00294719","1910-07","35.0463","-107.3736","1777.0","LAGUNA, NM US","390.4","6","209.5",",6","2",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","","","10.0",",6,11,+","","","0",",,6,31,+","16.5",",,6,26,","37.8",",6,24,+","","","0.0","6","0.0",",6","","","22.1",",,,6","0",",,,6","25.09",",6","34.94",",,,6","15.25",",,,6","",""
"USC00294719","1910-08","35.0463","-107.3736","1777.0","LAGUNA, NM US","568.9","6","178.5",",6","4",",6","3",",6","1",",6","","","0",",6","0",",6","0",",6","0",",6","31",",6","24",",6","","","","","11.1",",6,28,","","","0",",,6,31,+","27.9",",,6,29,","36.7",",6,24,+","","","0.0","6","0.0",",6","","","41.4",",,,6","0",",,,6","24.09",",6","32.75",",,,6","15.44",",,,6","",""
