"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00400137","1976-11","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","","","0.0",",0","7",",0","5",",0","0",",0","0",",0","0","2,0","0",",0","22",",0","2",",0","1",",0","0",",0","","","-10.6",",0,30,","0",",,0,30,+","0","2,,0,30,+","22.4",",,0,27,","22.2",",0,19,","","","605.7","0","","","","","410.6",",0","","","","","","","","","","","","","","","","","","","","","46.6",",,,0","0","2,,,0","4.65",",0","11.30",",,,0","-2.00",",,,0","",""
"USC00400137","1976-12","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","","","0.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","25",",0","2",",0","1",",0","0",",0","","","-15.6",",0,31,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,25,","21.1",",0,19,","","","1073.3","0","","","","","467.6",",0","","","","","","","","","","","","","","","","","","","","","49.1",",,,0","0",",,,0","3.25",",0","10.07",",,,0","-3.57",",,,0","",""
"USC00400137","1977-01","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0","1,0","8",",0","6",",0","1",",0","","","","","2",",0","31",",0","11","1,0","0","1,0","0","1,0","","","-19.4",",0,17,","","","","","41.1",",,0,14,","13.3","1,0,27,","","","1733.7","0","","","","","660.4","1,0","","","","","","","","","","","","","","","","","","","","","93.6",",,,0","","","-3.85","1,0","1.42","1,,,0","-9.12",",,,0","",""
"USC00400137","1977-02","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","20",",0","0",",0","3",",0","0",",0","","","-11.1",",0,01,","0",",,0,28,+","0",",,0,28,+","25.7",",,0,24,","26.1",",0,26,","","","2109.5","0","","","","","375.8",",0","","","","","","","","","","","","","","","","","","","","","50.8",",,,0","0",",,,0","4.91",",0","12.16",",,,0","-2.34",",,,0","",""
"USC00400137","1977-03","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","3.1","0","3.1",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","5",",0","0",",0","12",",0","0",",0","","","-2.8",",0,23,+","0",",,0,31,+","0",",,0,31,+","87.4",",,0,04,","27.8",",0,31,","","","2296.7","0","","","","","187.2",",0","","","","","","","","","","","","","","","","","","","","","147.6",",,,0","0",",,,0","12.40",",0","19.38",",,,0","5.41",",,,0","",""
"USC00400137","1977-04","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","30.6","0","27.5",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","","","0.0",",0,06,","0",",,0,30,+","0",",,0,30,+","43.2",",,0,24,","30.0",",0,17,","","","2364.6","0","","","","","67.9",",0","","","","","","","","","","","","","","","","","","","","","126.6",",,,0","0",",,,0","16.99",",0","24.01",",,,0","9.96",",,,0","",""
"USC00400137","1977-05","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","150.7","0","120.1",",0","5",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","","","5.0",",0,10,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,03,","34.4",",0,31,","","","2377.1","0","","","","","12.5",",0","","","","","","","","","","","","","","","","","","","","","69.1",",,,0","0",",,,0","21.80",",0","28.96",",,,0","14.65",",,,0","",""
"USC00400137","1977-06","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","354.8","0","204.1",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","7.2",",0,08,","0",",,0,30,+","0",",,0,30,+","16.3",",,0,27,","37.2",",0,13,+","","","2379.0","0","","","","","1.9",",0","","","","","","","","","","","","","","","","","","","","","54.4",",,,0","0",",,,0","25.07",",0","32.05",",,,0","18.09",",,,0","",""
"USC00400137","1977-07","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","631.1","0","276.3",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","16.7",",0,03,","0",",,0,31,+","0",",,0,31,+","34.0",",,0,15,","38.3",",0,08,","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","75.1",",,,0","0",",,,0","27.25",",0","33.82",",,,0","20.67",",,,0","",""
"USC00400137","1977-08","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","866.1","0","235.0",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","12.8",",0,03,","0",",,0,31,+","0",",,0,31,+","31.8",",,0,16,","37.2",",0,10,","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","50.9",",,,0","0",",,,0","25.91",",0","32.90",",,,0","18.93",",,,0","",""
"USC00400137","1977-09","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","1021.1","0","155.0",",0","11",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","8",",0","","","11.7",",0,22,+","0",",,0,30,+","0",",,0,30,+","86.4",",,0,25,","36.7",",0,02,","","","0.5","0","","","","","0.5",",0","","","","","","","","","","","","","","","","","","","","","257.3",",,,0","0",",,,0","23.48",",0","29.71",",,,0","17.26",",,,0","",""
"USC00400137","1977-10","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","1032.8","0","11.7",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","19",",0","0",",0","","","-1.1",",0,14,+","0",",,0,31,+","0",",,0,31,+","20.6",",,0,25,","30.6",",0,02,","","","144.9","0","","","","","144.4",",0","","","","","","","","","","","","","","","","","","","","","49.9",",,,0","0",",,,0","14.05",",0","21.56",",,,0","6.55",",,,0","",""
"USC00400137","1977-11","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","1033.1","0","0.3",",0","14",",0","11",",0","4",",0","0",",0","0",",0","0",",0","8",",0","0",",0","7",",0","0",",0","","","-7.2",",0,27,+","0",",,0,30,+","0",",,0,30,+","37.3",",,0,21,","23.3",",0,09,","","","371.8","0","","","","","226.9",",0","","","","","","","","","","","","","","","","","","","","","213.7",",,,0","0",",,,0","10.78",",0","16.04",",,,0","5.52",",,,0","",""
"USC00400137","1977-12","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","1033.1","0","0.0",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","18",",0","5",",0","1",",0","0",",0","","","-10.6",",0,10,","0",",,0,31,+","0",",,0,31,+","22.1",",,0,14,","21.7",",0,05,","","","818.1","0","","","","","446.3",",0","","","","","","","","","","","","","","","","","","","","","63.3",",,,0","0",",,,0","3.94",",0","9.23",",,,0","-1.35",",,,0","",""
"USC00400137","1978-01","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","16",",0","9",",0","3",",0","","","","","0",",0","26",",0","17",",0","0",",0","0",",0","","","-13.3",",0,26,","","","","","44.7",",,0,08,","20.0",",0,08,","","","1462.9","0","","","","","644.8",",0","","","","","","","","","","","","","","","","","","","","","173.0",",,,0","","","-2.47",",0","2.31",",,,0","-7.24",",,,0","",""
"USC00400137","1978-02","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","7",",0","3",",0","0",",0","","","","","0",",0","28",",0","7",",0","0",",0","0",",0","","","-13.3",",0,22,+","","","","","8.6",",,0,28,","16.7",",0,25,","","","2014.8","0","","","","","551.9",",0","","","","","","","","","","","","","","","","","","","","","20.0",",,,0","","","-1.38",",0","4.23",",,,0","-6.99",",,,0","",""
"USC00400137","1978-03","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","10",",0","2",",0","8",",0","0",",0","","","-10.0",",0,05,","0",",,0,31,+","0",",,0,31,+","28.2",",,0,14,","26.1",",0,31,+","","","2350.7","0","","","","","335.9",",0","","","","","","","","","","","","","","","","","","","","","103.7",",,,0","0",",,,0","7.50",",0","13.00",",,,0","1.99",",,,0","",""
"USC00400137","1978-04","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","43.2","0","43.2",",0","4",",0","4",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","23",",0","0",",0","","","0.0",",0,21,","0",",,0,30,+","0",",,0,30,+","26.9",",,0,11,","31.1",",0,08,","","","2425.4","0","","","","","74.7",",0","","","","","","","","","","","","","","","","","","","","","55.6",",,,0","0",",,,0","17.28",",0","24.26",",,,0","10.30",",,,0","",""
"USC00400137","1978-05","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","127.0","0","83.8",",0","12",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","4",",0","","","4.4",",0,02,","0",",,0,31,+","0",",,0,31,+","75.7",",,0,07,","33.9",",0,28,+","","","2480.6","0","","","","","55.2",",0","","","","","","","","","","","","","","","","","","","","","208.3",",,,0","0",",,,0","19.25",",0","25.53",",,,0","12.98",",,,0","",""
"USC00400137","1978-06","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","299.5","0","172.5",",0","10",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","10.6",",0,10,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,08,","35.6",",0,30,+","","","2482.2","0","","","","","1.6",",0","","","","","","","","","","","","","","","","","","","","","99.3",",,,0","0",",,,0","24.03",",0","30.75",",,,0","17.31",",,,0","",""
"USC00400137","1978-07","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","545.9","0","246.4",",0","7",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","16.7",",0,28,+","0",",,0,31,+","0",",,0,31,+","26.7",",,0,08,","37.2",",0,31,","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","67.3",",,,0","0",",,,0","26.28",",0","33.10",",,,0","19.46",",,,0","",""
"USC00400137","1978-08","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","758.6","0","212.7",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","13.3",",0,22,","0",",,0,31,+","0",",,0,31,+","11.4",",,0,05,","36.7",",0,27,+","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","29.7",",,,0","0",",,,0","25.19",",0","32.19",",,,0","18.20",",,,0","",""
"USC00400137","1978-09","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","898.0","0","139.4",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","12",",0","","","8.9",",0,24,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,15,","35.0",",0,21,+","","","3.3","0","","","","","3.3",",0","","","","","","","","","","","","","","","","","","","","","48.3",",,,0","0",",,,0","22.87",",0","29.91",",,,0","15.83",",,,0","",""
"USC00400137","1978-10","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","907.4","0","9.4",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","21",",0","0",",0","","","-2.2",",0,08,","0",",,0,31,+","0",",,0,31,+","9.1",",,0,14,","29.4",",0,23,+","","","150.7","0","","","","","147.4",",0","","","","","","","","","","","","","","","","","","","","","14.0",",,,0","0",",,,0","13.88",",0","23.46",",,,0","4.30",",,,0","",""
"USC00400137","1978-11","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","909.4","0","2.0",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","13",",0","0",",0","","","-2.8",",0,09,","0",",,0,30,+","0",",,0,30,+","35.3",",,0,17,","27.2",",0,03,","","","334.0","0","","","","","183.3",",0","","","","","","","","","","","","","","","","","","","","","104.6",",,,0","0",",,,0","12.29",",0","19.23",",,,0","5.35",",,,0","",""
"USC00400137","1978-12","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","909.4","0","0.0",",0","10",",0","9",",0","3",",0","0",",0","0",",0","0",",0","24",",0","2",",0","2",",0","0",",0","","","-9.4",",0,10,","0",",,0,31,+","0",",T,0,05,","141.0",",,0,04,","21.7",",0,03,","","","758.3","0","","","","","424.3",",0","","","","","","","","","","","","","","","","","","","","","287.0",",,,0","0",",T,,0","4.65",",0","11.68",",,,0","-2.39",",,,0","",""
"USC00400137","1979-01","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","11",",0","9",",0","3",",0","","","","","0",",0","28",",0","10",",0","0",",0","0",",0","","","-16.1",",0,09,","","","","","58.4",",,0,01,","17.2",",0,01,","","","1398.5","0","","","","","640.2",",0","","","","","","","","","","","","","","","","","","","","","186.7",",,,0","","","-2.32",",0","2.93",",,,0","-7.57",",,,0","",""
"USC00400137","1979-02","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","10",",0","9",",0","4",",0","","","","","1",",0","24",",0","6",",0","0",",0","0",",0","","","-17.8",",0,09,","","","","","45.5",",,0,18,","18.9",",0,23,","","","1890.6","0","","","","","492.1",",0","","","","","","","","","","","","","","","","","","","","","179.1",",,,0","","","0.76",",0","6.60",",,,0","-5.08",",,,0","",""
"USC00400137","1979-03","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","4.5","0","4.5",",0","13",",0","10",",0","2",",0","0",",0","0",",0","0",",0","11",",0","0",",0","8",",0","0",",0","","","-3.3",",0,06,","0",",,0,31,+","0",",,0,31,+","43.4",",,0,23,","25.6",",0,30,","","","2139.6","0","","","","","249.0",",0","","","","","","","","","","","","","","","","","","","","","169.9",",,,0","0",",,,0","10.45",",0","16.47",",,,0","4.43",",,,0","",""
"USC00400137","1979-04","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","20.1","0","15.6",",0","12",",0","11",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","","","0.6",",0,05,","0",",,0,30,+","0",",,0,30,+","55.9",",,0,12,","28.9",",0,21,","","","2237.6","0","","","","","98.0",",0","","","","","","","","","","","","","","","","","","","","","203.8",",,,0","0",",,,0","15.59",",0","21.28",",,,0","9.89",",,,0","",""
"USC00400137","1979-05","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","71.7","0","51.6","1,0","11",",0","9",",0","4",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","24",",0","0",",0","","","6.1","1,0,26,","0",",,0,31,+","0",",,0,31,+","67.3",",,0,04,","31.1",",0,11,","","","2277.1","0","","","","","39.5",",0","","","","","","","","","","","","","","","","","","","","","224.3",",,,0","0",",,,0","18.78","1,0","24.34",",,,0","13.23","1,,,0","",""
"USC00400137","1979-06","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","222.6","0","150.9",",0","8",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","11.1",",0,12,","0",",,0,30,+","0",",,0,30,+","72.9",",,0,24,","33.9",",0,20,","","","2277.1","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","164.6",",,,0","0",",,,0","23.36",",0","29.60",",,,0","17.13",",,,0","",""
"USC00400137","1979-07","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","453.7","0","231.1",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","15.6",",0,01,","0",",,0,31,+","0",",,0,31,+","37.1",",,0,12,","34.4",",0,05,+","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","84.6",",,,0","0",",,,0","25.79",",0","30.95",",,,0","20.63",",,,0","",""
"USC00400137","1979-08","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","654.8","0","201.1",",0","14",",0","11",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","12.8",",0,14,","0",",,0,31,+","0",",,0,31,+","35.6",",,0,25,","34.4",",0,09,+","","","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","161.6",",,,0","0",",,,0","24.82",",0","30.96",",,,0","18.67",",,,0","",""
"USC00400137","1979-09","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","730.0","0","75.2",",0","6",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","","","8.9",",0,15,","0",",,0,30,+","0",",,0,30,+","59.4",",,0,21,","32.2",",0,05,","","","13.7","0","","","","","13.7",",0","","","","","","","","","","","","","","","","","","","","","168.4",",,,0","0",",,,0","20.38",",0","26.44",",,,0","14.33",",,,0","",""
"USC00400137","1979-10","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","756.9","0","26.9",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","22",",0","0",",0","","","-1.1",",0,14,","0",",,0,31,+","0",",,0,31,+","23.1",",,0,23,","30.0",",0,02,","","","118.6","0","","","","","104.9",",0","","","","","","","","","","","","","","","","","","","","","47.2",",,,0","0",",,,0","15.82",",0","23.34",",,,0","8.29",",,,0","",""
"USC00400137","1979-11","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","758.3","0","1.4",",0","9",",0","9",",0","3",",0","0",",0","0",",0","0",",0","13",",0","1",",0","5",",0","0",",0","","","-7.8",",0,30,","0",",,0,30,+","0",",,0,30,+","94.0",",,0,23,","25.0",",0,21,","","","406.8","0","","","","","288.2",",0","","","","","","","","","","","","","","","","","","","","","243.6",",,,0","0",",,,0","8.77",",0","15.48",",,,0","2.07",",,,0","",""
"USC00400137","1979-12","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","758.3","0","0.0",",0","3","4,0","3","4,0","1","4,0","0",",0","0",",0","0",",0","18",",0","1",",0","0",",0","0",",0","","","-10.6",",0,18,+","0",",,0,31,+","0",",,0,31,+","55.6","4,,0,13,","20.0",",0,12,+","","","814.5","0","","","","","407.7",",0","","","","","","","","","","","","","","","","","","","","","63.0","4,,,0","0",",,,0","5.18",",0","11.58",",,,0","-1.22",",,,0","",""
"USC00400137","1980-01","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","12",",0","9",",0","0",",0","","","0","2,0","0",",0","17",",0","1",",0","0",",0","0",",0","","","-7.2",",0,31,","","","8","2,,0,29,","18.0",",,0,11,","18.9",",0,20,","","","1238.2","0","","","","","423.7",",0","","","","","","","","","","","","","","","","","","","","","95.7",",,,0","8","2,,,0","4.67",",0","9.45",",,,0","-0.12",",,,0","",""
"USC00400137","1980-02","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0",",0","6",",0","2",",0","0",",0","","","","","0",",0","21",",0","6",",0","3",",0","0",",0","","","-12.2",",0,02,+","","","","","11.9",",,0,09,","23.9",",0,23,","","","1718.7","0","","","","","480.5",",0","","","","","","","","","","","","","","","","","","","","","28.6",",,,0","","","1.77",",0","7.44",",,,0","-3.91",",,,0","",""
"USC00400137","1980-03","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","0.0","0","0.0","2,0","14",",0","10",",0","4",",0","0","1,0","0","1,0","0","2,0","12","2,0","2","2,0","2","2,0","0","2,0","","","-12.2","2,0,03,","0","1,,0,31,+","0","1,,0,31,+","108.2",",,0,17,","21.1","2,0,16,+","","","2045.9","0","","","","","327.2","2,0","","","","","","","","","","","","","","","","","","","","","332.7",",,,0","0","1,,,0","7.05","2,0","13.10","2,,,0","1.01","2,,,0","",""
"USC00400137","1980-04","35.1131","-89.2122","140.2","AMES PLANTATION, TN US","9.7","0","9.7",",0","11",",0","8",",0","2",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","15",",0","0",",0","","","0.6",",0,01,","0",",,0,30,+","0","1,,0,30,+","70.4",",,0,12,","31.1",",0,23,","","","2188.8","0","","","","","142.9",",0","","","","","","","","","","","","","","","","","","","","","205.8",",,,0","0","1,,,0","13.89",",0","20.19",",,,0","7.59",",,,0","",""
