"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00027401","1948-09","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","11",",6","3",",6","0",",6","","","2",",6","0",",6","28",",6","14",",6","0",",6","0",",6","","","","","","","-10.6",",6,28,+","","","89",",,6,12,","9.7",",,6,12,","10.6",",6,11,","1477.7","6","610.7",",6","22.6",",,,6","188",",,,6","-2.03",",6","-0.15",",,,6","-3.90",",,,6","","","","","","","",""
"USW00027401","1948-10","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","10",",6","1",",6","0",",6","","","1",",6","9",",6","31",",6","31",",6","0",",6","0",",6","","","","","","","-26.1",",6,19,","","","51",",,6,06,","5.1",",,6,06,","-1.1",",6,02,","2364.2","6","886.5",",6","13.0",",,,6","125",",,,6","-10.26",",6","-7.51",",,,6","-13.02",",,,6","","","","","","","",""
"USW00027401","1948-11","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","4",",6","0",",6","0",",6","","","0",",6","25",",6","30",",6","30",",6","0",",6","0",",6","","","","","","","-46.1",",6,30,","","","15",",,6,11,","1.5",",,6,11,","-1.1",",6,11,","3555.5","6","1191.3",",6","3.1",",,,6","31",",,,6","-21.38",",6","-18.05",",,,6","-24.70",",,,6","","","","","","","",""
"USW00027401","1948-12","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","6","0.0",",6","9",",6","0",",6","0",",6","","","0",",6","31",",6","31",",6","31",",6","0",",6","0",",6","","","","","","","-44.4",",6,31,","","","10",",,6,01,","1.0",",,6,01,","-9.4",",6,13,","5112.1","6","1556.6",",6","4.3",",,,6","43",",,,6","-31.88",",6","-28.54",",,,6","-35.23",",,,6","","","","","","","",""
"USW00027401","1949-01","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","7",",6","0",",6","0",",6","31",",6","0",",6","27",",6","31",",6","31",",6","0",",6","0",",6","15","","","","","","-45.6",",6,02,+","330",",,6,31,+","8",",,6,28,+","0.8",",,6,28,+","-1.1",",6,31,","6441.9","0","1329.8",",6","4.0",",,,6","40",",,,6","-24.56",",6","-19.89",",,,6","-29.24",",,,6","","","293",",X","","","20.1",",X"
"USW00027401","1949-02","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","4",",6","0",",6","0",",6","28",",6","0",",6","27",",6","28",",6","28",",6","0",",6","0",",6","13","","","","","","-41.7",",6,20,","356",",,6,28,+","13",",,6,19,","1.3",",,6,19,","-7.2",",6,01,","7777.1","0","1335.2",",6","3.8",",,,6","38",",,,6","-29.35",",6","-25.99",",,,6","-32.72",",,,6","","","","","","","",""
"USW00027401","1949-03","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","8",",6","1",",6","0",",6","31",",6","1",",6","27",",6","31",",6","31",",6","0",",6","0",",6","22","","","","","","-33.9",",6,30,","406",",,6,09,+","25",",,6,05,","2.5",",,6,05,","-0.6",",6,09,","8960.7","0","1183.6",",6","6.5",",,,6","65",",,,6","-19.85",",6","-15.10",",,,6","-24.59",",,,6","","","90",",X","","","26.8",",X"
"USW00027401","1949-04","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","3",",6","0",",6","0",",6","30",",6","0",",6","30",",6","30",",6","30",",6","0",",6","0",",6","15","","","","","","-34.4",",6,13,+","356",",,6,30,+","8",",,6,01,","0.8",",,6,01,","-7.2",",6,30,","10201.4","0","1240.7",",6","1.4",",,,6","14",",,,6","-23.02",",6","-17.83",",,,6","-28.21",",,,6","","","270",",X","","","17.9",",X"
"USW00027401","1949-05","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","4",",6","0",",6","0",",6","31",",6","0",",6","8",",6","31",",6","29",",6","0",",6","0",",6","22","","","","","","-25.6",",6,06,+","356",",,X,13,+","15",",,6,01,","1.5",",,6,01,","2.2",",6,18,","11045.3","0","843.9",",6","2.9",",,,6","26",",,,6","-8.89",",6","-5.31",",,,6","-12.46",",,,6","","","90",",X","","","13.4",",X"
"USW00027401","1949-06","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","6",",6","1",",6","0",",6","27",",6","0",",6","0",",6","30",",6","7",",6","0",",6","0",",6","23","","","","","","-6.1",",6,01,","203",",,X,05,+","15",",,6,30,+","2.8",",,6,17,","3.3",",6,24,+","11612.6","0","567.3",",6","7.6",",,,6","48",",,,6","-0.58",",6","1.21",",,,6","-2.36",",,,6","","","293",",X","","","11.6",",X"
"USW00027401","1949-07","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","5",",6","0",",6","0",",6","1",",6","0",",6","0",",6","19",",6","1",",6","0",",6","0",",6","23","","","","","","-3.3",",6,01,","25",",,X,01,","0",",T,6,26,+","2.3",",,6,04,","17.2",",6,29,","475.7","0","475.7",",6","4.4",",,,6","0",",T,,6","2.99",",6","5.45",",,,6","0.52",",,,6","","","270",",X","","","17.9",",X"
"USW00027401","1949-08","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",6","8",",6","1",",6","0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","0",",6","0",",6","28","","","","","","0.0",",6,26,+","0",",,X,31,+","0",",,6,31,+","3.6",",,6,09,","16.7",",6,29,","880.6","0","404.9",",6","8.5",",,,6","0",",,,6","5.27",",6","7.87",",,,6","2.67",",,,6","","","","","","","",""
"USW00027401","1949-09","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","0",",0","0",",0","23","","","","","","-2.2",",0,20,+","0",",,0,30,+","3",",,0,16,","5.6",",,0,01,","9.4",",0,05,","1383.2","0","502.6",",0","8.3",",,,0","3",",,,0","1.58",",0","3.39",",,,0","-0.23",",,,0","","","","","","","",""
"USW00027401","1949-10","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","7",",0","0",",0","0",",0","0","1,0","1",",0","0",",0","31",",0","30",",0","0",",0","0",",0","11","","","","","","-15.0",",0,15,","0","1,,0,31,+","28",",,0,11,","0.8",",,0,31,+","0.6",",0,02,","2126.2","0","743.0",",0","3.6",",,,0","83",",,,0","-5.64",",0","-3.11",",,,0","-8.16",",,,0","","","","","","","",""
"USW00027401","1949-11","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","11",",0","1",",0","0",",0","29","1,0","1","1,0","13",",0","30",",0","30",",0","0",",0","0",",0","12","","","","","","-36.1",",0,30,","305","1,,0,30,+","74","1,,0,23,","6.4",",,0,23,","-4.4",",0,03,+","3106.5","0","980.3",",0","14.5",",,,0","164","1,,,0","-14.34",",0","-11.58",",,,0","-17.11",",,,0","","","","","","","",""
"USW00027401","1949-12","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","12",",0","3",",0","0",",0","31",",0","3",",0","30",",0","31",",0","31",",0","0",",0","0",",0","17","","","","","","-37.2",",0,09,+","660",",,0,31,+","132",",,0,25,","13.2",",,0,25,","-8.3",",0,14,","4470.0","0","1363.5",",0","29.9",",,,0","299",",,,0","-25.65",",0","-22.31",",,,0","-28.99",",,,0","","","270","1,X","","","38.4","1,X"
"USW00027401","1950-01","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0","4,0","12",",0","7",",0","0",",0","31",",0","7",",0","26","2,0","29","2,0","29","2,0","0","2,0","0","2,0","13","","","","","","-42.8","2,0,21,","1092",",,0,31,+","64",",,0,07,","6.4",",,0,07,","-2.2","2,0,29,","5561.9","0","1091.9","2,0","41.2",",,,0","412",",,,0","-21.83","4,0","-16.89","2,,,0","-26.77","2,,,0","","","248",",X","","","33.5",",X"
"USW00027401","1950-02","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","4",",0","0",",0","0",",0","28",",0","0",",0","28",",0","28",",0","28",",0","0",",0","0",",0","9","","","","","","-50.6",",0,12,","1092",",,0,28,+","23",",,0,02,","2.3",",,0,02,","-7.8",",0,01,","7091.6","0","1529.7",",0","4.1",",,,0","41",",,,0","-36.30",",0","-32.16",",,,0","-40.43",",,,0","","","270",",X","","","33.1",",X"
"USW00027401","1950-03","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","4",",0","0",",0","0",",0","31",",0","0",",0","31",",0","31",",0","31",",0","0",",0","0",",0","12","","","","","","-34.4",",0,01,","1092",",,X,31,+","8",",,0,06,","0.8",",,0,06,","-10.0",",0,09,","8363.4","0","1271.8",",0","2.1",",,,0","21",",,,0","-22.69",",0","-18.99",",,,0","-26.40",",,,0","","","","","","","",""
"USW00027401","1950-04","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","5",",0","0",",0","0",",0","30",",0","0",",0","17",",0","30",",0","30",",0","0",",0","0",",0","14","","","","","","-29.4",",0,04,","1118",",,0,23,+","13",",,0,12,","1.3",",,0,12,","-2.2",",0,05,","9382.6","0","1019.2",",0","3.2",",,,0","32",",,,0","-15.64",",0","-12.17",",,,0","-19.11",",,,0","","","68",",X","","","16.5",",X"
"USW00027401","1950-05","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","11",",0","2",",0","0",",0","31",",0","2",",0","2",",0","31",",0","25",",0","0",",0","0",",0","15","","","","","","-21.7",",0,07,","1016",",,0,08,+","56",",,0,05,","5.6",",,0,05,","3.3",",0,31,+","10104.4","0","721.8",",0","15.4",",,,0","154",",,,0","-4.95",",0","-2.57",",,,0","-7.34",",,,0","","","90",",X","","","11.6",",X"
"USW00027401","1950-06","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","8",",0","0",",0","0",",0","19",",0","0",",0","0",",0","17",",0","2",",0","0",",0","0",",0","17","","","","","","-4.4",",0,03,","305",",,0,04,","18",",,0,09,+","1.8",",,0,09,+","15.6",",0,26,","10590.6","0","486.2",",0","6.8",",,,0","41",",,,0","2.13",",0","4.25",",,,0","0.00",",,,0","","","","","","","",""
"USW00027401","1950-07","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","5",",0","2",",0","2",",0","0",",X","0",",X","0",",0","5",",0","0",",0","0",",0","0",",0","25","","","","1","","-0.6",",0,06,","0",",,X,31,+","0",",,X,31,+","34.5",",,0,02,","12.2",",0,22,","439.5","0","439.5",",0","66.0",",,,0","0",",,,X","4.15",",0","5.99",",,,0","2.32",",,,0","","","","","","","",""
"USW00027401","1950-08","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","0",",0","0",",0","24","","","","","","-1.1",",0,06,","0",",,0,31,+","0",",T,0,16,+","6.9",",,0,15,","15.6",",0,09,","871.6","0","432.1",",0","15.9",",,,0","0",",T,,0","4.40",",0","6.99",",,,0","1.80",",,,0","","","","","","","",""
"USW00027401","1950-09","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0","2,0","8",",0","2",",0","0",",0","3",",0","1",",0","0","1,0","15","1,0","4","1,0","0","1,0","0","1,0","16","","","","","","-7.2","1,0,27,","25",",,0,27,+","28",",,0,25,","2.8",",,0,25,+","17.8","1,0,09,","1345.0","0","473.4","1,0","8.1",",,,0","46",",,,0","1.27","2,0","3.20","1,,,0","-0.66","1,,,0","","","","","","","",""
"USW00027401","1950-10","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","10",",0","4",",0","0",",0","21",",0","4",",0","5",",0","31",",0","28",",0","0",",0","0",",0","19","","","","","","-22.2",",0,29,+","254",",,0,31,+","89",",,0,20,","8.9",",,0,20,","3.9",",0,03,","2149.8","0","804.8",",0","28.7",",,,0","285",",,,0","-7.63",",0","-4.21",",,,0","-11.05",",,,0","","","","","","","",""
"USW00027401","1950-11","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","15",",0","7",",0","0",",0","30",",0","7",",0","11",",0","30",",0","28",",0","0",",0","0",",0","11","","","","","","-26.1",",0,04,","610",",,0,30,+","61",",,0,21,","6.1",",,0,21,","2.8",",0,27,","3052.9","0","903.1",",0","38.1",",,,0","379",",,,0","-11.77",",0","-7.55",",,,0","-15.99",",,,0","","","","","","","",""
"USW00027401","1950-12","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0","3,0","4",",0","0",",0","0",",0","31",",0","0",",0","27","2,0","29","2,0","29","2,0","0","2,0","0","2,0","13","","","","","","-38.9","2,0,20,","635",",,0,31,+","13",",,0,06,+","1.3",",,0,06,+","-5.6","2,0,14,","4229.3","0","1176.4","2,0","4.2",",,,0","42",",,,0","-23.72","3,0","-20.36","2,,,0","-27.07","2,,,0","","","","","","","",""
"USW00027401","1951-01","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","5",",0","0",",0","0",",0","31",",0","0",",0","31",",0","31",",0","31",",0","0",",0","0",",0","11","","","","","","-43.9",",0,20,","660",",,0,31,+","15",",,0,08,","1.5",",,0,08,","-14.4",",0,26,","5805.9","X","1576.6",",0","2.9",",,,0","36",",,,0","-32.52",",0","-28.97",",,,0","-36.08",",,,0","","","","","","","",""
"USW00027401","1951-02","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","3",",0","1",",0","0",",0","28",",0","1",",0","28",",0","28",",0","28",",0","0",",0","0",",0","14","","","","","","-43.3",",0,20,","711",",,0,28,+","25",",,0,12,","2.5",",,0,12,","-6.1",",0,27,","7157.6","X","1351.7",",0","3.5",",,,0","35",",,,0","-29.94",",0","-25.67",",,,0","-34.22",",,,0","","","270",",X","","","28.2",",X"
"USW00027401","1951-03","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","1",",0","0",",0","0",",0","31",",0","0",",0","31",",0","31",",0","31",",0","0",",0","0",",0","17","","","","","","-38.9",",0,17,","711",",,0,31,+","10",",,0,10,","1.0",",,0,10,","-19.4",",0,20,","8618.4","X","1460.8",",0","1.0",",,,0","10",",,,0","-28.79",",0","-24.75",",,,0","-32.83",",,,0","","","293",",X","","","19.2",",X"
"USW00027401","1951-04","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","9",",0","1",",0","0",",0","30",",0","1",",0","21",",0","30",",0","29",",0","0",",0","0",",0","14","","","","","","-29.4",",0,26,","711",",,0,03,+","43",",,0,21,","4.3",",,0,21,","1.7",",0,18,","9645.6","X","1027.2",",0","8.9",",,,0","89",",,,0","-15.91",",0","-11.95",",,,0","-19.86",",,,0","","","113",",X","","","22.4",",X"
"USW00027401","1951-05","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","9",",0","0",",0","0",",0","31",",0","0",",0","2",",0","31",",0","28",",0","0",",0","0",",0","26","","","","","","-19.4",",0,15,+","178",",,0,02,+","10",",,0,23,+","1.0",",,0,23,+","1.1",",0,31,+","10409.5","X","763.9",",0","5.5",",,,0","55",",,,0","-6.31",",0","-3.48",",,,0","-9.14",",,,0","","","","","","","",""
"USW00027401","1951-06","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","7",",0","3",",0","0",",0","11",",0","1",",0","0",",0","25",",0","4",",0","0",",0","0",",0","22","","","","1","","-5.0",",0,08,","51",",,0,03,+","69",",,0,11,","10.2",",,0,22,","15.6",",0,22,","10914.0","X","504.5",",0","25.2",",,,0","102",",,,0","1.52",",0","4.04",",,,0","-1.01",",,,0","","","","","","","",""
"USW00027401","1951-07","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","0",",0","0",",0","21","","","","","","-1.1",",0,02,+","0",",,0,31,+","0",",,0,31,+","5.1",",,0,09,+","16.7",",0,25,","408.0","X","408.0",",0","17.2",",,,0","0",",,,0","5.17",",0","8.21",",,,0","2.13",",,,0","","","","","","","",""
"USW00027401","1951-08","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24","","","","","","0.6",",0,27,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,23,","16.7",",0,10,","777.6","X","369.6",",0","20.8",",,,0","0",",,,0","6.41",",0","9.40",",,,0","3.42",",,,0","","","","","","","",""
"USW00027401","1951-09","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","16",",0","6",",0","0",",0","0",",0","17","","","","","","-10.6",",0,29,","0",",T,0,30,+","0",",T,0,30,+","5.1",",,0,18,","7.8",",0,12,+","1296.8","X","519.2",",0","11.7",",,,0","0",",T,,0","1.03",",0","2.83",",,,0","-0.78",",,,0","","","","","","","",""
"USW00027401","1951-10","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","13",",0","7",",0","0",",0","26",",0","7",",0","10",",0","31",",0","29",",0","0",",0","0",",0","20","","","","","","-25.0",",0,11,+","254",",,0,31,+","76",",,0,09,","7.6",",,0,09,","4.4",",0,02,","2123.9","X","827.1",",0","36.2",",,,0","362",",,,0","-8.35",",0","-4.61",",,,0","-12.09",",,,0","","","","","","","",""
"USW00027401","1951-11","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0",",0","12",",0","2",",0","0",",0","30",",0","1",",0","12",",0","30",",0","29",",0","0",",0","0",",0","19","","","","","","-25.0",",0,30,+","356",",,X,30,","56",",,0,06,","8.1",",,0,06,","1.1",",0,02,","3033.9","X","910.0",",0","22.4",",,,0","166",",,,0","-12.00",",0","-8.49",",,,0","-15.52",",,,0","","","","","","","",""
"USW00027401","1951-12","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","X","0.0","4,X","9",",X","0",",X","0",",X","31",",X","0",",X","25","3,X","28","3,X","30","1,X","0","1,X","0","1,X","13","","","","","","-38.9","3,X,10,+","381",",,X,31,+","13",",,X,27,","1.3",",,X,27,","-1.1","1,X,27,","4138.2","X","1104.3","1,X","5.3",",,,X","53",",,,X","-22.55","4,X","-18.71","1,,,X","-26.39","3,,,X","","","","","","","",""
"USW00027401","1952-01","70.13389","-143.57694","14.9","BARTER ISLAND WEATHER SERVICE OFFICE AIRPORT, AK US","","","0.0","0","0.0",",0","4",",0","0",",0","0",",0","31",",0","0",",0","30",",0","31",",0","31",",0","0",",0","0",",0","15","","","","","","-38.9",",0,20,","381",",,X,31,+","10",",,0,14,","1.0",",,0,14,","-8.9",",0,14,","5522.0","0","1383.8",",0","2.3",",,,0","23",",,,0","-26.31",",0","-22.37",",,,0","-30.24",",,,0","","","","","","","",""
