"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014836","1948-11","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","","","0.0",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","0",",0","0",",0","10","","","","1","","-3.9",",0,29,","0",",,0,30,+","0",",T,0,30,+","17.0",",,0,19,","18.9",",0,05,","722.1","0","368.1",",0","63.5",",,,0","","","0",",T,,0","6.06",",0","9.50",",,,0","2.62",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1948-12","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","","","0.0",",0","13",",0","6",",0","0",",0","5",",0","2",",0","0",",0","29",",0","15",",0","0",",0","0",",0","11","","","","","","-16.7",",0,26,","102",",,0,30,","91",",,0,29,","21.3",",,0,29,","13.9",",0,04,","1347.4","0","625.3",",0","56.7",",,,0","","","145",",,,0","-1.84",",0","1.70",",,,0","-5.37",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-01","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","16",",0","7",",0","1",",0","11",",0","2",",0","1",",0","29",",0","11",",0","0",",0","0",",0","14","","","","","","-18.9",",0,30,","102",",,0,26,","86",",,0,26,","40.1",",,0,18,","12.8",",0,16,","1982.1","0","634.7",",0","88.7",",,,0","","","163",",,,0","-2.14",",0","2.03",",,,0","-6.31",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-02","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","14",",0","8",",0","0",",0","13",",0","2",",0","0",",0","26",",0","12",",0","0",",0","0",",0","12","","","","","","-13.3",",0,06,+","102",",,0,05,+","48",",,0,03,","21.3",",,0,13,","11.7",",0,18,","2567.7","0","585.6",",0","62.7",",,,0","","","126",",,,0","-2.58",",0","1.43",",,,0","-6.59",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-03","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","11",",0","6",",0","1",",0","5",",0","2",",0","0",",0","21",",0","11",",0","1",",0","0",",0","9","","","","","","-12.2",",0,01,","25",",,0,16,+","30",",,0,09,","36.6",",,0,31,","21.7",",0,29,","3103.6","0","535.9",",0","66.5",",,,0","","","98",",,,0","1.05",",0","5.62",",,,0","-3.53",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-04","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","5",",0","0",",0","8","","","","2","","-3.9",",0,09,","0",",T,0,17,+","5",",,0,01,","15.0",",,0,15,","24.4",",0,30,","3415.8","0","312.2",",0","47.7",",,,0","","","8",",,,0","7.93",",0","14.14",",,,0","1.72",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-05","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","31.7","0","31.7",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","19",",0","0",",0","6","","","","3","","-1.7",",0,11,","0",",,0,31,+","0",",,0,31,+","31.5",",,0,19,","31.7",",0,06,","3541.9","0","126.1",",0","59.8",",,,0","","","0",",,,0","15.29",",0","22.03",",,,0","8.55",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-06","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","160.8","0","129.1",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","12","","","","5","","2.8",",0,08,","0",",,0,30,+","0",",,0,30,+","29.5",",,0,15,","32.8",",0,30,","3558.8","0","16.9",",0","124.4",",,,0","","","0",",,,0","22.07",",0","28.13",",,,0","16.02",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-07","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","319.7","0","158.9",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","4","","","","3","","10.6",",0,15,","0",",,0,31,+","0",",,0,31,+","44.5",",,0,09,","35.6",",0,03,","1.8","0","1.8",",0","121.5",",,,0","","","0",",,,0","23.40",",0","29.32",",,,0","17.48",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-08","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","421.9","0","102.2",",0","10",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","16","","","","8","","7.2",",0,20,","0",",,0,31,+","0",",,0,31,+","14.7",",,0,11,","33.9",",0,09,","13.7","0","11.9",",0","40.9",",,,0","","","0",",,,0","21.24",",0","27.66",",,,0","14.82",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-09","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","428.6","0","6.7",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","11",",0","0",",0","4","","","","1","","0.0",",0,29,","0",",,0,30,+","0",",,0,30,+","22.6",",,0,18,","29.4",",0,04,","150.6","0","136.9",",0","48.6",",,,0","","","0",",,,0","13.99",",0","19.50",",,,0","8.48",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-10","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","440.0","0","11.4",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","9",",0","0",",0","11","","","","1","","-3.9",",0,31,","0",",,0,31,+","0",",T,0,31,","24.1",",,0,06,","28.9",",0,08,","336.1","0","185.5",",0","59.7",",,,0","","","0",",T,,0","12.72",",0","18.63",",,,0","6.81",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-11","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","440.0","0","0.0",",0","14",",0","2",",0","0",",0","7",",0","2",",0","1",",0","18",",0","4",",0","0",",0","0",",0","13","","","","1","","-20.6",",0,26,","203",",,0,26,+","198",",,0,24,","17.0",",,0,24,","19.4",",0,10,","820.8","0","484.7",",0","40.7",",,,0","","","307",",,,0","2.18",",0","6.04",",,,0","-1.69",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1949-12","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","440.0","0","0.0",",0","18",",0","10",",0","1",",0","8",",0","1",",0","0",",0","26",",0","9",",0","0",",0","0",",0","13","","","","","","-11.1",",0,15,","76",",,0,02,","58",",,0,01,","28.7",",,0,21,","16.7",",0,12,+","1404.9","0","584.1",",0","119.5",",,,0","","","107",",,,0","-0.51",",0","3.55",",,,0","-4.56",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-01","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","14",",0","9",",0","1",",0","5",",0","1",",0","0",",0","26",",0","12",",0","0",",0","0",",0","14","","","","4","","-16.7",",0,19,","51",",,0,21,+","64",",,0,20,","28.2",",,0,13,","18.3",",0,25,","2010.8","0","605.9",",0","91.9",",,,0","","","101",",,,0","-1.21",",0","3.83",",,,0","-6.25",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-02","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","15",",0","8",",0","0",",0","18",",0","4",",0","3",",0","28",",0","17",",0","0",",0","0",",0","11","","","","1","","-20.0",",0,25,","254",",,0,24,","122",",,0,22,","19.8",",,0,14,","5.0",",0,05,","2651.5","0","640.7",",0","84.8",",,,0","","","348",",,,0","-4.55",",0","-0.67",",,,0","-8.43",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-03","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","18",",0","7",",0","0",",0","14",",0","3",",0","0",",0","27",",0","10",",0","0",",0","0",",0","10","","","","1","","-16.1",",0,03,+","152",",,0,02,+","114",",,0,11,","19.3",",,0,27,","15.6",",0,27,","3285.6","0","634.1",",0","60.7",",,,0","","","233",",,,0","-2.12",",0","2.10",",,,0","-6.34",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-04","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","17",",0","9",",0","1",",0","0",",0","1",",0","0",",0","16",",0","1",",0","0",",0","0",",0","10","","","","3","","-8.3",",0,13,","0",",T,0,13,+","56",",,0,27,","27.4",",,0,24,","19.4",",0,18,","3706.6","0","421.0",",0","115.0",",,,0","","","74",",,,0","4.30",",0","9.01",",,,0","-0.41",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-05","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","9.4","0","9.4",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","20",",0","0",",0","7","","","","4","","-1.1",",0,02,","0",",,0,31,+","0",",T,0,24,","30.2",",,0,25,","30.0",",0,25,","3838.2","0","131.6",",0","49.9",",,,0","","","0",",T,,0","14.39",",0","21.24",",,,0","7.55",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-06","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","66.4","0","57.0",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","6","","","","8","","5.0",",0,04,","0",",,0,30,+","0",",T,0,02,","58.4",",,0,02,","31.7",",0,25,+","3878.5","0","40.3",",0","119.6",",,,0","","","0",",T,,0","18.89",",0","24.55",",,,0","13.23",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-07","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","141.8","0","75.4",",0","10",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","1",",0","10","","","","7","","7.2",",0,01,","0",",,0,31,+","0",",,0,31,+","27.7",",,0,19,","32.2",",0,12,","13.0","0","13.0",",0","110.4",",,,0","","","0",",,,0","20.34",",0","26.93",",,,0","13.76",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-08","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","204.9","0","63.1",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","8","","","","7","","5.0",",0,21,","0",",,0,31,+","0",",T,0,10,","34.5",",,0,28,","31.7",",0,17,","41.8","0","28.8",",0","62.3",",,,0","","","0",",T,,0","19.44",",0","25.51",",,,0","13.37",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-09","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","214.4","0","9.5",",0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","17",",0","0",",0","14","","","","3","","-0.6",",0,24,","0",",,0,30,+","0",",,0,30,+","34.8",",,0,13,","27.2",",0,09,","131.5","0","89.7",",0","76.8",",,,0","","","0",",,,0","15.66",",0","20.90",",,,0","10.41",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-10","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","221.7","0","7.3",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","8",",0","0",",0","14","","","","3","","-2.2",",0,26,","0",",,0,31,+","0",",,0,31,+","6.1",",,0,14,","27.2",",0,18,","323.9","0","192.4",",0","31.0",",,,0","","","0",",,,0","12.36",",0","17.49",",,,0","7.23",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-11","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","222.8","0","1.1",",0","16",",0","11",",0","0",",0","9",",0","4",",0","2",",0","18",",0","7",",0","1",",0","0",",0","8","","","","1","","-18.9",",0,25,","127",",,0,29,+","102",",,0,25,","18.0",",,0,15,","26.1",",0,01,","842.4","0","518.5",",0","75.5",",,,0","","","346",",,,0","1.09",",0","4.88",",,,0","-2.70",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1950-12","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","222.8","0","0.0",",0","17",",0","5",",0","0",",0","26",",0","4",",0","2",",0","31",",0","25",",0","0",",0","0",",0","7","","","","1","","-17.8",",0,27,+","102",",,0,27,+","46",",,0,15,","24.1",",,0,07,","9.4",",0,03,+","1574.1","0","731.7",",0","50.4",",,,0","","","220",",,,0","-5.27",",0","-1.79",",,,0","-8.75",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-01","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","17",",0","6",",0","0",",0","14",",0","5",",0","2",",0","30",",0","17",",0","0",",0","0",",0","15","","","","","","-25.6",",0,30,","178",",,0,31,","64",",,0,27,","18.8",",,0,02,","7.8",",0,18,","2272.7","0","698.6",",0","64.1",",,,0","","","291",",,,0","-4.20",",0","-0.95",",,,0","-7.45",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-02","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","14",",0","8",",0","0",",0","13",",0","2",",0","4",",0","25",",0","12",",0","0",",0","0",",0","16","","","","","","-23.3",",0,09,","229",",,0,02,+","48",",,0,01,","8.9",",,0,19,","12.8",",0,26,","2893.1","0","620.4",",0","47.1",",,,0","","","130",",,,0","-3.83",",0","0.48",",,,0","-8.13",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-03","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","12",",0","5",",0","0",",0","1",",0","1",",0","0",",0","25",",0","5",",0","0",",0","0",",0","11","","","","2","","-9.4",",0,26,+","25",",,0,15,","76",",,0,15,","8.4",",,0,29,","17.8",",0,06,","3432.3","0","539.2",",0","42.6",",,,0","","","110",",,,0","0.94",",0","5.08",",,,0","-3.20",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-04","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.8","0","0.8",",0","16",",0","9",",0","0",",0","0",",0","0",",0","0",",0","14",",0","0",",0","3",",0","0",",0","15","","","","1","","-2.8",",0,20,","0",",T,0,16,+","20",",,0,01,","14.2",",,0,08,","26.7",",0,28,","3776.4","0","344.1",",0","74.4",",,,0","","","25",",,,0","6.89",",0","11.84",",,,0","1.94",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-05","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","16.8","0","16.0",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","12","","","","5","","1.1",",0,13,","0",",,0,31,+","0",",,0,31,+","22.6",",,0,10,","29.4",",0,16,","3895.3","0","118.9",",0","78.3",",,,0","","","0",",,,0","15.01",",0","21.48",",,,0","8.55",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-06","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","58.4","0","41.6",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","13","","","","5","","6.1",",0,06,","0",",,0,30,+","0",",,0,30,+","21.6",",,0,22,+","30.6",",0,18,","3924.5","0","29.2",",0","82.8",",,,0","","","0",",,,0","18.75",",0","24.60",",,,0","12.89",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-07","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","152.5","0","94.1",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","10","","","","4","","8.9",",0,20,","0",",,0,31,+","0",",,0,31,+","7.9",",,0,09,","32.8",",0,26,","3.6","0","3.6",",0","27.3",",,,0","","","0",",,,0","21.25",",0","27.34",",,,0","15.16",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-08","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","199.2","0","46.7",",0","13",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","1",",0","18","","","","7","","5.6",",0,24,","0",",,0,31,+","0",",,0,31,+","27.2",",,0,31,","32.2",",0,31,","25.8","0","22.2",",0","72.3",",,,0","","","0",",,,0","19.12",",0","25.13",",,,0","13.12",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-09","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","212.7","0","13.5",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","16",",0","0",",0","12","","","","7","","-1.1",",0,29,","0",",,0,30,+","0",",,0,30,+","14.2",",,0,26,","29.4",",0,12,","135.4","0","109.6",",0","65.9",",,,0","","","0",",,,0","15.13",",0","20.83",",,,0","9.44",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-10","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","226.3","0","13.6",",0","8",",0","5",",0","2",",0","0",",0","0",",0","0",",0","5",",0","0",",0","10",",0","0",",0","16","","","","1","","-2.8",",0,29,","0",",,0,31,+","0",",,0,31,+","46.5",",,0,23,","30.0",",0,04,","365.3","0","229.9",",0","105.9",",,,0","","","0",",,,0","11.35",",0","16.65",",,,0","6.05",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-11","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","226.3","0","0.0",",0","13",",0","7",",0","0",",0","9",",0","4",",0","0",",0","24",",0","14",",0","0",",0","0",",0","10","","","","1","","-11.7",",0,05,","279",",,0,08,+","203",",,0,06,","17.8",",,0,07,","14.4",",0,13,","937.7","0","572.4",",0","66.7",",,,0","","","427",",,,0","-0.75",",0","2.91",",,,0","-4.40",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1951-12","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","226.3","0","0.0",",0","20",",0","9",",0","0",",0","21",",0","7",",0","4",",0","24",",0","17",",0","0",",0","0",",0","10","","","","","","-21.1",",0,19,","508",",,0,25,","201",",,0,20,","16.3",",,0,20,","17.2",",0,07,","1616.0","0","678.3",",0","78.7",",,,0","","","708",",,,0","-3.55",",0","0.55",",,,0","-7.65",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014836","1952-01","42.7761","-84.5997","261.8","LANSING CAPITAL CITY AIRPORT, MI US","","","0.0","0","0.0",",0","18",",0","8",",0","0",",0","18",",0","4",",0","0",",0","28",",0","13",",0","0",",0","0",",0","15","","","","","","-16.1",",0,29,","127",",,0,08,+","102",",,0,04,","10.4",",,0,19,","15.0",",0,17,","2278.0","0","662.0",",0","47.5",",,,0","","","316",",,,0","-3.02",",0","0.89",",,,0","-6.93",",,,0","","","","","","","","","","","","","","","","","","","","","",""
