"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093044","1993-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","10","2,0","8","2,0","1","2,0","0","1,0","0","2,0","1","2,0","27","2,0","0","2,0","0","2,0","0","2,0","","","","","","","-18.9","2,0,04,","0","1,,0,31,+","0","2,,0,31,+","31.0","2,,0,08,","16.1","2,0,22,","1729.8","0","460.0","2,0","92.4",",a,,0","0","2,,,0","2.47","2,0","8.99","2,,,0","-4.05","2,,,0"
"USW00093044","1993-02","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","5","1,0","3","1,0","0","1,0","0",",0","0",",0","0","2,0","24","2,0","0","2,0","0","2,0","0","2,0","","","","","","","-9.4","2,0,03,+","0",",,0,28,+","0",",,0,28,+","3.8","1,,0,14,","15.6","2,0,08,","2137.6","0","407.8","2,0","13.0","1,,,0","0",",,,0","2.65","2,0","10.19","2,,,0","-4.89","2,,,0"
"USW00093044","1993-03","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","4",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","0","2,0","2","2,0","0","2,0","","","","","","","-11.1","1,0,13,","0",",,0,31,+","0",",,0,31,+","11.4",",,0,19,","21.7","2,0,25,","2500.9","0","363.3","2,0","30.8",",,,0","0",",,,0","5.87","2,0","15.75","2,,,0","-4.00","1,,,0"
"USW00093044","1993-04","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","1,0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","23","1,0","0","1,0","15","1,0","0","1,0","","","","","","","-9.4","1,0,14,+","0",",,0,30,+","0",",,0,30,+","0.5",",,0,06,","26.7","1,0,22,","2770.5","0","269.6","1,0","0.5",",,,0","0",",,,0","9.04","1,0","20.68","1,,,0","-2.60","1,,,0"
"USW00093044","1993-05","35.0705","-108.8388","1923.6","ZUNI, NM US","1.6","0","1.6","2,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","7","2,0","0","2,0","25","2,0","0","2,0","","","","","1","","-5.0","2,0,09,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,13,","28.9","2,0,25,","2890.8","0","120.3","2,0","11.7",",,,0","0",",,,0","14.24","2,0","25.05","2,,,0","3.43","2,,,0"
"USW00093044","1993-06","35.0705","-108.8388","1923.6","ZUNI, NM US","34.0","0","32.4","2,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","2","2,0","0","2,0","28","2,0","12","2,0","","","","","","","-2.8","2,0,07,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","35.0","2,0,26,","2932.2","0","41.4","2,0","0.0",",,,0","0",",,,0","18.01","2,0","30.49","2,,,0","5.53","2,,,0"
"USW00093044","1993-07","35.0705","-108.8388","1923.6","ZUNI, NM US","102.3","0","68.3","3,0","1",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","3,0","28","3,0","14","3,0","","","","","","","5.6","2,0,24,+","0",",,0,31,+","0",",,0,31,+","1.3",",,0,13,","35.6","3,0,31,","0.2","0","0.2","3,0","1.3",",,,0","0",",,,0","20.74","3,0","32.45","3,,,0","9.03","2,,,0"
"USW00093044","1993-08","35.0705","-108.8388","1923.6","ZUNI, NM US","180.2","0","77.9","2,0","10","2,0","7","2,0","0","2,0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","9","2,0","","","","","1","","8.3","2,0,24,","0",",,0,31,+","0",",,0,31,+","16.5","2,,0,28,","36.1","2,0,01,","1.9","0","1.7","2,0","88.6",",a,,0","0",",,,0","20.96","2,0","29.94","2,,,0","11.98","2,,,0"
"USW00093044","1993-09","35.0705","-108.8388","1923.6","ZUNI, NM US","192.2","0","12.0","2,0","2",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","1","2,0","0","2,0","28","2,0","0","2,0","","","","","1","","-1.1","2,0,25,","0",",,0,30,+","0",",,0,30,+","0.5",",,0,14,+","31.1","2,0,22,","52.2","0","50.3","2,0","1.0",",,,0","0",",,,0","16.96","2,0","27.98","2,,,0","5.95","2,,,0"
"USW00093044","1993-10","35.0705","-108.8388","1923.6","ZUNI, NM US","192.2","0","0.0","2,0","4",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","14","2,0","0","2,0","15","2,0","0","2,0","","","","","","","-9.4","2,0,30,","0",",,0,31,+","0",",,0,31,+","17.5",",,0,07,","28.9","2,0,05,+","276.5","0","224.3","2,0","28.2",",,,0","0",",,,0","10.60","2,0","20.64","2,,,0","0.56","2,,,0"
"USW00093044","1993-11","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","3",",0","3",",0","0",",0","0",",0","0",",0","0","4,0","25","4,0","","","","","","","","","","","","","-15.6","4,0,26,","0",",,0,30,+","0",",,0,30,+","17.8",",,0,14,","","","","","","","34.8",",,,0","0",",,,0","","","","","-5.99","4,,,0"
"USW00093044","1993-12","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","2,0","4","1,0","1","1,0","0","1,0","0",",0","0",",0","1","2,0","28","2,0","0","2,0","0","2,0","0","2,0","","","","","","","-17.8","2,0,24,","0",",,0,31,+","0",",,0,31,+","2.5","1,,0,13,","18.3","2,0,10,","","","491.9","2,0","4.8","1,,,0","0",",,,0","1.37","2,0","10.82","2,,,0","-8.08","2,,,0"
"USW00093044","1994-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","1",",0","31",",0","0",",0","0",",0","0",",0","","","","","","","-18.3",",0,07,","0",",,0,31,+","0",",,0,31,+","0.5",",,0,06,","18.3",",0,20,+","","","558.6",",0","0.5",",,,0","0",",,,0","0.31",",0","11.11",",,,0","-10.48",",,,0"
"USW00093044","1994-02","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","6","4,0","2","4,0","0","4,0","0","4,0","0","4,0","","","","","","","","","","","","","","","","","","","0","4,,0,28,+","0","4,,0,28,+","16.0","4,,0,08,","","","","","","","21.9","4,,,0","0","4,,,0","","","","","",""
"USW00093044","1994-03","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","2",",0","0",",0","","","","","","","-11.7",",0,28,","0",",,0,31,+","0",",,0,31,+","8.1",",,0,20,","22.8",",0,16,","","","363.1",",0","20.6",",,,0","0",",,,0","6.62",",0","16.30",",,,0","-3.06",",,,0"
"USW00093044","1994-04","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","1,0","7",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","18","1,0","0","1,0","15","1,0","0","1,0","","","","","","","-8.3","1,0,06,","0",",,0,30,+","0",",,0,30,+","20.1",",,0,09,","27.2","1,0,21,+","","","247.5","1,0","36.4",",,,0","0",",,,0","9.80","1,0","20.10","1,,,0","-0.50","1,,,0"
"USW00093044","1994-05","35.0705","-108.8388","1923.6","ZUNI, NM US","","","4.2","3,0","6",",0","4",",0","0",",0","0",",0","0",",0","0","2,0","6","2,0","0","3,0","23","3,0","2","3,0","","","","","1","","-1.1","2,0,09,+","0",",,0,31,+","0",",,0,31,+","8.9",",,0,11,","32.2","3,0,31,+","","","120.6","3,0","28.0",",,,0","0",",,,0","14.25","3,0","25.06","3,,,0","3.45","2,,,0"
"USW00093044","1994-06","35.0705","-108.8388","1923.6","ZUNI, NM US","","","60.8","2,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","28","2,0","14","2,0","","","","","","","3.9","2,0,16,+","0",",,0,30,+","0",",,0,30,+","12.2",",,0,22,","37.8","2,0,30,","","","5.3","2,0","17.5",",,,0","0",",,,0","20.32","2,0","32.44","2,,,0","8.19","2,,,0"
"USW00093044","1994-07","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","8",",0","6",",0","0",",0","0",",0","0",",0","","","","","0","2,0","29","2,0","26","2,0","","","","","2","","","","0",",,0,31,+","0",",,0,31,+","21.6",",,0,25,","35.6","2,0,10,","","","","","50.2",",,,0","0",",,,0","","","33.39","2,,,0","",""
"USW00093044","1994-08","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","8","2,0","5","2,0","0","2,0","0",",0","0",",0","","","","","0","1,0","30","1,0","17","1,0","","","","","2","","","","0",",,0,31,+","0",",,0,31,+","7.6","2,,0,21,","35.6","1,0,03,","","","","","43.7",",a,,0","0",",,,0","","","32.22","1,,,0","",""
"USW00093044","1994-09","35.0705","-108.8388","1923.6","ZUNI, NM US","","","24.0","2,0","2",",0","2",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","0",",0","","","","","1","","0.6","2,0,23,","0",",,0,30,+","0",",,0,30,+","39.9",",,0,03,","30.6",",0,30,+","","","35.1",",0","43.5",",,,0","0",",,,0","17.92","2,0","28.23",",,,0","7.62","2,,,0"
"USW00093044","1994-10","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","1,0","5",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","16","1,0","0","1,0","14","1,0","0","1,0","","","","","","","-5.6","1,0,31,","0",",,0,31,+","0",",,0,31,+","22.6",",,0,26,","25.0","1,0,10,+","","","238.4","1,0","66.5",",,,0","0",",,,0","10.39","1,0","19.79","1,,,0","0.98","1,,,0"
"USW00093044","1994-11","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","2,0","4",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","26","2,0","0","2,0","2","2,0","0","2,0","","","","","","","-15.0","2,0,28,+","0",",,0,30,+","0",",,0,30,+","7.6",",,0,03,","23.9","2,0,06,","","","411.0","2,0","14.0",",,,0","0",",,,0","3.66","2,0","12.40","2,,,0","-5.09","2,,,0"
"USW00093044","1994-12","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","2,0","5",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","26","2,0","0","1,0","0","1,0","0","1,0","","","","","","","-13.9","2,0,10,","0",",,0,31,+","0",",,0,31,+","10.7",",,0,06,","16.7","1,0,17,","","","462.9","1,0","22.6",",,,0","0",",,,0","2.47","2,0","10.71","1,,,0","-5.76","2,,,0"
"USW00093044","1995-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","6",",0","6",",0","0",",0","0","3,0","0","3,0","1","2,0","28","2,0","0","2,0","0","2,0","0","2,0","","","","","","","-18.3","2,0,18,","0","3,,0,31,+","0","3,,0,31,+","17.8",",,0,05,","13.9","2,0,14,","","","488.1","2,0","42.5",",,,0","0","3,,,0","1.50","2,0","8.50","2,,,0","-5.49","2,,,0"
"USW00093044","1995-02","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","3,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","22","3,0","0","2,0","1","2,0","0","2,0","","","","","","","-8.3","3,0,10,","0",",,0,28,+","0",",,0,28,+","20.8",",,0,15,","21.1","2,0,21,","","","317.0","2,0","29.3",",,,0","0",",,,0","5.69","3,0","14.84","2,,,0","-3.46","3,,,0"
"USW00093044","1995-03","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","3,0","6",",0","3",",0","0",",0","0",",0","0",",0","0","2,0","23","2,0","0","2,0","4","2,0","0","2,0","","","","","","","-12.2","2,0,26,","0",",,0,31,+","0",",,0,31,+","10.4",",,0,06,","23.3","2,0,14,","","","333.0","2,0","27.4",",,,0","0",",,,0","6.52","3,0","15.86","2,,,0","-2.82","2,,,0"
"USW00093044","1995-04","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","14",",0","0",",0","","","","","","","-9.4",",0,11,","0",",,0,30,+","0",",,0,30,+","6.4",",,0,19,","24.4",",0,29,","","","326.9",",0","19.1",",,,0","0",",,,0","7.44",",0","17.30",",,,0","-2.43",",,,0"
"USW00093044","1995-05","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","4",",0","4",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","25",",0","0",",0","","","","","","","-2.8",",0,09,","0",",,0,31,+","0",",,0,31,+","7.4",",,0,07,","27.2",",0,21,+","","","208.2",",0","19.3",",,,0","0",",,,0","11.62",",0","21.58",",,,0","1.65",",,,0"
"USW00093044","1995-06","35.0705","-108.8388","1923.6","ZUNI, NM US","22.7","0","22.7","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0","1,0","29","1,0","6","1,0","","","","","","","-1.7","1,0,09,","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","33.9","1,0,13,","","","50.3","1,0","0.0",",,,0","0",",,,0","17.38","1,0","29.49","1,,,0","5.28","1,,,0"
"USW00093044","1995-07","35.0705","-108.8388","1923.6","ZUNI, NM US","134.9","0","112.2",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","2.2",",0,03,","0",",,0,31,+","0",",,0,31,+","7.1",",,0,19,","39.4",",0,28,","5.3","0","5.3",",0","10.4",",,,0","0",",,,0","21.78",",0","33.03",",,,0","10.53",",,,0"
"USW00093044","1995-08","35.0705","-108.8388","1923.6","ZUNI, NM US","276.9","0","142.0","3,0","12",",0","8",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","29","2,0","18","2,0","","","","","","","10.6","3,0,15,+","0",",,0,31,+","0",",,0,31,+","12.2",",,0,21,","37.2","2,0,06,+","5.3","0","0.0","2,0","59.6",",,,0","0",",,,0","23.48","3,0","32.81","2,,,0","14.15","3,,,0"
"USW00093044","1995-09","35.0705","-108.8388","1923.6","ZUNI, NM US","303.9","0","27.0","2,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","2,0","1","2,0","0","2,0","28","2,0","4","2,0","","","","","","","-1.1","2,0,30,","0",",,0,30,+","0",",,0,30,+","3.3",",,0,28,","33.9","2,0,05,+","48.4","0","43.1","2,0","5.8",",,,0","0",",,,0","17.76","2,0","27.74","2,,,0","7.78","2,,,0"
"USW00093044","1995-10","35.0705","-108.8388","1923.6","ZUNI, NM US","303.9","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","25",",0","0",",0","","","","","","","-11.7",",0,23,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","27.8",",0,15,+","258.5","0","210.1",",0","0.0",",,,0","0",",,,0","11.55",",0","23.77",",,,0","-0.66",",,,0"
"USW00093044","1995-11","35.0705","-108.8388","1923.6","ZUNI, NM US","","","","","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","0","5,0","3","5,0","0","5,0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","12.2",",,0,01,","21.7","5,0,13,","","","","","36.1",",,,0","0",",,,0","","","17.19","5,,,0","",""
"USW00093044","1995-12","35.0705","-108.8388","1923.6","ZUNI, NM US","","","0.0","3,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","3,0","27","3,0","0","3,0","0","3,0","0","3,0","","","","","","","-15.0","3,0,25,","0",",,0,31,+","0",",,0,31,+","7.4",",,0,14,","18.9","3,0,01,","","","445.6","3,0","10.7",",,,0","0",",,,0","2.42","3,0","11.64","3,,,0","-6.80","3,,,0"
"USW00093044","1996-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","0","1,0","0","1,0","0","1,0","","","","","","","-15.0","1,0,24,+","0",",,0,31,+","0",",,0,31,+","9.4",",,0,17,","18.3","1,0,09,","","","507.6","1,0","16.0",",,,0","0",",,,0","1.41","1,0","11.14","1,,,0","-8.31","1,,,0"
"USW00093044","1996-02","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","3",",0","3",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","0",",0","0",",0","","","","","","","-12.8",",0,27,","0",",,0,29,+","0",",,0,29,+","9.7",",,0,02,","20.6",",0,16,+","","","372.4",",0","20.3",",,,0","0",",,,0","5.49",",0","14.58",",,,0","-3.59",",,,0"
"USW00093044","1996-03","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","3",",0","0",",0","","","","","","","-11.7",",0,07,","0",",,0,31,+","0",",,0,31,+","7.1",",,0,29,","21.7",",0,31,","","","393.3",",0","9.2",",,,0","0",",,,0","5.65",",0","16.42",",,,0","-5.13",",,,0"
"USW00093044","1996-04","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","18",",0","0",",0","","","","","","","-7.8",",0,14,","0",",,0,30,+","0",",,0,30,+","4.1",",,0,04,","28.9",",0,27,","","","243.2",",0","5.4",",,,0","0",",,,0","10.23",",0","21.96",",,,0","-1.51",",,,0"
"USW00093044","1996-05","35.0705","-108.8388","1923.6","ZUNI, NM US","2.0","0","2.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","30",",0","4",",0","","","","","","","-2.2",",0,27,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","33.9",",0,12,","","","89.3",",0","0.0",",,,0","0",",,,0","15.52",",0","28.24",",,,0","2.80",",,,0"
"USW00093044","1996-06","35.0705","-108.8388","1923.6","ZUNI, NM US","58.9","0","56.9","2,0","4",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","28","2,0","17","2,0","","","","","","","2.2","2,0,02,+","0",",,0,30,+","0",",,0,30,+","6.6",",,0,14,","35.6","2,0,20,+","","","3.6","2,0","10.4",",,,0","0",",,,0","20.24","2,0","31.76","2,,,0","8.71","2,,,0"
"USW00093044","1996-07","35.0705","-108.8388","1923.6","ZUNI, NM US","213.4","0","154.5",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","","","10.0",",0,23,","0",",,0,31,+","0",",,0,31,+","30.0",",,0,10,","37.2",",0,23,+","0.0","0","0.0",",0","76.4",",,,0","0",",,,0","23.32",",0","33.49",",,,0","13.15",",,,0"
"USW00093044","1996-08","35.0705","-108.8388","1923.6","ZUNI, NM US","326.4","0","113.0",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","","","","","","","5.6",",0,31,","0",",,0,31,+","0",",,0,31,+","25.9",",,0,27,","36.1",",0,13,","0.0","0","0.0",",0","49.2",",,,0","0",",,,0","21.98",",0","31.74",",,,0","12.22",",,,0"
"USW00093044","1996-09","35.0705","-108.8388","1923.6","ZUNI, NM US","341.2","0","14.8","2,0","11",",0","7",",0","0",",0","0",",0","0",",0","0","2,0","1","2,0","0","2,0","21","2,0","2","2,0","","","","","1","","0.0","2,0,28,","0",",,0,30,+","0",",,0,30,+","24.1",",,0,14,","32.8","2,0,01,","85.0","0","85.0","2,0","69.6",",,,0","0",",,,0","15.82","2,0","24.56","2,,,0","7.09","2,,,0"
"USW00093044","1996-10","35.0705","-108.8388","1923.6","ZUNI, NM US","342.9","0","1.7",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","18",",0","0",",0","","","","","","","-11.1",",0,22,","0",",,0,31,+","0",",,0,31,+","18.0",",,0,28,","29.4",",0,10,+","311.2","0","226.2",",0","31.5",",,,0","0",",,,0","11.09",",0","20.27",",,,0","1.91",",,,0"
"USW00093044","1996-11","35.0705","-108.8388","1923.6","ZUNI, NM US","342.9","0","0.0","2,0","3","2,0","3","2,0","0","2,0","0",",0","0",",0","0","2,0","26","2,0","0","2,0","3","2,0","0","2,0","","","","","","","-10.6","2,0,07,","0",",,0,30,+","0",",,0,30,+","16.5","2,,0,16,","21.7","2,0,13,+","665.8","0","354.6","2,0","31.8",",a,,0","0",",,,0","5.67","2,0","14.91","2,,,0","-3.58","2,,,0"
"USW00093044","1996-12","35.0705","-108.8388","1923.6","ZUNI, NM US","342.9","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","31",",0","1",",0","0",",0","0",",0","","","","","","","-20.6",",0,18,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","18.3",",0,08,","1194.7","0","528.9",",0","0.0",",,,0","0",",,,0","1.27",",0","10.46",",,,0","-7.92",",,,0"
"USW00093044","1997-01","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","3","2,0","3","2,0","0","2,0","4","1,0","2",",0","1","2,0","28","2,0","1","2,0","0","2,0","0","2,0","","","","","","","-21.7","2,0,15,","152","1,,0,26,","178",",,0,26,","23.4","2,,0,26,","16.7","2,0,01,","1725.9","0","531.2","2,0","52.6",",a,,0","328",",a,,0","0.02","2,0","7.25","2,,,0","-7.21","2,,,0"
"USW00093044","1997-02","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","27","1,0","0","1,0","0","1,0","0","1,0","","","","","","","-11.7","1,0,14,","0",",,0,28,+","0",",,0,28,+","12.4",",,0,28,","17.8","1,0,15,","2158.7","0","432.8","1,0","14.4",",,,0","0",",,,0","2.30","1,0","11.05","1,,,0","-6.44","1,,,0"
"USW00093044","1997-03","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","2,0","0","3,0","0","3,0","0","3,0","0","4,0","0","3,0","0","2,0","28","2,0","0","2,0","9","2,0","0","2,0","","","","","","","-12.8","2,0,02,","0","4,,0,31,+","0","3,,0,31,+","0.0","3,,0,31,+","25.0","2,0,21,+","2485.5","0","326.8","2,0","0.0","3,,,0","0","3,,,0","7.07","2,0","18.71","2,,,0","-4.58","2,,,0"
"USW00093044","1997-04","35.0705","-108.8388","1923.6","ZUNI, NM US","0.0","0","0.0","1,0","6",",0","5",",0","0",",0","0","3,0","0","3,0","0",",0","19",",0","0","1,0","13","1,0","0","1,0","","","","","","","-6.7",",0,14,+","0","3,,0,30,+","0","3,,0,30,+","19.1",",,0,04,","23.9","1,0,29,","2770.5","0","285.0","1,0","52.6",",,,0","0","3,,,0","8.45","1,0","17.93","1,,,0","-1.04",",,,0"
"USW00093044","1997-05","35.0705","-108.8388","1923.6","ZUNI, NM US","5.0","0","5.0","2,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","2,0","27","2,0","2","2,0","","","","","","","-5.0","1,0,02,","0",",,0,31,+","0",",,0,31,+","17.8",",,0,20,","33.9","2,0,31,","2871.0","0","100.5","2,0","21.6",",,,0","0",",,,0","15.10","2,0","26.19","2,,,0","4.02","1,,,0"
"USW00093044","1997-06","35.0705","-108.8388","1923.6","ZUNI, NM US","35.0","0","30.0",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","13",",0","","","","","","","3.9",",0,16,","0",",,0,30,+","0",",,0,30,+","25.9",",,0,07,","33.9",",0,30,","2900.5","0","29.5",",0","41.0",",,,0","0",",,,0","18.35",",0","29.28",",,,0","7.42",",,,0"
"USW00093044","1997-07","35.0705","-108.8388","1923.6","ZUNI, NM US","142.1","0","107.1",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","","","","","3.9",",0,01,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,30,+","37.2",",0,14,","0.0","0","0.0",",0","26.5",",,,0","0",",,,0","21.79",",0","32.53",",,,0","11.05",",,,0"
"USW00093044","1997-08","35.0705","-108.8388","1923.6","ZUNI, NM US","252.0","0","109.9","2,0","8","2,0","5","2,0","1","2,0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","29","2,0","11","2,0","","","","","2","","8.9","2,0,15,","0",",,0,31,+","0",",,0,31,+","48.3","2,,0,29,","34.4","2,0,20,","0.0","0","0.0","2,0","92.9","2,,,0","0",",,,0","22.12","2,0","31.42","2,,,0","12.83","2,,,0"
"USW00093044","1997-09","35.0705","-108.8388","1923.6","ZUNI, NM US","305.0","0","53.0","2,0","7","2,0","3","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","0","2,0","28","2,0","1","2,0","","","","","","","4.4","2,0,28,","0","2,,0,30,+","0","2,,0,30,+","6.4","2,,0,07,","32.2","2,0,08,","7.2","0","7.2","2,0","21.7","2,,,0","0","2,,,0","19.97","2,0","28.79","2,,,0","11.15","2,,,0"
"USW00093044","1997-10","35.0705","-108.8388","1923.6","ZUNI, NM US","308.9","0","3.9",",0","5","1,0","3","1,0","0","1,0","0","2,0","0","2,0","0",",0","14",",0","0",",0","18",",0","0",",0","","","","","","","-9.4",",0,13,","0","2,,0,31,+","0","2,,0,31,+","8.6","1,,0,22,","30.0",",0,01,","236.9","0","229.7",",0","22.1","1,,,0","0","2,,,0","11.05",",0","21.20",",,,0","0.90",",,,0"
"USW00093044","1997-11","35.0705","-108.8388","1923.6","ZUNI, NM US","308.9","0","0.0",",0","3","2,0","3","2,0","0","2,0","0","2,0","0","3,0","0",",0","27",",0","0",",0","5",",0","0",",0","","","","","","","-11.1",",0,29,","0","2,,0,30,+","0","3,,0,30,+","10.7","2,,0,14,","22.8",",0,07,","634.0","0","397.1",",0","22.7","2,,,0","0","3,,,0","5.10",",0","14.71",",,,0","-4.52",",,,0"
"USW00093044","1997-12","35.0705","-108.8388","1923.6","ZUNI, NM US","308.9","0","0.0","3,0","2","4,0","2","4,0","0","4,0","","","1","4,0","2","1,0","29","1,0","1","2,0","0","2,0","0","2,0","","","","","","","-18.3","1,0,27,","","","51","4,,0,02,","15.0","4,,0,02,","13.9","2,0,17,","1174.8","0","540.8","2,0","24.4","4,,,0","51","4,,,0","-0.76","3,0","6.91","2,,,0","-8.44","1,,,0"
