"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00129430","1901-11","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","700.8","0","0.0","1,0","7",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","19","1,0","0",",0","0",",0","0",",0","","","","","-7.8","1,0,05,","0",",,0,30,+","0",",T,0,15,","9.1",",,0,11,","20.6",",0,11,","","","616.9","0","","","","","","","","","418.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5",",,,0","0",",T,,0","3.93","1,0","9.06",",,,0","-1.21","1,,,0","",""
"USC00129430","1901-12","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","700.8","0","0.0",",0","10",",0","5",",0","1",",0","12",",0","1",",0","6",",0","28",",0","10",",0","0",",0","0",",0","","","","","-23.9",",0,15,","25",",,0,24,+","25",",,0,14,","44.7",",,0,13,","16.1",",0,01,","","","1318.6","0","","","","","","","","","701.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.9",",,,0","61",",,,0","-4.30",",0","0.48",",,,0","-9.08",",,,0","",""
"USC00129430","1902-01","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","6",",0","4",",0","2",",0","31",",0","13",",0","0",",0","0",",0","","","","","-18.3",",0,28,+","127",",,0,31,","89",",,0,21,","7.6",",,0,21,","12.2",",0,09,","","","1973.7","0","","","","","","","","","655.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7",",,,0","228",",,,0","-2.80",",0","1.63",",,,0","-7.22",",,,0","",""
"USC00129430","1902-02","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","10",",0","5",",0","0",",0","22",",0","4",",0","9",",0","26",",0","21",",0","0",",0","0",",0","1","","","","-24.4",",0,03,","178",",,0,05,+","97",",,0,02,","14.5",",,0,28,","11.1",",0,27,","","","2684.3","0","","","","","","","","","710.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4",",,,0","268",",,,0","-7.04",",0","-1.46",",,,0","-12.63",",,,0","",""
"USC00129430","1902-03","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","12",",0","8",",0","1",",0","1",",0","1",",0","0",",0","12",",0","4",",0","0",",0","0",",0","2","","","","-11.7",",0,18,","25",",,0,02,","48",",,0,02,","25.7",",,0,28,","20.6",",0,27,","","","3073.0","0","","","","","","","","","388.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6",",,,0","48",",,,0","5.79",",0","10.57",",,,0","1.01",",,,0","",""
"USC00129430","1902-04","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","4.5","0","4.5",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","11",",0","0",",0","6",",0","0",",0","","","","","-3.9",",0,08,","0",",,0,30,+","0",",T,0,08,+","48.8",",,0,29,","29.4",",0,21,","","","3340.1","0","","","","","","","","","267.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.9",",,,0","0",",T,,0","9.58",",0","15.97",",,,0","3.19",",,,0","",""
"USC00129430","1902-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","66.5","0","62.0",",0","10",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","2.2",",0,28,","0",",,0,31,+","0",",,0,31,+","33.8",",,0,04,","30.6",",0,22,+","","","3396.8","0","","","","","","","","","56.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5",",,,0","0",",,,0","18.51",",0","24.61",",,,0","12.40",",,,0","",""
"USC00129430","1902-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","146.9","0","80.4",",0","18",",0","14",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","6.7",",0,23,+","0",",,0,30,+","0",",,0,30,+","65.0",",,0,28,","33.3",",0,15,","","","3421.0","0","","","","","","","","","24.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.7",",,,0","0",",,,0","20.21",",0","25.43",",,,0","14.99",",,,0","",""
"USC00129430","1902-07","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","318.1","0","171.2",",0","14",",0","11",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","8",",0","","","","","10.6",",0,01,","0",",,0,31,+","0",",,0,31,+","51.1",",,0,20,","33.3",",0,17,","","","1.9","0","","","","","","","","","1.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166.7",",,,0","0",",,,0","23.79",",0","29.46",",,,0","18.12",",,,0","",""
"USC00129430","1902-08","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","412.0","0","93.9",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","1","","","","8.3",",0,23,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,05,","32.2",",0,30,+","","","8.3","0","","","","","","","","","6.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6",",,,0","0",",,,0","21.16",",0","26.87",",,,0","15.44",",,,0","",""
"USC00129430","1902-09","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","440.9","0","28.9",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","1","","","","1.7",",0,14,+","0",",,0,30,+","0",",,0,30,+","22.1",",,0,30,","30.6",",0,08,","","","65.5","0","","","","","","","","","57.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7",",,,0","0",",,,0","17.39",",0","23.43",",,,0","11.35",",,,0","",""
"USC00129430","1902-10","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","443.4","0","2.5",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","14",",0","0",",0","","","","","-4.4",",0,29,","0",",,0,31,+","0",",,0,31,+","31.2",",,0,13,","24.4",",0,25,+","","","221.4","0","","","","","","","","","155.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.1",",,,0","0",",,,0","13.38",",0","19.36",",,,0","7.40",",,,0","",""
"USC00129430","1902-11","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","444.0","0","0.6",",0","12",",0","9",",0","0",",0","3",",0","2",",0","0",",0","8",",0","0",",0","7",",0","0",",0","","","","","-7.2",",0,28,","76",",,0,27,+","64",",,0,26,","24.9",",,0,05,","22.8",",0,11,+","","","488.9","0","","","","","","","","","267.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.0",",,,0","107",",,,0","9.44",",0","13.65",",,,0","5.22",",,,0","",""
"USC00129430","1902-12","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","444.0","0","0.0",",0","13",",0","10",",0","0",",0","12",",0","4",",0","0",",0","27",",0","12",",0","0",",0","0",",0","","","","","-16.7",",0,08,","102",",,0,31,+","89",",,0,13,","16.0",",,0,02,","9.4",",0,02,","","","1135.6","0","","","","","","","","","646.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.1",",,,0","251",",,,0","-2.53",",0","1.37",",,,0","-6.43",",,,0","",""
"USC00129430","1903-01","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","9",",0","6",",0","0",",0","20",",0","3",",0","3",",0","28",",0","16",",0","0",",0","0",",0","","","","","-22.2",",0,12,","152",",,0,11,","132",",,0,11,","14.7",",,0,02,","13.9",",0,29,","","","1827.3","0","","","","","","","","","691.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.2",",,,0","278",",,,0","-3.98",",0","0.34",",,,0","-8.30",",,,0","",""
"USC00129430","1903-02","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","0.0","0","0.0",",0","11",",0","8",",0","0",",0","14",",0","3",",0","3",",0","23",",0","8",",0","0",",0","0",",0","1","","","","-25.0",",0,17,","203",",,0,08,","152",",,0,08,","23.9",",,0,03,","11.7",",0,02,","","","2404.7","0","","","","","","","","","577.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.7",",,,0","336",",,,0","-2.29",",0","1.91",",,,0","-6.49",",,,0","",""
"USC00129430","1903-03","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","2.4","0","2.4","2,0","8",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","11","1,0","1","1,0","2","1,0","0","1,0","3","","","","-8.9","1,0,01,","0",",,0,31,+","0",",T,0,23,+","9.9",",,0,10,","24.4","1,0,18,","","","2721.0","0","","","","","","","","","316.3","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9",",,,0","0",",T,,0","7.70","2,0","13.09","1,,,0","2.30","1,,,0","",""
"USC00129430","1903-04","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","3.0","0","0.6","4,0","13",",0","7",",0","2",",0","0",",0","1",",0","0","2,0","4","2,0","0","2,0","7","2,0","0","2,0","1","","","","-6.7","2,0,04,","0",",T,0,04,","25",",,0,04,","32.8",",,0,11,","26.1","2,0,29,","","","2935.6","0","","","","","","","","","214.6","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.6",",,,0","25",",,,0","10.13","4,0","16.16","2,,,0","4.09","2,,,0","",""
"USC00129430","1903-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","62.5","0","59.5",",0","13",",0","6",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","25",",0","0",",0","","","","","-1.7",",0,01,","0",",,0,31,+","0",",,0,31,+","14.0",",,0,28,","30.0",",0,15,","","","2990.6","0","","","","","","","","","55.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.9",",,,0","0",",,,0","18.48",",0","24.98",",,,0","11.98",",,,0","",""
"USC00129430","1903-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","108.3","0","45.8","2,0","12",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","27","1,0","0","1,0","","","","","2.8","1,0,13,","0",",,0,30,+","0",",,0,30,+","14.2",",,0,23,","31.7","1,0,30,+","","","3017.9","0","","","","","","","","","27.3","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2",",,,0","0",",,,0","18.93","2,0","25.46","1,,,0","12.39","1,,,0","",""
"USC00129430","1903-07","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","285.4","0","177.1",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","","","","","11.7",",0,15,+","0",",,0,31,+","0",",,0,31,+","43.7",",,0,11,","37.8",",0,10,","","","0.0","0","","","","","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.2",",,,0","0",",,,0","24.05",",0","30.79",",,,0","17.30",",,,0","",""
"USC00129430","1903-08","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","403.3","0","117.9",",0","11",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","12.2",",0,20,+","0",",,0,31,+","0",",,0,31,+","81.3",",,0,04,","35.6",",0,24,","","","3.9","0","","","","","","","","","3.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128.3",",,,0","0",",,,0","22.01",",0","28.33",",,,0","15.69",",,,0","",""
"USC00129430","1903-09","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","456.9","0","53.6","3,0","6",",0","6",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","25","2,0","1","2,0","","","","","1.7","2,0,18,","0",",,0,30,+","0",",,0,30,+","15.5",",,0,17,","32.2","2,0,07,","","","48.1","0","","","","","","","","","44.2","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.8",",,,0","0",",,,0","18.73","3,0","26.29","2,,,0","11.17","2,,,0","",""
"USC00129430","1903-10","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","466.1","0","9.2","2,0","8",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","8","1,0","0","1,0","12","1,0","0","1,0","1","","","","-5.0","1,0,27,","0",",,0,31,+","0",",,0,31,+","26.2",",,0,08,","30.0","1,0,03,","","","246.1","0","","","","","","","","","198.0","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.6",",,,0","0",",,,0","11.83","2,0","18.36","1,,,0","5.29","1,,,0","",""
"USC00129430","1903-11","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","10",",0","8",",0","1",",0","2",",0","2",",0","0","4,0","23","4,0","6","4,0","1","4,0","0","4,0","","","","","-12.2","4,0,27,","25",",,0,30,+","46",",,0,29,","25.4",",,0,29,","22.8","4,0,03,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4",",,,0","84",",,,0","2.25","6,0","8.65","4,,,0","-4.15","4,,,0","",""
"USC00129430","1903-12","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","0.0","4,0","10",",0","4",",0","1",",0","19",",0","3",",0","10","2,0","29","2,0","14","2,0","0","2,0","0","2,0","","","","","-23.3","2,0,14,","102",",,0,18,+","102",",,0,13,","34.3",",,0,13,","7.8","2,0,12,","","","","","","","","","","","","","666.2","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1",",,,0","183",",,,0","-6.30","4,0","0.13","2,,,0","-12.72","2,,,0","",""
"USC00129430","1904-01","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","15",",0","10",",0","1",",0","23",",0","10",",0","13","3,0","28","3,0","21","3,0","0","3,0","0","3,0","1","","","","-26.7","3,0,04,+","254",",,0,26,","165",",,0,26,","43.4",",,0,21,","10.0","3,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128.6",",,,0","625",",,,0","-9.05","4,0","-2.61","3,,,0","-15.50","3,,,0","",""
"USC00129430","1904-02","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","0.0","4,0","8",",0","6",",0","0",",0","12",",0","3",",0","7","2,0","25","2,0","14","2,0","0","2,0","0","2,0","","","","","-23.3","2,0,04,","203",",,0,04,+","132",",,0,26,","17.0",",,0,26,","13.3","2,0,06,","","","","","","","","","","","","","628.9","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3",",,,0","228",",,,0","-6.75","4,0","-0.02","2,,,0","-13.47","2,,,0","",""
"USC00129430","1904-03","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","0.0","4,0","16",",0","12",",0","2",",0","2",",0","2",",0","0","2,0","24","2,0","2","2,0","2","2,0","0","2,0","","","","","-7.2","2,0,04,","76",",,0,15,","51",",,0,15,","55.4",",,0,26,","22.8","2,0,24,","","","","","","","","","","","","","407.0","2,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184.4",",,,0","81",",,,0","3.40","4,0","8.86","2,,,0","-2.07","2,,,0","",""
"USC00129430","1904-04","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","0.0","2,0","14",",0","10",",0","0",",0","0",",0","0",",0","0","1,0","12","1,0","0","1,0","2","1,0","0","1,0","","","","","-5.0","1,0,17,","0",",,0,30,+","18",",,0,14,","20.3",",,0,26,","26.1","1,0,23,","","","","","","","","","","","","","322.5","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3",",,,0","21",",,,0","7.17","2,0","12.86","1,,,0","1.47","1,,,0","",""
"USC00129430","1904-05","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","27.5","2,0","13",",0","10",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","19","1,0","0","1,0","","","","","1.1","1,0,16,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,30,","31.1","1,0,25,","","","","","","","","","","","","","78.9","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8",",,,0","0",",,,0","16.43","2,0","22.39","1,,,0","10.47","1,,,0","",""
"USC00129430","1904-06","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","81.1",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","","","","","9.4",",0,09,","0",",,0,30,+","0",",,0,30,+","28.4",",,0,16,","32.8",",0,25,","","","","","","","","","","","","","4.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.1",",,,0","0",",,,0","20.90",",0","26.82",",,,0","14.98",",,,0","",""
