"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00312645","1928-08","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","11",",6","9",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","190.5",",,6,15,","","","","","330.5",",,,6","0",",,,6","","","","","",""
"USC00312645","1928-09","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","70.4",",,6,05,","","","","","167.0",",,,6","0",",,,6","","","","","",""
"USC00312645","1928-10","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","5",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","63.5",",,6,23,","","","","","104.1",",,,6","0",",,,6","","","","","",""
"USC00312645","1928-11","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","","","","","25.4",",,6,19,","","","","","28.9",",,,6","","","","","","","",""
"USC00312645","1928-12","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","20.8",",,6,14,","","","","","36.3",",,,6","","","","","","","",""
"USC00312645","1929-01","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","7",",6","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","34.0",",,6,05,","","","","","55.6",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-02","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","6","1,6","6","1,6","3","1,6","","","","","","","","","","","","","","","","","","","","","80.0","1,,6,06,","","","","","173.8","1,,,6","","","","","","","",""
"USC00312645","1929-03","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","62.2",",,6,13,","","","","","195.6",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-04","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","6",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","25.7",",,6,28,","","","","","99.3",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-05","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","13",",6","11",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","55.6",",,6,20,","","","","","134.1",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-06","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","6",",6","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","57.9",",,6,27,","","","","","123.1",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-07","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","16",",6","12",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","44.5",",,6,30,","","","","","209.7",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-08","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","7",",6","6",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","29.2",",,6,24,","","","","","83.2",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-09","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","9",",6","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","101.6",",,6,26,","","","","","218.0",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-10","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4",",6","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","112.3",",,6,21,","","","","","213.4",",,,6","0",",,,6","","","","","",""
"USC00312645","1929-11","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","3",",6","3",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","25",",,6,22,","63.5",",,6,17,","","","","","79.5",",,,6","25",",,,6","","","","","",""
"USC00312645","1929-12","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4",",6","3",",6","1",",6","1",",6","","","","","","","","","","","2","","","","","","147",",,6,22,","30.7",",,6,18,","","","","","71.6",",,,6","147",",,,6","","","","","",""
"USC00312645","1930-01","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","5",",6","0",",6","2",",6","","","","","","","","","","","","","","","","","254",",,6,30,","17.3",",,6,30,","","","","","55.9",",,,6","279",",,,6","","","","","",""
"USC00312645","1930-02","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,28,+","8.9",",,6,04,","","","","","22.7",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-03","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","7",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",T,6,02,","64.5",",,6,07,","","","","","91.0",",,,6","0",",T,,6","","","","","",""
"USC00312645","1930-04","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4",",6","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","33.0",",,6,06,","","","","","50.5",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-05","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","7",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","35.6",",,6,18,","","","","","82.6",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-06","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","6",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","15.2",",,6,17,","","","","","59.9",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-07","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","3",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","18.0",",,6,27,","","","","","35.2",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-08","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","9",",6","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","65.3",",,6,22,","","","","","157.7",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-09","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","7",",6","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","46.2",",,6,20,","","","","","117.9",",,,6","0",",,,6","","","","","",""
"USC00312645","1930-10","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","","","25.4",",,6,29,+","","","","","78.3",",,,6","","","","","","","",""
"USC00312645","1930-11","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","4","1,6","4","1,6","1","1,6","0",",6","","","","","","","","","","","","","","","","","0",",T,6,26,+","50.8","1,,6,17,","","","","","80.7","1,,,6","0",",T,,6","","","","","",""
"USC00312645","1930-12","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","3",",6","3",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","356",",,6,17,","59.2",",,6,06,","","","","","99.3",",,,6","356",",,,6","","","","","",""
"USC00312645","1931-01","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","47.5",",,6,05,","","","","","62.4",",,,6","","","","","","","",""
"USC00312645","1931-02","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","5",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,28,+","19.8",",,6,28,","","","","","46.5",",,,6","0",",,,6","","","","","",""
"USC00312645","1931-03","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","4",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","25",",,6,09,","47.5",",,6,31,","","","","","135.6",",,,6","25",",,,6","","","","","",""
"USC00312645","1931-04","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","6",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","","","48.8",",,6,22,","","","","","88.3",",,,6","","","","","","","",""
"USC00312645","1931-05","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","8",",6","5",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","47.8",",,6,07,","","","","","98.5",",,,6","0",",,,6","","","","","",""
"USC00312645","1931-06","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","5",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","2","","","","0",",,6,30,+","17.8",",,6,06,","","","","","38.3",",,,6","0",",,,6","","","","","",""
"USC00312645","1931-07","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","17",",6","15",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","73.2",",,6,18,","","","","","288.0",",,,6","0",",,,6","","","","","",""
"USC00312645","1931-08","36.0","-81.75","670.6","EDGEMONT, NC US","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","","","","","","","","","0",",,,6","","","","","",""
