"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00292940","1941-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","2.8",",,6,21,","4.8",",,,6","0",",,,6","",""
"USC00292940","1941-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","2",",6","0",",6","","","1",",6","","","","","","","","","","","38",",,6,11,","3.3",",,6,10,","6.3",",,,6","38",",,,6","",""
"USC00292940","1942-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","0",",6","0",",6","","","1",",6","","","","","","","","","","","38",",,6,02,","1.8",",,6,04,","2.1",",,,6","38",",,,6","",""
"USC00292940","1942-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",T,6,25,","1.3",",,6,25,","1.3",",,,6","0",",T,,6","",""
"USC00292940","1942-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","2",",6","0",",6","","","2",",6","","","","","","","","","","","114",",,6,01,","9.9",",,6,01,","13.2",",,,6","152",",,,6","",""
"USC00292940","1942-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","7",",6","2",",6","","","0",",6","","","","","","","","","","","0",",T,6,13,+","32.5",",,6,18,","112.0",",,,6","0",",T,,6","",""
"USC00292940","1942-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","8.9",",,6,20,","10.2",",,,6","0",",,,6","",""
"USC00292940","1942-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","28.4",",,6,23,","52.5",",,,6","0",",,,6","",""
"USC00292940","1942-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","6.6",",,6,02,","17.2",",,,6","0",",,,6","",""
"USC00292940","1942-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","53.6",",,6,21,","93.4",",,,6","0",",,,6","",""
"USC00292940","1942-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4","1,6","2","1,6","0","1,6","","","0",",6","","","","","","","","","","","0",",,6,30,+","23.1","1,,6,01,","37.8","1,,,6","0",",,,6","",""
"USC00292940","1942-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","21.3",",,6,17,","84.1",",,,6","0",",,,6","",""
"USC00292940","1942-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0.0",",,6,30,+","0.0",",,,6","","","",""
"USC00292940","1942-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","3",",6","0",",6","","","1",",6","","","","","","","","","","","51",",,6,05,","10.2",",,6,21,","20.6",",,,6","51",",,,6","",""
"USC00292940","1943-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",T,6,11,+","0.0",",T,6,11,","0.0",",T,,6","0",",T,,6","",""
"USC00292940","1943-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,28,+","0.0",",,6,28,+","0.0",",,,6","0",",,,6","",""
"USC00292940","1943-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","0.8",",,6,24,","0.8",",,,6","0",",,,6","",""
"USC00292940","1943-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","13.2",",,6,17,","13.2",",,,6","0",",,,6","",""
"USC00292940","1943-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","14.7",",,6,22,","23.1",",,,6","0",",,,6","",""
"USC00292940","1943-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","19.6",",,6,30,","28.3",",,,6","0",",,,6","",""
"USC00292940","1943-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","12.7",",,6,01,","36.5",",,,6","0",",,,6","",""
"USC00292940","1943-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","13.2",",,6,05,","33.3",",,,6","0",",,,6","",""
"USC00292940","1943-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","15.2",",,6,10,","15.2",",,,6","0",",,,6","",""
"USC00292940","1943-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6","",""
"USC00292940","1943-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","56",",,6,27,","7.1",",,6,26,","10.4",",,,6","56",",,,6","",""
"USC00292940","1943-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","4",",6","2",",6","","","3",",6","","","","","","","","","","","305",",,6,10,","31.5",",,6,10,","71.9",",,,6","420",",,,6","",""
"USC00292940","1944-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","2",",6","0",",6","","","2",",6","","","","","","","","","","","102",",,6,28,","5.6",",,6,28,","9.9",",,,6","153",",,,6","",""
"USC00292940","1944-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","2",",6","0",",6","","","1",",6","","","","","","","","","","","51",",,6,28,","15.7",",,6,28,","19.5",",,,6","51",",,,6","",""
"USC00292940","1944-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",T,6,28,+","3.0",",,6,14,","3.0",",,,6","0",",T,,6","",""
"USC00292940","1944-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","1",",6","","","1",",6","","","","","","","","","","","38",",,6,22,","29.5",",,6,29,","47.0",",,,6","38",",,,6","",""
"USC00292940","1944-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","31.8",",,6,28,","64.2",",,,6","0",",,,6","",""
"USC00292940","1944-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","19.3",",,6,10,","65.0",",,,6","0",",,,6","",""
"USC00292940","1944-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","35.3",",,6,12,","57.7",",,,6","0",",,,6","",""
"USC00292940","1944-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","6",",6","2",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","57.7",",,6,27,","129.5",",,,6","0",",,,6","",""
"USC00292940","1944-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","19.6",",,6,18,","44.7",",,,6","0",",,,6","",""
"USC00292940","1944-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","3.6",",,6,16,","6.9",",,,6","0",",,,6","",""
"USC00292940","1944-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","2",",6","0",",6","","","1",",6","","","","","","","","","","","76",",,6,25,","5.6",",,6,24,","11.4",",,,6","76",",,,6","",""
"USC00292940","1944-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","0",",6","","","2",",6","","","","","","","","","","","203",",,6,05,","15.7",",,6,05,","31.7",",,,6","228",",,,6","",""
"USC00292940","1945-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","0",",6","","","1",",6","","","","","","","","","","","64",",,6,21,","9.1",",,6,21,","21.3",",,,6","77",",,,6","",""
"USC00292940","1945-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","13",",,6,27,+","5.1",",,6,21,","6.6",",,,6","26",",,,6","",""
"USC00292940","1945-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","25",",,6,19,","4.6",",,6,19,","5.4",",,,6","25",",,,6","",""
"USC00292940","1945-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","25",",,6,15,","5.6",",,6,23,","7.4",",,,6","25",",,,6","",""
"USC00292940","1945-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","11.4",",,6,15,","11.4",",,,6","0",",,,6","",""
"USC00292940","1945-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","8.4",",,6,12,","8.4",",,,6","0",",,,6","",""
"USC00292940","1945-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","32.5",",,6,07,","81.0",",,,6","0",",,,6","",""
"USC00292940","1945-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","20.1",",,6,22,","61.2",",,,6","0",",,,6","",""
"USC00292940","1945-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","30.7",",,6,30,","98.7",",,,6","","","",""
"USC00292940","1945-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","24.4",",,6,13,","56.6",",,,6","0",",,,6","",""
"USC00292940","1945-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","0.0",",,6,30,+","0.0",",,,6","0",",,,6","",""
"USC00292940","1945-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",T,6,13,","0.8",",,6,13,","0.8",",,,6","0",",T,,6","",""
"USC00292940","1946-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","25",",,6,15,","7.9",",,6,15,","8.2",",,,6","25",",,,6","",""
"USC00292940","1946-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","0",",6","0",",6","","","1",",6","","","","","","","","","","","25",",,6,13,","1.0",",,6,13,","1.8",",,,6","25",",,,6","",""
"USC00292940","1946-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","13",",,6,05,","3.8",",,6,05,","8.7",",,,6","13",",,,6","",""
"USC00292940","1946-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","0.8",",,6,22,+","1.6",",,,6","0",",,,6","",""
"USC00292940","1946-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","24.4",",,6,26,","36.9",",,,6","0",",,,6","",""
"USC00292940","1946-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","16.5",",,6,09,","26.2",",,,6","0",",,,6","",""
"USC00292940","1946-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","27.2",",,6,02,","47.6",",,,6","0",",,,6","",""
"USC00292940","1947-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","2",",6","0",",6","","","2",",6","","","","","","","","","","","102",",,6,02,","7.1",",,6,02,","11.1",",,,6","153",",,,6","",""
"USC00292940","1947-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,28,+","0.0",",T,6,27,+","0.0",",T,,6","0",",,,6","",""
"USC00292940","1947-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",6","3",",6","0",",6","","","3",",6","","","","","","","","","","","76",",,6,09,","5.1",",,6,09,","10.6",",,,6","191",",,,6","",""
"USC00292940","1947-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",6","4",",6","0",",6","","","2",",6","","","","","","","","","","","127",",,6,13,","11.2",",,6,15,+","43.7",",,,6","178",",,,6","",""
"USC00292940","1947-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","0",",,6,31,+","26.4",",,6,09,","74.1",",,,6","0",",,,6","",""
"USC00292940","1947-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","0",",,6,30,+","9.7",",,6,20,","13.0",",,,6","0",",,,6","",""
"USC00292940","1947-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"USC00292940","1947-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","30.0",",,6,14,","49.8",",,,6","","","",""
"USC00292940","1947-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","1.3",",,6,08,","1.3",",,,6","","","",""
"USC00292940","1947-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","1.5",",,6,15,","2.5",",,,6","","","",""
"USC00292940","1947-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","25",",,6,21,","8.4",",,6,14,","9.2",",,,6","25",",,,6","",""
"USC00292940","1947-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",6","1",",6","0",",6","","","1",",6","","","","","","","","","","","102",",,6,04,","23.9",",,6,04,","24.9",",,,6","102",",,,6","",""
"USC00292940","1948-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","3",",0","0",",0","7","1,0","5",",0","","","","","","","","","76","1,,0,29,+","76",",,0,01,","6.1",",,0,01,","18.6",",,,0","202",",,,0","",""
"USC00292940","1948-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","3",",0","0",",0","4","2,0","4",",0","","","","","","","","","127","2,,0,04,","127",",,0,04,","23.4",",,0,27,","44.7",",,,0","238",",,,0","",""
"USC00292940","1948-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","2",",0","0",",0","1",",0","1",",0","","","","","","","","","25",",,0,10,","25",",,0,10,","4.1",",,0,01,","11.4",",,,0","35",",,,0","",""
"USC00292940","1948-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","3.0",",,0,22,","3.0",",,,0","0",",,,0","",""
"USC00292940","1948-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","7",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","15.2",",,0,16,","53.3",",,,0","0",",,,0","",""
"USC00292940","1948-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","35.1",",,0,01,","63.0",",,,0","0",",,,0","",""
"USC00292940","1948-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","24.1",",,0,23,","43.4",",,,0","0",",,,0","",""
"USC00292940","1948-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","5",",0","3",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","47.0",",,0,04,","141.2",",,,0","0",",,,0","",""
"USC00292940","1948-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",0","1",",0","1",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","26.9",",,0,20,","26.9",",,,0","0",",,,0","",""
"USC00292940","1948-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","12.2",",,0,21,","25.6",",,,0","0",",,,0","",""
"USC00292940","1948-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",0","1",",0","1",",0","0","1,0","0",",0","","","","","","","","","0","1,T,0,18,","0",",T,0,18,","27.9",",,0,01,","29.7",",,,0","0",",T,,0","",""
"USC00292940","1948-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",T,0,26,","0",",T,0,26,","0.0",",T,0,26,+","0.0",",T,,0","0",",T,,0","",""
"USC00292940","1949-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","4",",0","0",",0","2",",0","2",",0","","","","","","","","","102",",,0,27,","64",",,0,27,","11.4",",,0,10,","34.1",",,,0","89",",,,0","",""
"USC00292940","1949-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,28,+","0",",,0,28,+","13.5",",,0,26,","27.5",",,,0","0",",,,0","",""
"USC00292940","1949-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",T,0,09,","8.4",",,0,21,","8.7",",,,0","0",",T,,0","",""
"USC00292940","1949-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","2",",0","0",",0","1",",0","1",",0","","","","","","","","","25",",,0,01,","25",",,0,01,","16.0",",,0,19,","25.7",",,,0","25",",,,0","",""
"USC00292940","1949-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","29.2",",,0,13,","93.9",",,,0","0",",,,0","",""
"USC00292940","1949-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","14","1,0","12","1,0","3","1,0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",T,0,14,","56.1","1,,0,04,","261.0","1,,,0","0",",T,,0","",""
"USC00292940","1949-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","6",",0","3",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","61.7",",,0,10,","157.1",",,,0","0",",,,0","",""
"USC00292940","1949-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","23.6",",,0,03,","35.6",",,,0","0",",,,0","",""
"USC00292940","1949-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","22.6",",,0,30,+","50.0",",,,0","0",",,,0","",""
"USC00292940","1949-10","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","5.6",",,0,24,","8.1",",,,0","0",",,,0","",""
"USC00292940","1949-11","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","5.8",",,0,12,","5.8",",,,0","0",",,,0","",""
"USC00292940","1949-12","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","3",",0","1",",0","0",",0","1","2,0","1",",0","","","","","","","","","51","2,,0,21,","51",",,0,21,","6.4",",,0,11,","10.2",",,,0","51",",,,0","",""
"USC00292940","1950-01","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0","",""
"USC00292940","1950-02","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,28,+","0",",T,0,12,","0.0",",T,0,12,","0.0",",T,,0","0",",T,,0","",""
"USC00292940","1950-03","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0","",""
"USC00292940","1950-04","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","3.8",",,0,17,","6.8",",,,0","0",",,,0","",""
"USC00292940","1950-05","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","6",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","12.2",",,0,26,","43.3",",,,0","0",",,,0","",""
"USC00292940","1950-06","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","32.5",",,0,04,","83.8",",,,0","0",",,,0","",""
"USC00292940","1950-07","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","9","2,0","5","2,0","2","2,0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","44.7","2,,0,12,","132.1",",a,,0","0",",,,0","",""
"USC00292940","1950-08","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","11.9",",,0,27,","27.5",",,,0","0",",,,0","",""
"USC00292940","1950-09","35.06667","-103.06667","1250.9","ENDEE 5 SSE, NM US","5",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","0",",,0,30,+","0",",,0,30,+","17.3",",,0,06,","49.5",",,,0","0",",,,0","",""
